rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
P0A8P6	4489910	5723020	5324760	4807770	5625790	4995100	4203330	5793820	5158420	5396670	5059480	2898340	4734350	5018830	5827720	5222430	5438010	7743980	4259960	5068590	5303260	5846110	5956190	4598700
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	11138900	11432800	7059320	8126430	7239420	10563800	9852040	8693870	4385980	8581090	13466200	8419420	10948700	5873880	7171810	9183520	8220950	3579300	8615780	7594700	9038030	10224100	6197620	6770210
P37767	11867200	9817100	10336800	10055800	16010400	15370400	12187500	12805500	8271420	13499300	13797900	6181780	13877800	13551000	10607100	11782400	11344000	11208900	11404400	10761100	11383800	11487600	10761000	11364100
P0AA78	592151	678685	NA	NA	294602	400189	787657	336647	265722	183445	542882	NA	557997	269964	NA	NA	NA	NA	226544	NA	NA	262092	NA	NA
P27833	4928660	4630060	5326750	5394000	4262490	4690630	4942860	4236360	2623050	3836070	4526320	3545500	5002420	4326300	5014180	5810340	5616950	3850530	5968290	5106170	5840170	5688250	5009680	5868390
P69739	46471.2	58909.8	76382	55333.4	NA	24004.1	NA	31906.7	55381.1	NA	NA	NA	NA	21268.8	49520.9	26573.4	34407.7	22687.4	NA	39233.7	33709.3	55563.2	39569.8	23607.1
P0AAS7	20871600	21254400	17660700	15915400	15465900	17111700	15982100	14494600	14059800	14036000	18895400	29959900	17315700	14287600	17805300	20348700	16237100	16452100	18104100	15484700	18318800	16960500	14961100	18399100
P0AF18	22977300	24258400	21638300	21796800	19905400	19499900	24356400	25360900	21198000	23750500	18919300	13985900	23395500	25035600	20297100	20371600	20096200	19646900	20423000	23415300	21200800	19999800	20804500	20125800
P0AER8	3275680	2998080	2055390	2728740	1046590	1923950	1774280	891172	1283230	1099860	1701180	1111590	2350540	773000	2397620	2493810	2978980	1101170	3103020	1802700	3385520	3116670	1331850	2267210
P03024	5515180	4923090	4842290	4633380	3624430	3620990	3854310	3831060	4342330	4212920	4578800	3558170	3858750	3864670	4690170	4573980	4712810	3808950	4670340	3992100	5152970	4850110	4673020	4340840
P77561	1090500	1566150	961317	1232820	497853	1388390	1169090	1539270	831206	1570200	1058660	NA	1420130	1346670	855425	1342230	1567850	1087520	1394660	1580450	1030620	933602	1232580	1581680
P0AA73	69631.4	49902.4	73192.2	71097.9	40871.3	56910.9	63721	69516.9	53510.9	135178	NA	NA	50277.9	82842.3	94974.9	100634	107834	40172.2	97876.2	81684.6	91107.6	105545	87727.6	56675.5
P76112	11303700	15038600	15853300	15141000	12342000	13729600	11124300	12522900	11860900	11926400	12980600	13322900	12745000	11832000	16218500	12089600	12829900	7374170	11472900	10598700	13157200	13434900	13761600	13885100
P12994	18713200	20104600	15326300	15195300	14477300	13680600	22115100	16212800	14167900	16596800	15775700	16219500	18281500	16694000	14024700	14511100	13447100	12117800	13772700	15139400	14017800	14227700	14604500	14580600
P77302	1812410	1977950	1817410	2822750	1097360	1872820	1675220	1253930	1219410	1636320	1184160	771664	1636070	1306360	2177710	2480140	3039470	1164690	3058100	2227270	2644490	2395110	2204150	2428340
P24252	3412120	4819220	2883780	4551470	3067000	4734300	6876580	3175230	1473050	3853550	4531170	4846460	4147900	4574010	2224990	3985540	4467220	1351340	5506650	4749440	4148070	4261140	2128570	5538050
P77539	409473	447644	253405	216327	140755	197571	365530	380604	225674	166275	251166	NA	273141	260188	214398	NA	149527	NA	218200	246460	251872	200973	175018	159686
P0AB12	4813900	5570590	5086690	5982240	3995420	4671780	4341560	3254460	2613370	3266520	4996430	3298360	4989000	2931170	5178050	6175970	5722740	3726130	6176190	4233580	7616880	6817990	4245050	6352840
Q46814	1473280	1389460	720337	760778	1121400	1413630	1321380	1583960	1333990	1058110	1471970	663722	1096360	1097260	723493	768963	557167	995619	NA	NA	704981	658747	757323	NA
P02942;P07017	4846060	6313720	4563100	1193370	3267440	2555560	6203530	9459560	4866890	4793890	7323590	3342230	7253260	9629380	375877	1003520	1233460	1646370	1723790	871120	1195860	799914	2122450	1228100
P69783	477794000	369809000	596992000	484053000	532474000	477349000	496672000	541281000	655229000	556928000	504010000	785525000	529286000	512790000	705510000	702091000	576793000	757181000	574026000	641857000	629248000	625197000	598839000	689849000
P27238	9275640	7646800	5964540	5111170	10033600	8233090	5937460	9355220	14991100	9786030	7849030	9238210	8463660	11190000	5206430	4441680	4365940	5198880	4639330	5210850	3575150	5174300	5743330	3969280
P30843	3644910	3942630	1555160	1965270	1654120	2743020	2910400	1370530	743825	1407890	3365490	2527030	2937910	1105740	1737290	2245460	2179240	664505	2558450	1462460	3022440	2543870	1236230	2043600
P76399	1387440	1669480	1849800	1966010	670318	491071	971255	1133400	1153530	1348590	900980	NA	1188250	1457690	1572420	1266680	1696810	1137760	1115340	1449570	1356510	1346630	1446660	728727
P0A7H6	7986180	9444360	9724100	9335890	11279200	9098730	11522000	12605700	11733600	12442400	10405500	8868190	10477100	12133600	10032500	9519310	9451950	11676100	9572770	9886260	8994580	8365730	10249400	8302160
P36930	23165700	18425100	14399800	11954600	12290700	11683700	16939600	20081900	24662600	18590600	15301300	10917000	19747900	20249000	11946700	12511600	10671800	13062800	12312400	12731000	13934000	12820000	16048100	13413800
P33593	2658600	2093360	3021890	2444540	2336560	2569310	948995	2374910	3098300	1783670	2317950	1685610	1819620	2398270	3399360	2302990	2505350	2727570	1635240	2739540	2547730	3350840	2364010	2861010
P0ABG7	3981980	4379690	3411370	3519680	4171330	4779200	4745830	3008910	2283580	2826470	4668530	1980880	3565100	2613420	3736010	3894280	3667390	2835750	4546130	3376790	4499080	4023590	3346700	4251300
P19318	2858900	2046790	2108210	2300210	2660870	2458490	2657990	2546210	2732530	3006880	2623480	1860550	2681010	2612240	2342270	2624850	2424570	3464920	1998020	2519130	2201030	2627220	2439170	2487370
P30860	98982000	86258700	135487000	99810600	122473000	102651000	71439700	108879000	164129000	109203000	94531100	131394000	106536000	104477000	148264000	126604000	127494000	135527000	101363000	127125000	106460000	127540000	140258000	109406000
P75919	2500660	1652570	1062000	1438900	1266640	2337440	1872690	2010640	862810	979617	1750740	NA	1946090	1956610	726772	1473340	1813260	NA	1190760	830246	1696660	1073200	NA	1648330
P0AE72	1078820	912425	595471	789355	664104	NA	851774	1192610	627421	1082560	NA	NA	931985	917885	1060330	497225	828724	437326	420812	473491	475101	627342	NA	406153
P0AE48	424917000	346680000	393836000	373293000	512780000	440887000	397932000	464708000	452893000	495704000	457091000	586733000	464544000	476094000	431765000	441211000	430183000	400262000	443454000	435069000	444331000	443194000	424300000	437507000
