rowname	BBM_673_P283_01_VEB_001_R4	BBM_673_P283_01_VEB_002_R3	BBM_673_P283_01_VEB_003_R3	BBM_673_P283_01_VEB_004_R3	BBM_673_P283_01_VEB_005_R3	BBM_673_P283_01_VEB_006_R2	BBM_673_P283_01_VEB_007_R2	BBM_673_P283_01_VEB_009_R2	BBM_673_P283_01_VEB_010_R2	BBM_673_P283_01_VEB_011_R2	BBM_673_P283_01_VEB_012_R2	BBM_673_P283_01_VEB_013_R2	BBM_673_P283_01_VEB_014_R2	BBM_673_P283_01_VEB_015_R2	BBM_673_P283_01_VEB_016_R2	BBM_673_P283_01_VEB_017_R2	BBM_673_P283_01_VEB_018_R2	BBM_673_P283_01_VEB_019_R2	BBM_673_P283_01_VEB_020_R2	BBM_673_P283_01_VEB_021_R2	BBM_673_P283_01_VEB_022_R3	BBM_673_P283_01_VEB_023_R3	BBM_673_P283_01_VEB_024_R3
P0A8D6	7245870	6334030	7019800	7524530	7984890	6902270	7391080	6046460	7264610	6829850	6452950	5475830	4857110	5274830	5009970	5064900	4732360	4897230	5394920	5275030	4182550	4496380	4954190
P0AAX3	7143290	5578180	4408530	4980910	6382820	5853830	4100500	3676660	6236990	6038820	5241400	7685030	5974730	7817500	6022110	8298330	4472430	7140230	6860910	5829540	5139660	6658970	7140260
P06993	1261900	1256450	1633150	1682040	1316450	1338800	1759700	1467380	1534920	1507930	1534400	1694170	1761140	1801940	1747470	1909990	1925040	2132170	1950040	2002480	1751910	1895530	1880900
P00959	33815200	34262200	36194600	31471500	36029400	33372900	31438700	38336000	32071100	35801800	35266300	33776100	43351200	44933900	47608500	46656500	45796300	46019500	47594300	40107400	39625600	44743200	45459000
P25738	156657000	136929000	122752000	138550000	121985000	154175000	264086000	66463900	194702000	161295000	159517000	72441400	58620400	84131800	89161200	90498300	59573100	79987400	64697100	87019500	83677500	67905500	84028600
P00452	15599100	17229800	18115400	18735500	14196800	15780600	19659800	19042000	17300500	18376400	19110400	11693800	14325000	14852900	17148600	18378200	19761000	15851400	16070200	12780900	13423900	14819600	15684600
P0AEG4	87245600	67054400	66936300	72894900	64113300	79455000	80118500	47049100	77963600	75052400	70826300	64631300	55186100	69479100	70354700	67403600	55894300	65129000	68680800	71615100	53251300	67540600	75890900
P19934	4006980	3619260	3624630	3439220	3435450	3498830	3056680	3195920	3627450	3452950	3385240	3414410	2861470	3181510	2794120	3199820	2804520	3150200	3164430	3316580	2320430	2814430	2503470
P0A8I8	3825670	4125000	4777520	3377170	4520980	4298250	3706240	5278600	3907210	3766170	4168740	5343970	4876000	4897220	4548340	4924720	4955000	4633840	4938480	4990340	5178650	4862270	4657690
P0A8T7	62709800	68490400	71643100	73356600	73525200	66227000	70459500	88302700	66540900	70556700	73358200	70727100	82093400	82345700	92661200	89702100	101561000	86416000	84938300	70012000	81967400	87102800	89363200
