rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	3
A5A614	1
A5A621	2
O32583	1
P00350	62
P00363	51
P00370	46
P00393	31
P00448	21
P00452	44
P00490	56
P00509	47
P00547	20
P00550	16
P00561	88
P00562	42
P00579	34
P00579;P13445	1
P00582	65
P00634	15
P00722	2
P00803	18
P00805	17
P00811	13
P00861	14
P00864	118
P00887	17
P00888	23
P00888;P0AB91	1
P00893	43
P00894	15
P00895	39
P00903	3
P00904	19
P00909	22
P00914	7
P00926	9
P00934	49
P00935	10
P00936	9
P00944	1
P00946	21
P00954	27
P00956	91
P00957	95
P00959	62
P00960	18
P00961	84
P00962	56
P00963	24
P00968	116
P02358	28
P02359	42
P02413	14
P02916	2
P02918	26
P02919	26
P02924	3
P02925	22
P02929	12
P02930	28
P02931	32
P02931;P02932;P21420	2
P02942	1
P02942;P07017	1
P02942;P07017;P07018;P50466	1
P02943	27
P03004	21
P03007	3
P03018	16
P03023	8
P03024	7
P03030	1
P03813	10
P03817	3
P03819	8
P03841	10
P04036	22
P04079	57
P04128	4
P04335	31
P04391	10
P04391;P06960	16
P04395	3
P04425	25
P04693	24
P04805	52
P04816	23
P04816;P0AD96	2
P04825	51
P04846	14
P04949	2
P04951	16
P04968	34
P04982	3
P04983	6
P04993	11
P04994	17
P04995	17
P05020	36
P05041	10
P05042	22
P05050	1
P05055	66
P05100	2
P05194	22
P05458	40
P05459	36
P05523	4
P05637	11
P05704	7
P05706	1
P05719	15
P05791	38
P05793	89
P05804	1
P05824	1
P05825	44
P05827	5
P05852	12
P06129	31
P06134	1
P06136	5
P06149	46
P06282	8
P06610	12
P06611	2
P06612	66
P06616	18
P06709	8
P06710	24
P06715	28
P06720	3
P06721	16
P06722	2
P06846	9
P06959	73
P06960	7
P06961	18
P06965	1
P06966	5
P06968	2
P06971	47
P06974	1
P06983	14
P06986	17
P06987	29
P06988	20
P06989	5
P06992	8
P06993	23
P06996	53
P06996;P21420	1
P06999	22
P07000	7
P07001	25
P07003	37
P07004	31
P07012	29
P07013	5
