Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0AD70	0.262810202932865	0.159006419997629	0.366613985868102	19.8725058893025	5.03871495039351	2.86379933873355e-06	4.92253547538233e-06	2.51560101473177	P0AD70	3	5.03076023748023	2.83363579181842e-06	4.87957598943914e-06
P52102	0.293741014241103	0.177335054886843	0.410146973595364	18.8863106267474	5.02203951018934	3.05909669884526e-06	5.24548925162382e-06	2.45115658908362	P52102	3	5.03006902615095	2.84144778029223e-06	4.89005390030839e-06
P0AEU7	-0.231696801241608	-0.325249965806701	-0.138143636676514	25.1924921403094	-4.91435153342519	3.54338868084833e-06	6.04297190089254e-06	2.24952188866182	P0AEU7	10	-4.95979815516973	2.85876192395538e-06	4.91686209399616e-06
P0AEC8	-0.292447303219138	-0.407573495574576	-0.1773211108637	17.8989779438404	-5.04055251231025	2.10515815474185e-06	3.64730889600623e-06	2.75654484178347	P0AEC8	2	-4.95863026179269	2.87260649546042e-06	4.9376739457489e-06
P0AC84	0.133346351863612	0.0800196564712587	0.186673047255964	21.3375815659349	4.96182143350392	2.91553179813365e-06	5.00841657798323e-06	2.43933186352102	P0AC84	7	4.95605818612962	2.90332726431792e-06	4.98745114398303e-06
P21361	-0.887029339331885	-1.23723295029891	-0.53682572836486	20.7796691407916	-5.06882795981425	4.27726773066116e-06	7.25955931984517e-06	2.22871545624767	P21361	2	-5.13605761574055	3.10794909614173e-06	5.33572097706321e-06
P12295	0.172132201399293	0.102469800027041	0.241794602771545	21.2168558752217	4.90307284538147	3.71089871433342e-06	6.31723046318576e-06	2.20458618177884	P12295	8	4.92927376721788	3.24285673499946e-06	5.56395601017181e-06
P31129	-1.31180951440184	-1.83368531958219	-0.789933709221495	16.890495942894	-5.02051098048874	4.29695580158909e-06	7.28424064329265e-06	2.65080042646991	P31129	2	-5.07781585753158	3.26128186821728e-06	5.59217987215211e-06
P37769	-0.253957953284583	-0.35390744758625	-0.154008458982917	17.9199314528658	-5.04244333828695	2.11668986209774e-06	3.66504525969339e-06	2.75380463390978	P37769	2	-4.91561927969854	3.4711008845074e-06	5.94835750849907e-06
P0AB65;P30131	-0.381761157833239	-0.527005208116993	-0.236517107549485	21.4061645210147	-5.26593560647532	2.3184920968806e-06	4.00153851056843e-06	2.98856161056181	P0AB65;P30131	2	-5.12834768650409	3.52341080760134e-06	6.0343472452023e-06
P75830	-0.149627296731516	-0.210419243145995	-0.0888353503170374	20.6646682884768	-4.88393015987942	4.01300167728446e-06	6.82740850263961e-06	2.1284632286512	P75830	9	-4.90802802918444	3.53937351654249e-06	6.05725797829119e-06
P0ACW4	-0.424485479479824	-0.595721260781932	-0.253249698177715	19.1994223854532	-4.93354471259941	4.33422023476787e-06	7.34301465267973e-06	2.11103097971165	P0ACW4	3	-4.97466139594129	3.54106745110276e-06	6.05725797829119e-06
P76046	-0.145405856822457	-0.203946572662119	-0.0868651409827947	19.8139190862708	-4.92865631537743	3.34149335902381e-06	5.71587172168968e-06	2.30660397557353	P76046	5	-4.9067453551031	3.55809574900053e-06	6.08271078829741e-06
P0AEU3	-0.389371204719245	-0.533619289760562	-0.245123119677927	16.3315182458703	-5.44854340782486	2.50188347305079e-06	4.31353965420633e-06	2.93849567121316	P0AEU3	2	-5.29573062534199	3.6104563499927e-06	6.16849844709072e-06
P0A8J2	-0.213266978467633	-0.299045146856949	-0.127488810078317	19.2410514519881	-4.93345886323946	3.27625643224864e-06	5.61445639206773e-06	2.32579066914887	P0A8J2	3	-4.90292006156775	3.61450466068255e-06	6.17169040675048e-06
P15047	0.330514554798594	0.19524524371111	0.465783865886078	22.3505797988313	4.84837245056553	4.63889933685944e-06	7.84980515400423e-06	1.98754788262659	P15047	13	4.90144989306348	3.63641484184985e-06	6.20535890131218e-06
P0A6U8	-0.162537893712628	-0.229143743256183	-0.0959320441690728	23.0309961525799	-4.8422467840085	4.75590905895831e-06	8.04299793662543e-06	1.96333571618594	P0A6U8	18	-4.89581417369998	3.72160824204537e-06	6.34691140556051e-06
P0A6A8	-0.242025351700715	-0.340562724309004	-0.143487979092426	28.0212869915619	-4.87376456028883	4.18302409201764e-06	7.11239711982099e-06	2.08811253963275	P0A6A8	4	-4.8920943370126	3.77890022947189e-06	6.44073844047857e-06
P39389	-0.245386364744604	-0.339903032447583	-0.150869697041626	17.9720536912233	-5.16794387825667	1.74781328645934e-06	3.04121660354419e-06	3.02331108228848	P39389	2	-4.96036896640704	3.81287311355881e-06	6.49444626603366e-06
P16703	0.155453818437518	0.0916422606378943	0.219265376237142	21.9926192927723	4.83400072321284	4.91796219405272e-06	8.29228765417703e-06	1.93077231764793	P16703	20	4.88977855237597	3.81499969636665e-06	6.49444626603366e-06
P13001	0.149343809978657	0.0890904769409042	0.209597143016409	20.1754714312061	4.91825242395285	3.48718414914806e-06	5.95429332101215e-06	2.26507810926739	P13001	4	4.87486872118142	4.05558297993203e-06	6.89985301453581e-06
P76507	0.449174450836118	0.266230142051785	0.632118759620451	19.4615541384848	4.87254604133792	4.25414558075575e-06	7.22464675412089e-06	2.07420197940777	P76507	2	4.87359039799776	4.12374795564139e-06	7.01160988733981e-06
P77265	-0.184380379479265	-0.253147787928256	-0.115612971030274	18.2790823322932	-5.33608570077487	8.69123013885258e-07	1.54069333269203e-06	3.68270226816719	P77265	2	-4.92312147406111	4.34118657499642e-06	7.37689027239787e-06
P0ADW6	0.524673979882611	0.312051769461321	0.7372961903039	17.5238867537653	4.91398005281112	4.93999907177006e-06	8.32448653106014e-06	2.06535429004331	P0ADW6	2	4.92214078603658	4.59008840903904e-06	7.79220528492971e-06
P0A7X6	0.135091096677662	0.0794052085418803	0.190776984813444	22.2873752539902	4.81378002598759	5.33839532383604e-06	8.96913778147171e-06	1.85106667539985	P0A7X6	11	4.84455310211838	4.59109799196847e-06	7.79220528492971e-06
