ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P23538	3.91510704674198e-23	2.27031375600955e-19	1.91386988179444e-23	3.45652556299942e-28	6.23483054844559e-26	6.23483054844559e-26	3.88731119678306e-50	8.95636499738818e-47	NA
P37689	4.18828680965715e-23	8.49950214673845e-16	7.27214015320901e-24	2.19489122922184e-25	2.05359690206699e-28	2.19489122922184e-25	4.81754750811499e-49	5.54981472934847e-46	NA
P22259	4.87130418186611e-21	1.4667155190545e-22	1.24818356303707e-21	2.08052716426989e-22	3.22355088816397e-23	1.4667155190545e-22	2.15125441383532e-43	1.65216338982553e-40	NA
Q46851	1.2552167541348e-20	1.39727923662916e-19	6.16534924467493e-18	2.38700253386056e-21	1.06758577975949e-20	1.06758577975949e-20	1.13973939714468e-39	1.8756854078724e-37	NA
P15078	1.86111756252491e-20	3.62930085046743e-11	3.64642010791649e-19	3.52061597887011e-20	1.82001871950449e-25	1.86111756252491e-20	3.46375858153868e-39	4.43361098436951e-37	NA
P08839	2.83154086069751e-20	2.02631098464882e-14	4.17243651166947e-18	8.36463774086227e-20	7.53374150002157e-23	2.83154086069751e-20	8.01762364579962e-39	8.79647851424873e-37	NA
P29012	7.62777195071622e-20	5.18077172339913e-18	5.79180830275161e-18	4.79378020985786e-17	1.67826311089931e-18	1.67826311089931e-18	2.81656706940544e-35	1.09989330981528e-33	NA
P37440	2.3139313127521e-19	1.60234792468139e-18	1.86181980589202e-16	1.94679907772764e-20	1.43594833707768e-22	1.94679907772764e-20	3.79002664904124e-39	4.59590599967948e-37	NA
P24203	3.17701953891398e-19	3.59513477366536e-12	1.35104415399527e-14	3.46175946200546e-21	1.9092057106296e-18	3.17701953891398e-19	1.00934531506412e-36	5.96290155360958e-35	NA
P0A8A4	4.09219335349938e-19	1.49289948276502e-16	6.07687989107515e-17	5.09293647627757e-23	2.08398145955811e-21	2.08398145955811e-21	4.34297872378201e-41	1.66770382993229e-38	NA
P0AEE5	4.3477704582776e-19	7.93212507249134e-21	7.09768254018016e-20	3.32678751146539e-21	2.65052807983303e-22	3.32678751146539e-21	1.10675151464421e-40	3.18744436217534e-38	NA
P76503	4.47960816203108e-19	1.21075218461624e-19	3.67974062016729e-20	1.24892790921757e-20	1.51152010114253e-22	1.24892790921757e-20	1.55982092242258e-39	2.39588493684109e-37	NA
P04983	1.15751038089723e-18	4.15589048946254e-13	4.19541114063244e-17	9.20661082222353e-23	7.50044668459296e-17	1.15751038089723e-18	1.33983028188486e-35	5.51244458832628e-34	NA
P37349	1.37443825285955e-18	1.01245103345802e-12	3.0570294042413e-17	6.53259863454617e-21	5.30170066444638e-18	1.37443825285955e-18	1.88908051092362e-35	7.63586227573337e-34	NA
P0A9Q7	2.60972897674916e-18	5.42342419701981e-21	1.18045364929764e-18	2.97359532796473e-16	1.45472132079631e-19	1.45472132079631e-19	2.11621412117937e-37	1.62525244506576e-35	NA
P0A796	3.35405919485992e-18	2.82374855800752e-17	2.89117092794687e-20	6.12865659951913e-21	5.08137452855128e-23	6.12865659951913e-21	3.75604317148295e-40	8.65392346709673e-38	NA
P0C8J6	3.82643389326496e-18	1.10701952434641e-16	6.93557189549706e-12	1.24426940357649e-15	1.56032421335433e-18	3.82643389326496e-18	1.46415963395269e-34	5.27097468222969e-33	NA
P0A836	4.81492105052594e-18	1.37324957683172e-16	5.62073072026763e-20	1.69800296199698e-19	4.94154855658932e-19	1.69800296199698e-19	2.88321405895054e-37	2.09801242678117e-35	NA
P0AGE9	5.76427549050207e-18	1.18549320022173e-19	3.62923893019444e-16	3.15720492805902e-18	7.63403379767599e-21	1.18549320022173e-19	1.40539412777197e-37	1.19926965569875e-35	NA
