Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0AED7	0.532811600184498	0.327105576841506	0.738517623527491	17.3219014737134	5.39570498518465	2.59609863902827e-05	0.000107042339084414	1.55423819425252	P0AED7	19	5.61499890834463	1.20530126876916e-05	5.19408255788982e-05
P0ABQ2	-0.97540760615837	-1.35060744085141	-0.600207771465329	16.2984178496262	-5.41558071141366	2.48057501822665e-05	0.000102937871529309	1.60046442608176	P0ABQ2	14	-5.60759182058739	1.22666612778273e-05	5.27732656309865e-05
P76342	-0.266684990784654	-0.366496359953353	-0.166873621615955	18.3894046041414	-5.56596016927829	1.76011639944933e-05	7.56314815047645e-05	1.94917554944587	P76342	14	-5.60496110054143	1.23434649361798e-05	5.30151819008921e-05
P0ABU7	0.795597639356977	0.495066846136868	1.09612843257709	19.6005163128596	5.51475269319473	1.9777435043402e-05	8.38263982020509e-05	1.8306430867768	P0ABU7	8	5.60035201559147	1.24792080215922e-05	5.34533694899595e-05
P00963	0.377040623613709	0.230342374799232	0.523738872428186	20.1383907310283	5.35407867693402	2.85612895183567e-05	0.000116275581498903	1.45732704938596	P00963	20	5.6000899168372	1.24869726165912e-05	5.34533694899595e-05
P77272	-1.07402323757584	-1.47115854811893	-0.676887927032751	13.932081367898	-5.63373880205792	1.50908430836408e-05	6.62506007266482e-05	2.10571454190179	P77272	4	-5.59586526600791	1.26128067201386e-05	5.38494645791252e-05
P30015	-0.954298523758464	-1.30285263642527	-0.605744411091658	12.7591867025074	-5.70342288379715	1.28893515195096e-05	5.72687221823729e-05	2.26622121973056	P30015	4	-5.59558184057513	1.26212947635978e-05	5.38494645791252e-05
P0A705	0.304810672068687	0.181798251177506	0.427823092959868	22.873886104338	5.16181857642854	4.44801047561401e-05	0.000171594655623612	1.00811946099581	P0A705	57	5.58432669031034	1.29631032814802e-05	5.52163919940074e-05
P39172	0.84775944803247	0.518391843038408	1.17712705302653	23.8894077179934	5.36183308260421	2.80575343319953e-05	0.000114586792351112	1.47539018615944	P39172	21	5.57501452045224	1.32530135743769e-05	5.63581121801471e-05
P0A744	-0.421324866037455	-0.579196013264162	-0.263453718810749	20.2602518333561	-5.55950160166944	1.78616013569442e-05	7.64607087987463e-05	1.93423799368149	P0A744	11	-5.57123019393158	1.33727050289251e-05	5.67734116302143e-05
