rowname	Clinspect_E_coli_A_QC1_Slot1-6_1_8640	Clinspect_E_coli_A_QC2_Slot1-15_1_8649	Clinspect_E_coli_A_S5_Slot1-7_1_8641	Clinspect_E_coli_A_S7_Slot1-24_1_8673	Clinspect_E_coli_A_S14_Slot1-11_1_8645	Clinspect_E_coli_A_S20_Slot1-20_1_8669	Clinspect_E_coli_A_S23_Slot1-8_1_8642	Clinspect_E_coli_A_S29_Slot1-19_1_8667	Clinspect_E_coli_A_S34_Slot1-18_1_8666	Clinspect_E_coli_A_S39_Slot1-26_1_8675	Clinspect_E_coli_A_S42_Slot1-21_1_8670	Clinspect_E_coli_A_S47_Slot1-14_1_8648	Clinspect_E_coli_B_QC3_Slot1-23_1_8672	Clinspect_E_coli_B_QC4_Slot1-10_1_8644	Clinspect_E_coli_B_S53_Slot1-22_1_8671	Clinspect_E_coli_B_S58_Slot1-5_1_8639	Clinspect_E_coli_B_S62_Slot1-16_1_8664	Clinspect_E_coli_B_S66_Slot1-13_1_8647	Clinspect_E_coli_B_S78_Slot1-17_1_8665	Clinspect_E_coli_B_S85_Slot1-12_1_8646	Clinspect_E_coli_B_S86_Slot1-4_1_8638	Clinspect_E_coli_B_S91_Slot1-25_1_8674	Clinspect_E_coli_B_S98_Slot1-9_1_8643
P0AAX3	52409.5	45123.6	41710.6	35810.9	46309.6	51127	23304.9	36030.8	46648.1	21118	61196.8	57584.2	48646	102511	139092	101769	123920	34203.3	32727.3	109324	79628	85754	46866.7
P25738	535904	220438	493984	192803	461579	332372	171036	429545	225840	221509	471195	353422	126239	268498	260579	282795	208095	92146.6	117589	156008	253916	170832	161100
P64596	223901	286945	237655	292414	304919	256592	291884	248046	316535	254899	300066	252655	184827	231136	237427	221811	201574	211468	175931	282606	248849	225731	285204
P0AEG4	1090980	1173250	890463	905656	1153820	1081380	938313	963078	1103530	747062	1141210	1186530	745552	1050070	1117640	1072440	1080930	833958	827027	1234190	1203610	831171	979956
P19934	36018.3	28464.5	28624.6	26526.6	38093.9	29279.5	23845.3	37450.5	24663	29560.1	35389.2	48814.7	30695.6	38485.5	37114.2	34391.8	44834.2	26922.7	38649.7	42729.5	34771.1	26788.9	26313.3
P0A8I8	66978.4	87328.2	67387.6	77694.9	81006.7	73352.5	61519.3	64699.8	76515.2	58660.2	71791.2	86002.5	51930.9	80860.9	70966.9	69215.5	77410.7	60101.1	62446.1	69168.5	78058.5	72788.3	69807.1
P0A794	375506	481900	402927	515807	401915	496763	418353	408670	432703	416657	404778	429402	359696	368185	378915	372416	420157	275694	255998	351180	391069	365921	367760
P0A7J3	1122650	1050860	957611	952170	1113210	1119600	946546	989085	1093610	984453	1141320	1051020	1162940	1490120	1372000	1626930	1521300	1113030	1023880	1386940	1502920	1334620	1364560
P00935	183765	184933	185373	192762	178543	235870	188813	207126	214427	186878	209426	212685	195683	179576	210405	196528	186440	178568	196946	202840	171949	186675	208151
P12999	903.312	1290.75	1159.03	820.06	686.591	1872.83	1769.56	2914.85	2125.49	1845.39	1299.18	789.407	2420.91	1746.77	1645.44	2426.24	1745.17	1458.37	1821.04	1893.78	1633	2889.06	3026.79
P0A9M8	1263970	1252250	1275050	1211430	1250670	1340820	1308670	1376150	1339620	1311920	1331830	1322240	1026560	979254	1140440	925354	1008790	758102	781685	1167730	1021630	884852	1089010
P0A9Q7	796283	845167	779068	802883	903124	664923	810074	930079	986341	798495	880992	684432	3952090	3961660	4433270	3799320	3778320	3613090	3769900	4720780	4514940	4111810	4750620
P67087	124936	170606	130612	166523	137968	145410	142777	135735	157714	150702	138547	155302	125433	146131	126316	137185	148146	104373	104477	112865	133810	139989	119547
P0AEJ2	311539	345386	411293	287403	361851	276950	218651	337303	424477	209330	345634	235730	333748	475014	465007	490679	399059	364562	347856	459262	604055	417977	444633
P08142	468627	516272	485737	557148	501262	570000	624251	578500	591877	620681	602774	533225	569779	467547	541973	564153	537448	555543	587122	519374	572095	614987	549080
P76576	451944	483549	383277	405252	404409	428972	395477	401381	470834	427558	428431	424633	354038	452949	435840	439020	447004	343433	330473	403024	444450	315405	405910
P0AET8	677912	676561	683680	622257	673849	634470	533785	696014	774377	574332	609507	606202	419367	579718	599765	564033	594047	369524	464513	608240	493637	509226	513460
P0AFI5	17639.4	23027.8	19310.8	21269.9	17940.1	19145.7	20607	18408.9	21700.8	22229.8	16629.6	19956	28462	28481.4	24294.2	27559.8	29172.9	30534.5	22762.7	26449.5	30017.5	27929.2	31612
P77489	16061.4	27449.8	17653.4	33981	20407.4	29273.3	26310.4	18691.1	27909.8	47621.4	11300.9	18148.2	28890.6	21108.6	18667.6	13624.9	26286.5	22795.1	15094	20747.4	19389.1	34811	25850.5
P25888	21281.9	31646.4	23119.2	31332.6	24440.8	24696.6	31348.8	26119.4	33144	27758.1	26647.1	27642.3	106165	127341	103696	123486	125312	122662	92896	89963.3	108438	116498	117070
P16659	667013	806313	695490	777584	688939	759288	734838	713478	740742	770815	721403	741804	795076	864523	808144	866711	861732	623454	593534	871972	831225	841356	761195
P0ABQ0	110900	122856	123409	93088.4	114560	120041	100172	121323	110195	81007	116298	107516	47737	96788.8	84498.7	95878	86534.1	54047.5	61878.1	86934.1	96386.3	82867.1	83404.1
P10121	197817	221054	192759	241211	228258	230157	212041	214422	234154	240979	214911	229579	216365	245700	228423	229635	225532	209577	202754	221669	220711	225168	214484
Q46871	106732	117079	112569	120552	119922	109387	99111.2	116550	139841	91958.2	110634	91590.4	69565.3	113223	108938	130702	113262	96606	108997	93199	116762	106575	108308
P33667	14278.3	12648.3	15235.2	17695.2	15218.9	16826.9	17514.1	14405.1	14238.7	16698.6	17516	17617.3	15790.4	18375.8	23376.5	20239.5	16986.7	16288.4	18871.3	20324.8	19872.6	15725.3	17961.5
P76541	102911	59680.4	87180.3	59548.4	89400.8	79434	91127.9	86069.8	71222.9	126016	74415.7	74995.4	63497.9	58936.5	68068.6	64433.9	58925.9	27538.1	54068	56240.3	53287.5	61108.4	46887.7
P60293	42310.8	45506.2	46330.4	44693	45362.1	45859.6	39169.9	46247.7	43865.3	39800.6	41245.6	41965	47123.8	47875	43169.9	46578.5	43803.6	39807.1	38511.4	45409.6	40520.7	41867.8	38945.3
P77674	164746	154099	166659	177943	206646	164815	152709	240413	227739	141325	158536	145288	20166.1	26131.1	27332.8	29730.6	28644	24107.7	23472.6	23086.6	21535.7	27729.9	25142.1
P08337	9231.17	6125.48	9754.69	4745.71	10884.6	10170.9	3656.01	10031.6	6360.85	5440.05	9727.6	11165.7	4950.9	8243.12	13471	8292.36	11154.3	2426.98	1607.84	9241.53	5180.21	5018.83	4729.45
P0A9W3	882170	970618	932111	1003360	949459	1045720	935749	991446	1065050	948901	1053470	961550	692659	832891	773480	857080	853958	660264	763388	751900	908411	848399	814201
P15639	742024	617857	724706	504190	732962	687322	553359	646772	614621	500551	702686	602531	573339	818742	858344	920826	814453	605178	472871	920726	850672	629534	723394
P09832	741357	804331	744842	755364	789979	844637	749087	803387	829185	751446	836263	756026	1446920	1744040	1938710	1869470	1868680	1458160	1289080	1926740	1839380	1751650	1776470
P75960	353192	398664	392403	403576	370030	404605	405803	361653	442296	379475	389468	359480	354188	408970	325257	366491	367267	315730	226640	365402	360481	357467	374169
