rowname	Sample	Dataset	Normal	Tumor
Exp056655	Exp056655	PXD042844	0	1
Exp056657	Exp056657	PXD042844	0	1
Exp056659	Exp056659	PXD042844	0	1
Exp056661	Exp056661	PXD042844	0	1
Exp056663	Exp056663	PXD042844	0	1
Exp056665	Exp056665	PXD042844	0	1
Exp056667	Exp056667	PXD042844	0	1
Exp056669	Exp056669	PXD042844	0	1
Exp056671	Exp056671	PXD042844	0	1
Exp056557	Exp056557	PXD042844	0	1
Exp056715	Exp056715	PXD042844	0	1
Exp056717	Exp056717	PXD042844	0	1
Exp056559	Exp056559	PXD042844	0	1
Exp056673	Exp056673	PXD042844	0	1
Exp056561	Exp056561	PXD042844	0	1
Exp056675	Exp056675	PXD042844	0	1
Exp056677	Exp056677	PXD042844	0	1
Exp056679	Exp056679	PXD042844	0	1
Exp056681	Exp056681	PXD042844	0	1
Exp056683	Exp056683	PXD042844	0	1
Exp056685	Exp056685	PXD042844	0	1
Exp056687	Exp056687	PXD042844	0	1
Exp056689	Exp056689	PXD042844	0	1
Exp056563	Exp056563	PXD042844	0	1
Exp056719	Exp056719	PXD042844	0	1
Exp056691	Exp056691	PXD042844	0	1
Exp056693	Exp056693	PXD042844	0	1
Exp056695	Exp056695	PXD042844	0	1
Exp056565	Exp056565	PXD042844	0	1
Exp056747	Exp056747	PXD042844	0	1
Exp056697	Exp056697	PXD042844	0	1
Exp056699	Exp056699	PXD042844	0	1
Exp056701	Exp056701	PXD042844	0	1
Exp056703	Exp056703	PXD042844	0	1
Exp056705	Exp056705	PXD042844	0	1
Exp056721	Exp056721	PXD042844	0	1
Exp056723	Exp056723	PXD042844	0	1
Exp056567	Exp056567	PXD042844	0	1
Exp056571	Exp056571	PXD042844	0	1
Exp056725	Exp056725	PXD042844	0	1
Exp056727	Exp056727	PXD042844	0	1
Exp056729	Exp056729	PXD042844	0	1
Exp056573	Exp056573	PXD042844	0	1
Exp056707	Exp056707	PXD042844	0	1
Exp056731	Exp056731	PXD042844	0	1
Exp056575	Exp056575	PXD042844	0	1
Exp056733	Exp056733	PXD042844	0	1
Exp056709	Exp056709	PXD042844	0	1
Exp056735	Exp056735	PXD042844	0	1
Exp056737	Exp056737	PXD042844	0	1
Exp056739	Exp056739	PXD042844	0	1
Exp056711	Exp056711	PXD042844	0	1
Exp056577	Exp056577	PXD042844	0	1
Exp056741	Exp056741	PXD042844	0	1
Exp056713	Exp056713	PXD042844	0	1
Exp056579	Exp056579	PXD042844	0	1
Exp056581	Exp056581	PXD042844	0	1
Exp056583	Exp056583	PXD042844	0	1
Exp056585	Exp056585	PXD042844	0	1
Exp056587	Exp056587	PXD042844	0	1
Exp056589	Exp056589	PXD042844	0	1
Exp056591	Exp056591	PXD042844	0	1
Exp056593	Exp056593	PXD042844	0	1
Exp056743	Exp056743	PXD042844	0	1
Exp056595	Exp056595	PXD042844	0	1
Exp056597	Exp056597	PXD042844	0	1
Exp056599	Exp056599	PXD042844	0	1
Exp056601	Exp056601	PXD042844	0	1
Exp056603	Exp056603	PXD042844	0	1
Exp056605	Exp056605	PXD042844	0	1
Exp056607	Exp056607	PXD042844	0	1
