rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P65556	1888950	2355640	2222800	2317420	2259220	2278070	2235780	2155250	2139420	2002200	2465110	2385240	2531150	2126340	2499880	2579450	2487570	2454440	2287690	2356120	2163570	2255340	2405770	2428340
P07109	1472040	1572840	1431850	1536740	1569330	1470720	1500690	1481940	1513550	1388680	1507130	1401040	1547240	1540710	1454340	1506630	1560220	1463810	1425050	1513390	1525460	1627810	1437870	1508420
P31459	441636	363599	356980	414694	443575	412181	348250	366568	323102	430119	NA	NA	NA	144675	NA	NA	NA	NA	NA	NA	377225	464925	128775	NA
P0ABU5	20714200	20810700	20893400	21170100	21352000	21515800	20772000	19458100	18516700	19858600	14036000	14811500	15640900	14798200	15030600	16126200	14433000	15209300	15956100	15830800	20907200	21519600	16156600	15122100
P50457	615834	652781	577408	652510	551132	684768	695477	616727	671946	632491	593308	510067	547103	575435	566363	567818	598912	554826	567912	569770	639255	685936	530106	573503
P42593	6174230	8058270	6423020	7086730	6844950	5990060	7513980	6906170	7085450	5890920	1201310	1183280	603202	1125220	1218280	930220	1024380	1243430	713359	775241	6587460	6556140	782692	1108090
P30750	5692960	5484110	5376870	6029330	5549640	6273680	5373540	5455400	5297470	5906600	6322030	6131520	6403310	6153440	6545950	6174320	6622380	6194140	6502360	6477210	6265370	6316580	6758770	5995820
P15993	2036270	2706880	2337610	2996900	2617470	1964100	2260560	2913290	2792520	2058340	2193160	1741530	1776040	2451720	1837550	1855140	2164400	1967410	1480510	1998610	2121720	2188890	2413480	2106790
P37326	578496	633177	552815	645157	667794	518919	595495	604479	583718	580089	863228	818888	787163	784424	848558	782391	840880	960075	750097	819326	581285	566894	842628	760215
P16676	4529840	4386420	4294710	4835210	4590510	4775170	4241500	4803870	4529620	4568080	6821740	6090310	5733960	5881150	5780020	5794030	6487840	6381280	6363110	6369350	4389740	4079110	5127230	5182290
P77522	1888310	2546020	1729750	2458030	2520400	1657050	2649500	2953040	2736460	1773020	2302900	2171420	2118280	2287610	2187870	2320140	2595650	2559360	2529460	2013160	2211750	2495920	2092670	2336180
P32157	17037400	19481600	18553000	18236300	18612700	18799900	18271100	17239800	16875100	18580800	14961800	14802500	16504000	15319800	16170800	16133500	16188200	17065900	15594400	15375900	19812000	18640600	14990000	15854900
P75811	176606	170811	173559	181047	140331	157798	182901	183733	196526	199738	100466	73066	111660	115973	90334.7	117279	139484	80322.3	98985.1	122792	125292	164586	79614.8	99676.2
P0ADY1	13925900	12465800	13130600	12635900	12533500	13946100	12345700	12038800	13121200	14054000	10441000	10631900	10029300	11057100	10634700	10264400	10960700	10202100	10538700	10422400	12708800	12957000	10978200	10801500
P04949	6222250	52027500	18733300	61148900	65698700	10046600	52328900	35828800	36190300	11952000	786404	757879	1184150	2965030	1540630	1290960	786543	620018	543880	335556	15786900	25008300	88550.5	441676
P0AFX4	4935880	5931510	6816120	6574250	5724070	4938120	6722860	5817840	4650160	5086230	3932910	3986730	4306790	2911390	4010960	3671780	3833170	3813990	3279560	3398750	6659730	6611540	3363900	3343020
P37342	1827440	1671530	1792270	1670870	1936970	1847790	1549840	1545930	1585630	1823970	2385090	2317260	2571480	2470960	2626190	2712520	2893830	2627840	3398880	3345170	1949910	1823070	3247530	2696270
P06721	5093710	5848600	5647080	5776930	5672120	5622500	5317680	4977010	5101730	5009040	6611560	5869950	6797780	6026410	6255880	5969580	6427690	6763020	6073940	6150430	5833710	5464710	6131080	5786420
P18776	5553580	3022600	5258790	3247750	3084290	6246260	2903210	2598740	3099880	6488830	4421540	3743040	5118640	4644170	5441170	6793440	6317160	6250680	7534640	8035270	4058430	4093820	7860350	6759530
P04805	26848200	25935000	26590100	24658300	23701800	27885800	24455200	22709000	22710800	27718100	22590900	22079700	20111500	23922700	23007100	21405700	21921600	22102300	21774400	21841700	25165700	24036800	22373400	22615100
P0AC51	1630750	1553980	2037810	1631390	1543500	2006670	1479710	1469000	1388810	1809400	1123150	1212440	1261780	1242000	1297240	1202190	1222440	1181090	1309890	1235500	1559310	1559570	1204210	1338150
P0A9C9	3014280	2843900	2822100	2835230	3089630	3039040	2873580	3048940	2979020	2936570	3896370	3768590	3775810	4131530	4075510	3804350	4167990	4096220	4037760	4261260	2953630	2898480	4125610	4100170
P37313	17387900	16148200	15672900	15519200	14980500	17806000	14980800	14802000	15021900	16947600	10511500	10212700	10488600	11585200	11167300	10377100	10925200	10582400	11371900	12020600	14946900	16127200	12392200	11558500
P75767	1586380	1537760	1588710	1430040	1569150	1593070	1484590	1428840	1395230	1542500	1283570	1279370	1312340	1276770	1257400	1186850	1230600	1231360	1195740	1205130	1602040	1443990	1254120	1192370
P0A7B8	5266410	6615080	6526490	6509820	6222070	6123440	5746600	5825370	5757600	5518120	7257070	5321500	6890870	5564380	6350990	5758290	6698900	6149010	5963530	6470720	6553110	6043560	6012030	6123810
P0A9Q9	125278000	118055000	116131000	122902000	121312000	139685000	109082000	110285000	101823000	131272000	222677000	215500000	232962000	198215000	225424000	223347000	242825000	234901000	232051000	240658000	144239000	133418000	262854000	234508000
P0A903	29839200	29438100	29528200	27695000	27855600	28350000	27399300	26740200	28462000	28430300	22660900	23480000	21764600	23324000	22008500	21617900	21782500	21650800	21303100	21231500	26540400	25774900	23229700	22683500
Q6BEX0	143871	212632	143252	180026	174024	140720	169419	209721	248355	166507	98555.1	92138.2	68745.3	81209.7	84510.9	88951.5	85093.1	110495	76697.2	107821	152637	193277	81207.8	89398.1
P0ACP1	3871780	3605150	3820500	3684610	3542110	4088460	3469890	3346350	3350680	4060700	2292030	2255720	2466470	2314050	2410340	2315890	2463690	2377260	2333960	2431890	4063320	3859570	2577790	2287850
P39405	NA	NA	NA	646340	NA	NA	877335	NA	1343620	NA	2567020	2262590	1972020	1539690	1765220	1068610	1995180	1354380	1278750	1639970	NA	NA	251668	1378220
P0A7K2	576227000	599758000	759843000	616946000	591641000	720933000	638070000	643474000	524532000	654883000	775187000	837691000	905370000	758508000	861743000	835297000	883865000	811614000	899266000	811074000	608018000	661047000	768066000	847249000
P76097	952491	1227550	932614	1256460	1208030	937712	1235870	1347190	1387100	910367	343702	379055	234356	340141	384176	339648	390349	371013	214919	285655	1059810	1075530	249541	416977
P11349	2588590	2156280	2608750	2251940	2627540	2591880	2265500	2144400	2058890	2697890	4187890	3778740	4347540	4111990	4883210	5093680	5154460	5499620	6144610	6790010	2468940	2032740	6290260	4859150
P0AAJ1	3403920	1735640	2876010	2025590	1922930	3712990	2015170	1647320	1965210	3864710	3642760	3209630	4155030	3984770	4485000	5398500	5175100	4960840	6403390	6654910	2644510	2346410	6387920	5577090
P25798	952299	2166570	1292330	2148470	1785370	1041340	1910080	1577990	1748780	984522	446881	372099	488074	611306	377196	517080	285655	305175	391223	352663	1282760	1626850	457300	405974
P37685	14206800	18635000	13764200	17737200	17893600	13596400	17601600	20979200	19885600	14321900	3028500	2855500	1927120	2918960	3286790	2826660	3451440	3403280	2548370	2662320	15840100	15677700	2519130	3173830
