,FedProt,Fisher,Stouffer,REM,RankProd
1,1.8707257964933888e-14,2.0143616211911284,2.0918179824306415,1.5625102867841163,8.117003915131324
2,2.914335439641036e-14,1.6051416446053914,2.133296528107152,2.564848894168889,5.037104862055791
3,3.159972283839352e-14,1.5944803343209835,1.9927338469262321,2.8215778052704903,5.519218719950458
4,1.8984813721090177e-14,1.3331497485787849,1.3905836674001828,1.4556597104764517,6.72051165529982
5,3.141931159689193e-14,1.284301451307557,1.9179675509943614,1.8371356540550692,5.488233761200667
6,1.7791323969618134e-14,1.6262976116647772,3.005386751300725,3.089812568342593,7.767100538670362
7,2.3564483697668948e-14,1.1287278477936138,1.6404901326243686,2.3229194742718806,7.580710265946293
8,1.9984014443252818e-14,1.8959712756208877,2.186754686744715,3.815454438356947,8.624519144267133
9,1.687538997430238e-14,1.1892942399181938,1.3428817490135385,1.630421263261886,7.008928654158754
10,1.837419105754634e-14,1.9254629343701979,2.6795372550783667,2.6911877096853374,6.723424447859252
