rowname	Ref8537_QC1_20230414_1	Ref8537_QC2_20230414_1	Ref8537_QC3_20230414_1	Ref8537_QC4_20230414_1	Ref8537_S4_20230414	Ref8537_S8_20230414	Ref8537_S11_20230414	Ref8537_S18_20230414	Ref8537_S21_20230414	Ref8537_S26_20230414	Ref8537_S35_20230414	Ref8537_S37_20230414	Ref8537_S45_20230414	Ref8537_S49_20230414	Ref8537_S52_20230414	Ref8537_S60_20230414	Ref8537_S65_20230414	Ref8537_S69_20230414	Ref8537_S75_20230414	Ref8537_S79_20230414	Ref8537_S82_20230414	Ref8537_S88_20230414	Ref8537_S94_20230414	Ref8537_S100_20230414
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	273630.59375	267299.53125	193840.1875	185135.15625	230225.328125	287104.34375	226867.984375	249087.171875	201163.296875	263416.75	297656.59375	362123.6875	265139.75	234338.796875	173746.203125	194997.40625	179416.59375	186154.125	191630.828125	165693.96875	185840.140625	207971.546875	179495.984375	180915.84375
A0A7H2C767	6083.92822265625	9559.04296875	7338.01220703125	6301.064453125	7437.6689453125	8106.197265625	7874.646484375	9228.75	13553.1064453125	8145.6572265625	4765.43310546875	1462.02209472656	4942.7763671875	6258.96484375	6271.32763671875	4878.66552734375	5737.47119140625	6285.0830078125	4635.82470703125	6578.93896484375	5792.06640625	5353.60791015625	6573.748046875	4200.07373046875
A5A613	323944.71875	258691.4375	183976.5	191854.40625	395133.09375	407869.34375	302157.90625	277280.25	239278.953125	315769.34375	309148.46875	304495.5	293328.375	243780.609375	183385.21875	190452.765625	191252.3125	116970.3046875	184554.078125	165665.609375	205201.578125	190844.796875	161178.390625	175067.71875
A5A614	56583.15234375	37725.7578125	31019.658203125	25314.9453125	62363.87890625	58426.984375	45056.6640625	48705.515625	56690.24609375	42928.69140625	73732.1484375	211678.796875	46256.8359375	39927.46484375	25513.81640625	42745.18359375	23384.677734375	37497.70703125	32502.0625	26897.60546875	31993.4765625	30725.5859375	20528.21484375	36483.125
O32583	63354	93638.203125	60622.49609375	27164.537109375	98775.9296875	64151.546875	116478.828125	107410.0625	45645.578125	90195.28125	23549.14453125	235093.546875	96559.9609375	84490.203125	41326.484375	40471.5078125	47703.67578125	47380.43359375	62297.52734375	46065.02734375	44214.97265625	36144.296875	52300.6171875	41793.44140625
P00350	6716289.5	7189380	8369894.5	8132007.5	8397948	7692975.5	6902692.5	7481620	7648699	7532529.5	7439422	6077602	7478016	7505708.5	8149496.5	8405868	9304721	9245709	9157715	8497288	8072009.5	8307172	8891987	8169581.5
P00363	1831288.875	1971559.5	1945528.25	1693179	1733344.375	1698645.875	1095241.125	1412759.5	2108962.25	1401217.125	1418270.125	1257602	1350419.125	1599408	1708076.125	1378182.375	1519929.625	1607993.5	1270456.5	1476328.5	1431440	1740935.25	1561382.875	1363378.625
P00370	5070388	4814768.5	8204746.5	7362718	5390967.5	5144726	4184950	5297400.5	6416301	4418141.5	4354443	2993142.75	4355291.5	4430061	8330951	7362237.5	7567939.5	5822809	6599549.5	7344354	7890741	9584124	5473378	7611377.5
P00393	1109469.75	1221372.125	1121143.5	1185761.875	883368.8125	1007983.375	1113244.125	892555.8125	651491.5625	970611.0625	1022889.375	757729.8125	1074530	925276.875	1084988.625	1066474.125	997293.75	809244.4375	1073933.625	968493.3125	1165100.875	1184165.75	927256.125	1074832.625
P00448	16965750	15287016	11935415	11448092	19366886	14308368	25905050	25644472	23530602	23665862	19942254	37578756	22111090	25869578	13451665	11346686	13497845	15625991	14257911	16657160	13404878	11547280	17125914	14019856
