rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	7
A0A7H2C767	2
A5A613	2
A5A614	3
O32583	2
P00350	34
P00363	31
P00370	28
P00393	23
P00448	17
P00452	38
P00490	43
P00509	28
P00547	12
P00550	17
P00561	48
P00562	30
P00579	22
P00582	45
P00634	17
P00722	2
P00803	14
P00805	19
P00811	16
P00861	12
P00864	59
P00887	11
P00888	19
P00893	26
P00894	13
P00895	20
P00903	1
P00904	19
P00909	23
P00914	5
P00926	9
P00934	28
P00935	10
P00936	8
P00944	5
P00946	23
P00954	17
P00956	53
P00957	60
P00959	38
P00960	15
P00961	54
P00962	31
P00963	19
P00968	64
P02358	9
P02359	14
P02413	11
P02916	5
P02918	25
P02919	23
P02924	6
P02925	15
P02929	11
P02930	29
P02931	23
P02932	1
P02942	1
P02943	11
P03004	24
P03007	2
P03018	19
P03023	9
P03024	6
P03030	1
P03813	8
P03817	4
P03819	7
P03841	10
P04036	18
P04079	35
P04128	3
P04335	23
P04391	15
P04395	3
P04425	17
P04693	17
P04805	30
P04816	21
P04825	45
P04846	13
P04949	4
P04951	14
P04968	24
P04982	6
P04983	12
P04993	5
P04994	15
P04995	17
P05020	18
P05041	12
P05042	17
P05055	34
P05100	3
P05194	14
P05458	35
P05459	20
P05637	11
P05704	1
P05706	1
P05707	2
P05719	13
P05791	35
P05793	41
P05804	1
P05825	32
P05827	3
P05852	11
P06129	33
P06136	6
P06149	37
P06282	5
P06610	13
P06611	4
P06612	37
P06616	12
P06709	13
P06710	18
P06715	21
P06720	6
P06721	13
P06846	8
P06959	39
P06960	6
P06961	16
P06966	5
P06968	5
P06971	38
P06974	1
P06983	14
P06986	17
P06987	22
P06988	19
P06989	6
P06992	10
P06993	23
P06996	30
P06999	16
P07000	6
P07001	23
P07003	25
P07004	25
P07012	18
P07014	19
P07017	1
P07018	1
P07021	4
P07023	27
P07024	27
P07102	10
P07109	7
P07117	4
P07118	57
P07330	1
P07363	1
P07395	42
P07604	20
P07623	19
P07639	18
P07648	11
P07649	3
P07650	26
P07762	38
P07813	55
P07821	5
P07862	11
P07913	9
P08142	21
P08178	12
P08179	10
P08189	2
P08190	3
P08191	3
P08192	19
P08200	33
P08201	1
P08202	6
P08204	1
P08244	15
P08245	5
P08312	25
P08331	34
P08337	4
P08368	5
P08373	9
P08390	16
P08394	8
P08395	16
P08400	3
P08401	3
P08506	23
P08622	13
P08660	23
P08839	32
P08956	43
P08957	25
P08997	39
P09029	12
P09030	16
P09053	16
P09099	7
P09126	9
P09127	25
P09147	20
P09148	12
P09151	34
P09152	32
P09155	5
P09158	9
P09169	26
P09323	16
P09348	2
P09372	15
P09373	49
P09391	2
P09394	7
P09424	18
P09546	31
P09549	7
P09551	17
P09831	78
P09832	31
P09833	1
P09980	11
P09996	5
P0A698	31
P0A6A0	14
P0A6A3	22
P0A6A6	22
P0A6A8	4
P0A6B4	14
P0A6B7	25
P0A6C1	10
P0A6C5	21
P0A6C8	17
P0A6D0	5
P0A6D3	18
P0A6D7	10
P0A6E1	11
P0A6E4	31
P0A6E6	10
P0A6E9	8
P0A6F1	20
P0A6F3	27
P0A6F5	40
P0A6F9	9
P0A6G3	8
P0A6G7	11
P0A6H1	26
P0A6H5	34
P0A6H8	13
P0A6I0	12
P0A6I3	13
P0A6I6	6
P0A6I9	8
P0A6J1	7
P0A6J3	2
P0A6J5	15
P0A6J8	18
P0A6K1	6
P0A6K3	7
P0A6K6	20
P0A6L0	13
P0A6L2	12
P0A6L4	9
P0A6L7	9
P0A6L9	9
P0A6M2	1
P0A6M4	5
P0A6M8	42
P0A6N4	7
P0A6N8	9
P0A6P1	28
P0A6P5	24
P0A6P7	12
P0A6P9	22
P0A6Q3	11
P0A6Q6	9
P0A6R0	13
P0A6R3	3
P0A6S0	4
P0A6S5	3
P0A6S7	12
P0A6T1	35
P0A6T3	10
P0A6T5	14
P0A6T9	2
P0A6U3	22
P0A6U5	9
P0A6U8	16
P0A6V1	18
P0A6V8	15
P0A6W0	1
P0A6W3	1
P0A6W5	13
P0A6W9	22
P0A6X1	9
P0A6X3	5
P0A6X7	10
P0A6Y1	7
P0A6Y5	12
P0A6Y8	55
P0A6Z1	24
P0A6Z3	45
P0A6Z6	6
P0A705	56
P0A707	11
P0A715	20
P0A717	15
P0A720	14
P0A722	10
P0A725	11
P0A729	10
P0A731	5
P0A734	9
P0A738	8
P0A742	9
P0A744	10
P0A746	8
P0A749	18
P0A752	5
P0A754	2
P0A756	3
P0A759	9
P0A761	4
P0A763	10
P0A769	1
P0A772	1
P0A776	1
P0A780	9
P0A784	12
P0A786	26
P0A790	4
P0A794	14
P0A796	19
P0A799	28
P0A7A2	12
P0A7A5	9
P0A7A7	30
P0A7A9	11
P0A7B1	32
P0A7B3	3
P0A7B5	25
P0A7B8	5
P0A7C2	16
P0A7C6	10
P0A7D1	9
P0A7D4	31
P0A7D7	18
P0A7E1	22
P0A7E3	7
P0A7E5	36
P0A7E9	10
P0A7F3	16
P0A7F6	13
P0A7F9	8
P0A7G2	8
P0A7G6	14
P0A7H0	5
P0A7H6	4
P0A7I0	17
P0A7I4	24
P0A7I7	8
P0A7J0	10
P0A7J3	12
P0A7J7	7
P0A7K2	12
P0A7K6	10
P0A7L0	16
P0A7L3	8
P0A7L8	6
P0A7M2	5
P0A7M6	4
P0A7M9	5
P0A7N1	9
P0A7N4	4
P0A7N9	3
P0A7P5	2
P0A7Q1	2
P0A7Q6	2
P0A7R1	16
P0A7R5	10
P0A7R9	6
P0A7S3	6
P0A7S9	11
P0A7T3	4
P0A7T7	5
P0A7U3	6
P0A7U7	4
P0A7V0	16
P0A7V3	18
P0A7V8	16
P0A7W1	11
P0A7W7	11
P0A7X3	12
P0A7X6	12
P0A7Y0	14
P0A7Y4	4
P0A7Y8	7
P0A7Z0	11
P0A7Z4	29
P0A800	12
P0A805	18
P0A809	5
P0A812	15
P0A814	2
P0A817	23
P0A821	18
P0A823	6
P0A825	30
P0A830	2
P0A832	6
P0A836	29
P0A840	7
P0A843	3
P0A847	17
P0A850	36
P0A853	17
P0A855	19
P0A858	16
P0A862	10
P0A867	30
P0A870	24
P0A873	8
P0A877	19
P0A879	19
P0A881	6
P0A884	12
P0A887	16
P0A890	5
P0A894	13
P0A898	2
P0A8A0	10
P0A8A2	9
P0A8A4	11
P0A8A8	6
P0A8B2	6
P0A8B5	9
P0A8C1	4
P0A8C4	5
P0A8D0	8
P0A8D3	5
P0A8D6	8
P0A8E1	11
P0A8E5	6
P0A8E7	13
P0A8F0	13
P0A8F4	13
P0A8F8	23
P0A8G0	18
P0A8G3	22
P0A8G6	11
P0A8G9	5
P0A8H6	8
P0A8H8	3
P0A8I1	5
P0A8I3	14
P0A8I5	13
P0A8I8	12
P0A8J2	4
P0A8J4	7
P0A8J8	23
P0A8K1	14
P0A8K5	4
P0A8L1	29
P0A8L5	2
P0A8L7	2
P0A8M0	26
P0A8M3	35
P0A8M6	11
P0A8N0	7
P0A8N3	40
P0A8N5	18
P0A8N7	4
P0A8P3	11
P0A8P6	8
P0A8P8	3
P0A8Q0	4
P0A8Q3	2
P0A8Q6	3
P0A8R0	6
P0A8R4	3
P0A8R7	6
P0A8R9	8
P0A8S1	11
P0A8T1	7
P0A8T7	92
P0A8U0	7
P0A8U2	5
P0A8U6	8
P0A8V0	9
P0A8V2	84
P0A8V6	13
P0A8W0	11
P0A8W2	10
P0A8W5	11
P0A8W8	14
P0A8X0	9
P0A8X2	12
P0A8Y1	4
P0A8Y3	7
P0A8Y5	12
P0A8Y8	3
P0A8Z0	7
P0A8Z3	2
P0A8Z7	2
P0A901	11
P0A903	22
P0A905	8
P0A908	10
P0A910	31
P0A912	10
P0A915	7
P0A917	9
P0A921	12
P0A924	3
P0A927	10
P0A932	2
P0A935	16
P0A937	3
P0A940	44
P0A944	4
P0A948	3
P0A951	11
P0A953	19
P0A955	11
P0A959	12
P0A962	9
P0A964	3
P0A968	3
P0A972	7
P0A978	4
P0A986	1
P0A988	13
P0A991	20
P0A993	17
P0A998	9
P0A9A2	9
P0A9A6	33
P0A9A9	7
P0A9B2	28
P0A9B6	11
P0A9C0	1
P0A9C3	15
P0A9C5	28
P0A9C9	18
P0A9D2	14
P0A9D4	9
P0A9D8	16
P0A9E0	2
P0A9E5	7
P0A9F1	9
P0A9F3	18
P0A9F6	6
P0A9F9	11
P0A9G2	4
P0A9G4	3
P0A9G6	27
P0A9G8	11
P0A9H1	10
P0A9H5	5
P0A9H7	12
P0A9H9	1
P0A9I3	4
P0A9I5	1
P0A9I8	1
P0A9J0	19
P0A9J4	7
P0A9J6	11
P0A9J8	15
P0A9K3	17
P0A9K7	11
P0A9K9	8
P0A9L3	11
P0A9L5	7
P0A9L8	10
P0A9M0	45
P0A9M2	10
P0A9M5	9
P0A9M8	39
P0A9N4	11
P0A9N8	3
P0A9P0	31
P0A9P4	14
P0A9P6	30
P0A9P9	4
P0A9Q1	18
P0A9Q5	14
P0A9Q7	58
P0A9Q9	22
P0A9R4	6
P0A9R7	12
P0A9S1	10
P0A9S3	13
P0A9S5	12
P0A9S7	14
P0A9T0	18
P0A9T4	9
P0A9T6	3
P0A9T8	7
P0A9U1	6
P0A9U3	25
P0A9U6	4
P0A9V1	19
P0A9W0	7
P0A9W3	41
P0A9W6	4
P0A9W9	13
P0A9X1	10
P0A9X4	19
P0A9X9	5
P0A9Y6	5
P0A9Z1	9
P0AA04	8
P0AA10	10
P0AA16	18
P0AA25	7
P0AA31	5
P0AA37	3
P0AA39	18
P0AA41	3
P0AA43	10
P0AA53	13
P0AA57	5
P0AA60	2
P0AA73	1
P0AA82	5
P0AA84	4
P0AA86	3
P0AA89	7
P0AA91	9
P0AA95	4
P0AA97	3
P0AA99	1
P0AAA1	4
P0AAA7	1
P0AAA9	1
P0AAB4	14
P0AAB6	20
P0AAB8	7
P0AAC0	17
P0AAC4	3
P0AAC6	1
P0AAC8	6
P0AAD6	3
P0AAE0	4
P0AAE2	1
P0AAF6	6
P0AAG0	17
P0AAG3	6
P0AAG5	1
P0AAG8	6
P0AAH0	12
P0AAH4	4
P0AAH8	8
P0AAI3	37
P0AAI5	17
P0AAI9	15
P0AAJ1	5
P0AAJ3	1
P0AAJ5	1
P0AAJ8	5
P0AAK1	1
P0AAN1	2
P0AAN3	7
P0AAN5	5
P0AAN9	8
P0AAP3	6
P0AAQ2	3
P0AAQ6	1
P0AAR3	10
