rowname	file	lab	Glu	Pyr
Ref8537_S4_20230414	Ref8537_S4_20230414	lab_A	0	1
Ref8537_S8_20230414	Ref8537_S8_20230414	lab_A	0	1
Ref8537_S11_20230414	Ref8537_S11_20230414	lab_A	0	1
Ref8537_S18_20230414	Ref8537_S18_20230414	lab_A	0	1
Ref8537_S21_20230414	Ref8537_S21_20230414	lab_A	0	1
Ref8537_S26_20230414	Ref8537_S26_20230414	lab_A	0	1
Ref8537_S35_20230414	Ref8537_S35_20230414	lab_A	0	1
Ref8537_S37_20230414	Ref8537_S37_20230414	lab_A	0	1
Ref8537_S45_20230414	Ref8537_S45_20230414	lab_A	0	1
Ref8537_S49_20230414	Ref8537_S49_20230414	lab_A	0	1
Ref8537_S52_20230414	Ref8537_S52_20230414	lab_A	1	0
Ref8537_S60_20230414	Ref8537_S60_20230414	lab_A	1	0
Ref8537_S65_20230414	Ref8537_S65_20230414	lab_A	1	0
Ref8537_S69_20230414	Ref8537_S69_20230414	lab_A	1	0
Ref8537_S75_20230414	Ref8537_S75_20230414	lab_A	1	0
Ref8537_S79_20230414	Ref8537_S79_20230414	lab_A	1	0
Ref8537_S82_20230414	Ref8537_S82_20230414	lab_A	1	0
Ref8537_S88_20230414	Ref8537_S88_20230414	lab_A	1	0
Ref8537_S94_20230414	Ref8537_S94_20230414	lab_A	1	0
Ref8537_S100_20230414	Ref8537_S100_20230414	lab_A	1	0
