,FedProt,Fisher,Stouffer,REM,RankProd
1,0.0,1.2118272108667394e-06,1.586715533817562e-05,3.7228887038394018e-06,0.0037849906153810675
2,0.0,3.335490716565616e-06,5.030728076853633e-06,5.479540816862694e-05,0.004557654290377577
3,0.0,7.407588465749293e-07,2.7130918948820026e-06,1.3858725413471969e-05,0.0008860989487513571
4,0.0,8.980910640591158e-07,2.906990881514429e-06,3.7664378518293827e-06,0.004645252844097003
5,0.0,1.953483143733324e-05,1.418335677059318e-05,2.5879737683844268e-05,0.0015599055152968333
6,0.0,1.8980553659057875e-05,1.74844912027676e-06,8.777940542395446e-06,0.0015613414076924848
7,0.0,1.8414881165082324e-05,1.7755556869896924e-05,7.604303021617537e-06,0.01657508573516342
8,0.0,1.2093568802669374e-06,3.5703103893561933e-06,9.598038369659214e-06,0.0003552201988978876
9,0.0,7.180347121243935e-06,1.9813513289617442e-05,6.124930110173072e-05,0.011719946168648243
10,0.0,1.0662377882279708e-06,4.731963348658663e-07,1.8458736892313884e-05,0.0038281877181294277
