,MinDiff,MinDiff,MeanDiff,MeanDiff,MaxDiff,MaxDiff
,mean,std,mean,std,mean,std
FedProt,0.00E+00,0.00E+00,3.44E-16,1.12E-17,7.49E-15,1.33E-15
Fisher,0.00E+00,0.00E+00,3.88E-03,1.43E-04,2.28E-01,1.57E-01
Stouffer,0.00E+00,0.00E+00,3.88E-03,1.43E-04,2.28E-01,1.57E-01
REM,0.00E+00,0.00E+00,1.26E-02,6.11E-04,1.51E+00,1.37E+00
RankProd,0.00E+00,0.00E+00,3.88E-03,1.43E-04,2.28E-01,1.57E-01
