,r,r,rho,rho
,mean,std,mean,std
FedProt,1.00E+00,3.85E-16,1.00E+00,0.00E+00
Fisher,9.98E-01,2.81E-04,9.90E-01,9.22E-04
Stouffer,9.98E-01,2.81E-04,9.90E-01,9.22E-04
REM,9.72E-01,1.77E-02,9.42E-01,3.74E-03
RankProd,9.98E-01,2.81E-04,9.90E-01,9.22E-04
