,r,r,rho,rho
,mean,std,mean,std
FedProt,1.00E+00,2.92E-16,1.00E+00,0.00E+00
Fisher,9.81E-01,5.43E-03,5.64E-01,9.34E-03
Stouffer,9.87E-01,3.26E-03,1.16E-01,1.28E-02
REM,9.37E-01,1.14E-02,7.31E-01,4.38E-02
RankProd,7.23E-01,1.11E-02,7.88E-01,6.32E-03
