rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P15373	2215220	1978640	2248680	1965360	1897070	2099750	2052030	1938850	1964150	2089750	1776350	1930290	2011680	1810840	1910340	2081270	1840520	1860620	2023310	1880190	1954460	1868790	1868730	1835800
P68699	60970100	62922100	61761100	60060500	70132300	58910800	60649200	67366000	69596200	52572200	36170600	37535900	36810000	30845900	37308300	41373200	33236400	32737800	36313700	40168000	61069800	53319600	31145400	26061400
P67244	901961	1220310	1274500	1066180	1071060	1017220	1007570	1035470	923175	936133	961837	1050090	889023	854314	781158	813997	768665	1061440	632590	885451	1023390	815672	906193	965769
P09391	688660	677098	619345	676359	745036	732711	599334	693623	673343	608344	664007	691893	720372	676891	664941	682996	628410	645415	556755	641038	521828	571666	622688	671619
P36673	1700880	1626460	1603350	1558080	1592200	1691230	1543760	1513650	1490930	1566250	1188600	1187250	1246730	1179500	1217370	1196520	1186920	1173420	1189710	1163970	1610470	1602550	1175440	1150140
P0A6M2	316633	361162	302207	346549	317544	376541	290213	266918	299661	290134	186317	147507	171570	187249	143742	169076	154087	150339	135325	161534	267751	207257	163571	140841
P0A7M2	126139000	134805000	140052000	128140000	133283000	141854000	130162000	122681000	118393000	136848000	187852000	190898000	195720000	192950000	192289000	187290000	196876000	202124000	199105000	192635000	138513000	132643000	190228000	192629000
P46890	924507	875768	1063380	980564	969907	1031270	908042	880332	963235	1045960	699501	320078	NA	NA	1045560	1136750	1212430	290156	767237	771094	849769	942482	NA	1151620
P0ACW6	19800400	11657100	24644900	13209700	11390600	21366100	10423600	10015800	11368000	20355700	1659570	1346500	1760620	1557870	2026050	2436670	1975160	1825620	2134020	1978260	13927200	13917500	2175460	2012380
P0AA91	2291790	2518270	2217330	2395920	2555540	2311690	2493560	2675570	2768500	2221460	1706810	1713500	1605300	1667010	1749540	1768590	1750720	1631980	1667650	1752520	2394190	2556200	1810970	1684710
P16692	137736	134511	176653	189768	170938	161070	203979	162288	169307	143194	172895	143865	164971	164041	156065	122626	153450	137699	161755	132994	131639	174508	101508	149621
P19318	453274	512413	483923	503596	523152	507985	474327	523762	500794	480815	325831	298739	313255	302820	343593	285327	338514	308655	316181	389048	471016	505068	340520	341993
P0ADG1	578443	576880	627226	608466	502343	578774	612003	546965	451388	504864	421170	284632	225324	278360	387928	331432	305120	326512	305677	373252	421415	544540	727294	588241
P76222	2199060	2027780	2183000	2203190	2315570	2127880	1908890	2187010	2078280	2247460	2766920	2691500	3010760	2607540	2601210	2767500	2886580	3001510	2913230	3120340	2202300	2152290	2900340	2940740
P0ACS9	924899	1077040	985655	1085420	1078570	918822	1103300	1020660	1013140	966747	1030700	1053660	1062870	1076180	1081200	1194820	1061470	1106380	994314	1071980	861024	1033110	979037	1019020
P77334	114738	233865	126907	198763	208002	128534	213496	227520	203087	112060	283816	277610	279967	309062	287121	290153	286264	282893	257727	296319	215766	190890	249424	246503
P69054	133964	157066	165821	149673	154104	152778	84416.1	64214.6	65130.2	98153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83922.6	75571.3	NA	NA
Q2EES0	NA	NA	53255.2	25784.3	NA	39914.4	NA	NA	NA	26702.1	NA	38039.2	44253	19804.4	36647.8	50762.3	20670.3	37036.4	26858.2	49016.3	33224.9	NA	39018.4	52752.9
P63177	3039260	2971960	3120240	3017820	2878650	3345620	2977180	2853100	2867370	3099040	3431770	3560040	3595190	3222500	3509490	3419220	3497300	3500490	3267620	3285140	2831280	2965830	3401520	3485220
P0C054	4593970	5229670	6345980	5542270	4918940	5154500	4973920	5044120	4966270	4957690	5102360	4952830	5281970	4459050	5067680	4967580	4599110	5287420	5108780	5078050	5416040	5430080	4820420	5218760
P0ABG7	927604	1154110	976706	986018	1090010	843975	988401	1056750	985910	768698	805279	745359	689955	740654	698968	729138	817000	637599	577501	885216	682017	753948	741668	802645
P0A917	57756600	65106000	57893000	60410300	72380600	60233000	64095700	71311900	64984300	58502300	119245000	121099000	126608000	121937000	117078000	117966000	114290000	132764000	112042000	113518000	62475300	59728900	113468000	114791000
P69831	24755400	30697000	30250300	28357500	33886100	22222500	26479100	26453900	26850800	23342600	4261690	4595140	3154490	4005760	4190600	3986290	3787040	4054430	3213800	4915560	23612300	18961800	6071380	4673470
P21866	1288870	1221860	1317800	1268170	1294820	1275340	1240340	1295360	1193260	1266960	1093770	1132640	1210090	1101350	1113710	1194400	1133030	1167560	1111750	1121720	1257960	1276730	1051610	1022250
P0AAS0	2360800	2064680	2571040	2146710	1752490	2662160	1867910	1697220	1718610	2326130	1656160	1648370	2122960	1582140	1418070	1391510	1382650	1338590	1554520	1369130	2388940	2234000	1622270	1415170
P0ACH8	914446	881044	927180	793196	774595	934645	803230	871119	804109	771118	677922	390396	422968	318197	431795	528349	523648	410627	727540	601196	881198	894355	529454	730835
P0A6D0	5503860	5114000	6085960	5661100	6007460	5520870	5542670	5376970	6186600	5855830	4236720	4181120	4344940	3864400	4068300	4906910	3760760	4085010	4327340	4237300	5557330	5979170	4367360	3851030
P00579;P13445	721286	1166590	1198320	1135920	969868	1054980	962515	850845	663438	1064550	1334930	1207490	1416500	1174810	1338630	1092270	1337990	1521390	1216840	1191460	1469550	951029	1329150	1111510
P0A7T7	137759000	138373000	139285000	129147000	132622000	127873000	140236000	123670000	123115000	141063000	182896000	190182000	174130000	188889000	188400000	177967000	178780000	188499000	167916000	172812000	135977000	139308000	189529000	188273000
P08401	393768	422821	402312	406138	420418	418349	449740	404737	459074	429303	322942	342509	335482	320576	343230	341727	378289	350111	344639	379793	415808	434579	355271	355551
P67762	517603	516236	600063	512081	503251	502007	519405	389659	482959	454682	537932	585492	594054	597216	571724	608712	615823	578711	568134	590638	504629	487857	507738	541688
P45795	593303	541744	716122	480974	595503	591996	544078	418094	553546	567559	752385	690191	669683	632251	591177	653759	691516	695390	752404	710751	598573	517098	795542	535077
P77214	2082460	644669	5739470	387560	218924	4427830	471734	178810	300747	237280	400379	240155	577932	251576	389772	2179810	203021	286208	1083680	453160	1010750	267776	335823	413124
P13669	785294	867192	787654	858235	690617	882350	802396	793106	727887	790482	756915	763290	821488	760721	760963	841950	760885	775608	810330	733469	769325	839770	782311	793861
P31064	638286	810583	687668	734997	799380	574990	616121	738183	801589	562464	220980	174414	150714	191973	187859	166642	184862	189960	172678	205786	443803	409846	253771	210308
P0AB38	5659850	5768340	5103570	5733040	6127480	4873020	5833270	6428730	6550180	5497650	5161890	5007680	5058000	4839510	5143320	5121320	5182340	4947920	5203060	5119890	6115700	6470800	5400780	5269540
P77333	149380	173683	183672	166663	189547	178264	179501	163425	167239	160384	179755	191133	214314	188876	178692	188230	199837	192720	178745	193205	159510	182842	196975	163405
P39410	1535540	1556660	1414830	1554200	1759580	1563260	1527760	1373420	1328280	1462100	1591500	1592220	1407140	1557610	1584980	1502290	1582250	1618700	1672570	1373140	1462360	1509410	1572130	1469510
P10423	75662.5	93342.6	78891.4	81695.5	NA	69400.2	106776	95242.6	86424.1	77817.9	119268	135635	120825	112124	124340	113717	110454	120872	149819	120021	148114	67163.6	137283	122601
P0ACW4	1020010	1247760	1898870	900936	1019120	1586520	1177230	911138	448505	1113910	982708	761190	1047270	832787	974134	1391260	1272680	624448	887447	1669690	1189050	1181520	1245770	1350570
P06136	1845910	1925770	1670100	1706760	1956580	1564560	1813860	1833650	1851970	1574840	2153440	2213370	2238190	2154660	2185750	2137420	2145860	2244530	2373470	2290020	1839270	1867200	2471010	2231680
P0AAS3	1250870	1322120	1192570	1355860	1305900	1289530	1284400	1503330	1388120	1098410	1039660	804188	854747	870396	902233	681383	711189	773162	850726	885269	1233540	1500080	833079	801649
P23827	8589180	5989240	8995810	6644710	6997860	9028730	6465650	6472310	6822690	9469970	4009070	4366180	4151650	3903010	4378460	4640610	4113680	3787360	4305860	4159900	7777000	6892480	4356560	4154680
P67662	3737360	2956770	3435200	2995520	3333870	3485630	2944430	3088050	2881620	3554190	3703130	3647120	3653000	3847410	4049250	4029290	3652970	3903730	3566560	3523660	3171500	3021920	3551920	3412330
P23872	548763	503684	583355	494892	378464	607241	416654	378823	413230	546917	319167	217539	290708	265995	262553	237211	267118	250850	269077	281550	449081	461980	272087	265796
P21515	487481	469168	517597	528397	488240	427065	557391	446043	562968	395944	589457	604735	516563	628868	536820	568711	568945	642287	567105	623510	519820	432105	752653	544300
P31131	1504600	1698250	1409800	1695540	1763380	1444500	1792470	1944040	1857020	1362290	833683	1001310	820244	837831	926992	849776	898024	856105	797690	795943	1521840	1505540	789778	871678
P77335	1593370	1392640	1475910	1394200	1581710	1638410	1611720	1527090	1682020	1519830	1541160	1665860	1771660	1399910	1794050	1939790	1827970	1807770	2096330	2050580	1678450	1624410	1842830	1739290
P75946	827697	921688	860248	1011770	930934	981934	856490	940240	814048	855213	916495	814493	1008870	962084	808506	820134	902220	852063	842767	834482	1020250	1020470	711067	844209
P0AF70	26753200	28827400	28973500	28019800	28133300	24520500	28943000	22605900	26762200	28375800	19193100	20453800	18979900	21616300	19124600	19417400	20446300	21979700	17903600	18313400	25681200	23985300	19897600	20763700
P60782	371746	364209	417349	418925	396628	423941	387780	335897	339294	348586	204006	214255	315714	259621	239821	214047	232372	223329	209664	223093	326546	324165	198383	225793
Q7DFV3	2826020	2719050	2110510	2055500	3040350	1672830	3229700	3720970	3090890	3153630	2678160	2728160	2900400	1747300	2157800	3188140	1984930	1865390	3013130	3559880	3396640	3073050	3751180	3744840
P37647	3485560	3492230	3339230	3561700	3325960	3533560	3444670	3241130	3308390	3370930	2687130	2594000	2802860	2567000	2674520	2744200	2836840	2783000	2850870	2868550	3239970	3275840	2834590	2676710
P0AE28	1804760	1942140	1797220	2084620	2076800	1676770	2165080	2718060	2213930	1748520	1256160	1246070	1210350	1280050	1322060	1352680	1351490	1096890	1269710	1240430	1746240	2038440	1254730	1254090
P75694	44185900	49906500	62949200	54463900	56545000	49093300	56233600	66677700	74794500	46149300	30236500	31905800	31422700	26615700	32277000	32834600	32661100	26690000	32602200	28559300	50325900	49946400	27508100	31073300
P52094	190347	242931	235854	283546	292182	219387	272018	243638	236749	266800	253518	242407	244147	288456	209643	221194	244145	254215	198877	218691	187686	197443	281150	264686
P19323	1035080	1093780	1070860	1141270	1193060	1092750	1192790	1233530	1225070	1011290	1168120	1118550	1093420	1156300	1182940	1112930	1133530	1092170	1185430	1174910	1187550	1179220	1119150	1156600
P0A7S3	77065500	86012200	78390800	83124400	78722300	89464000	78787800	82270700	78239000	82129900	107981000	108943000	114165000	117482000	111467000	106040000	106672000	108712000	112819000	111920000	85056400	88324200	108493000	124526000
P0ACJ0	78779000	74604000	80000900	75515100	75468600	78325600	74744100	75670800	69092800	76527500	82092000	85001500	85154100	79815700	81774400	89508600	80595000	83968000	84809300	82324000	76046600	72626700	80084800	79254200
P76148	321758	312042	243809	243132	264439	212846	386311	236179	327791	238785	201143	261489	233989	260731	271072	348844	269520	217094	184051	119833	350278	381859	230131	223299
P46022	244503	273779	243919	256405	260742	236629	238719	244068	255312	240101	180033	174557	176637	179205	172396	199166	192544	194638	179447	191237	269168	240403	172967	164100
P0A9V8	103757	95168.6	98688.3	99462.7	87281.4	105345	110595	79829.7	100023	121959	52539.4	50583.6	58879.9	64101.2	50667	73828.5	50065.3	41871.3	78192.3	64292.9	120240	121181	67985.8	50825.3
P09373;P42632	68478600	54421000	53666200	56276200	86753700	60493600	70398200	78420400	71855300	66968800	95886400	104115000	113890000	90167200	106349000	107051000	113105000	99989900	123011000	126361000	94060200	76615300	118569000	105754000
P0AE22	6785170	5952850	8413430	6208400	5747730	7175960	5397490	5188660	5736690	7160230	1137700	1187160	1249090	1252820	1330800	1373750	1183320	1198050	1331240	1316670	5797820	5306610	1422020	1318290
P69931	1119420	1006280	1076320	1018020	1017600	1167930	1052230	1056480	1015150	1164640	1055500	1037060	1019280	1109840	1035590	1049250	1052840	1037970	1106800	1053060	987750	980504	1084090	1052270
P28224	742352	772483	619501	809937	761121	846341	790780	729603	712818	736059	432471	383725	370508	423822	432810	533418	473222	480404	445029	460767	753007	709316	447796	403793
P27838	2247280	3027760	3647220	2844860	2522380	2800840	2648860	2372110	2336580	2681010	2406840	2693420	2567420	2150480	2571110	2477180	2269980	2719300	2557930	2325190	2769630	2351450	2297040	2220400
P0A9E5	4907920	5424340	5370400	5269810	4769050	5038790	5277960	4840330	4485580	4897480	5381130	5041530	5793270	5798650	5473900	5450700	5445000	5309860	5213200	5351830	5427380	5658510	5144930	5370830
P33647	2465060	2248230	2728530	2397440	2133710	3145850	2041650	2298140	1981210	2600780	1698850	1500170	1725910	1715650	1906230	1699960	1601400	1473640	1507410	1604270	1914420	1861090	1542210	1375890
P0A7Q1	5144500	4149470	4073510	3248030	5394020	2386490	4492210	3112380	4018720	4017450	4216340	5417840	5981000	5272660	5968970	6387170	4899340	5548660	5072820	4996450	3098270	3867740	6406080	6592710
P0A6Z6	1937150	1964840	1927340	1935570	1905900	1937980	1867730	1847640	1833580	1970870	1755230	1632560	1925870	1855480	1862840	1829710	1919560	1793310	1750180	1833810	1834790	1731540	1712560	1824380
P31068	NA	316690	191487	316161	259528	141061	270711	144071	189633	130207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	190884	200830	NA	NA
P62617	7774770	8369880	8754840	8767900	8142230	8293110	8771090	8457390	7358080	7925290	7859870	8090280	8797440	7625560	7888920	8136720	7452860	8152740	8126120	7619570	8096430	8510060	7512110	7659260
P67095	3131240	2830060	3256560	2961810	2882250	3459290	3153710	3095250	2506000	3443030	2813780	2903780	3123580	2737450	2593020	2837310	2693530	2954720	3004800	2917250	3059090	3090530	2667060	2823580
P0AA31	12533300	14262500	16654100	14740200	13902100	13434100	14466300	14284200	16127500	12780300	6856300	7546330	7391080	6451430	7144470	8219760	7665080	6711470	8343750	7750840	12255800	13497200	8069610	7374000
P0A6Y5	6287800	6254190	6931200	6508240	6779550	6613400	6664500	6562410	6561550	6423460	6427000	6999320	6518110	6002120	6642710	6985430	5992790	6332320	6388210	6129120	6508240	6289800	6528340	6507920
P76555	102779	87747.6	186303	85850.3	52671	99392.6	59940.4	83824.5	48806.2	115809	30165.8	NA	37003	28803.1	NA	32658.8	NA	21978.5	NA	21039.8	68392.4	71105.8	NA	30629.5
P41039	634558	634407	776152	730142	699551	640469	760829	701068	965567	680869	783196	803447	698858	700948	872716	960457	788744	799084	752989	581555	748782	710563	717695	617427
