rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	9
A5A613	1
A5A614	1
A5A621	1
O32583	1
P00350	64
P00363	61
P00370	56
P00393	40
P00448	19
P00452	56
P00490	61
P00509	49
P00547	23
P00550	24
P00561	109
P00562	44
P00579	42
P00579;P13445	1
P00582	85
P00634	24
P00722	2
P00803	15
P00805	23
P00811	18
P00861	24
P00864	104
P00887	22
P00888	32
P00893	50
P00894	14
P00895	36
P00903	4
P00904	26
P00909	32
P00914	9
P00926	15
P00934	51
P00935	16
P00936	25
P00944	2
P00946	29
P00954	26
P00956	100
P00957	106
P00959	69
P00960	27
P00961	89
P00962	59
P00963	25
P00968	121
P02358	24
P02359	32
P02413	16
P02916	4
P02918	35
P02919	42
P02924	9
P02925	22
P02929	10
P02930	44
P02931	34
P02931;P02932;P21420	2
P02932	1
P02942	1
P02942;P07017	1
P02942;P07017;P07018;P50466	1
P02943	28
P03004	31
P03007	3
P03018	30
P03023	10
P03024	12
P03030	1
P03813	18
P03817	3
P03819	11
P03841	10
P04036	24
P04079	68
P04128	8
P04335	33
P04391	18
P04391;P06960	17
P04395	6
P04425	29
P04693	30
P04805	50
P04816	29
P04816;P0AD96	3
P04825	76
P04846	15
P04949	1
P04951	23
P04968	44
P04982	5
P04983	15
P04993	17
P04994	18
P04995	22
P05020	37
P05041	18
P05042	20
P05050	3
P05052	2
P05055	74
P05100	2
P05194	23
P05458	47
P05459	45
P05523	6
P05637	11
P05704	1
P05706	3
P05719	18
P05791	48
P05793	99
P05804	1
P05825	47
P05827	6
P05852	13
P06129	33
P06134	1
P06136	6
P06149	61
P06282	8
P06610	17
P06611	4
P06612	78
P06616	21
P06709	11
P06710	35
P06715	38
P06720	9
P06721	22
P06722	5
P06846	11
P06864	1
P06959	93
P06960	13
P06961	22
P06966	8
P06968	4
P06971	49
P06974	1
P06983	17
P06986	24
P06987	31
P06988	25
P06989	6
P06992	15
P06993	34
P06996	52
P06996;P21420	5
P06999	31
P07000	10
P07001	41
P07003	45
P07004	35
P07012	28
P07013	7
P07014	30
P07017	1
P07018	1
P07021	6
P07023	32
P07024	47
P07102	13
P07109	20
P07117	4
P07118	93
P07330	1
P07363	1
P07395	69
P07604	35
P07623	22
P07639	27
P07648	24
P07649	11
P07650	35
P07658	2
P07762	47
P07813	89
P07821	12
P07822	5
P07862	19
P07913	13
P08142	45
P08178	23
P08179	15
P08189	1
P08190	2
P08191	2
P08192	25
P08200	88
P08201	5
P08202	9
P08204	1
P08244	18
P08245	4
P08312	36
P08331	42
P08337	5
P08368	5
P08369	1
P08373	14
P08390	15
P08394	17
P08395	22
P08400	7
P08401	4
P08506	47
P08506;P0AEB2	1
P08622	21
P08660	36
P08839	64
P08839;P32670;P77439	2
P08839;P77439	1
P08956	57
P08957	35
P08997	63
P09029	17
P09030	27
P09053	22
P09099	11
P09126	8
P09127	28
P09147	29
P09148	15
P09151	71
P09152	39
P09152;P19319	10
P09155	8
P09158	24
P09163	3
P09169	46
P09184	1
P09323	21
P09348	1
P09372	26
P09373	116
P09373;P42632	9
P09373;P42632;P68066	1
P09373;P68066	2
P09391	2
P09394	9
P09424	33
P09546	49
P09549	11
P09551	28
P09551;P0AEU0	2
P09831	134
P09832	59
P09832;P37127	2
P09833	5
P09835	2
P09980	20
P09996	2
P0A698	57
P0A6A0	22
P0A6A3	46
P0A6A6	50
P0A6A8	5
P0A6B4	18
P0A6B7	54
P0A6C1	21
P0A6C5	40
P0A6C8	34
P0A6D0	4
P0A6D3	33
P0A6D7	17
P0A6E1	12
P0A6E4	69
P0A6E6	11
P0A6E9	11
P0A6F1	31
P0A6F3	40
P0A6F5	97
P0A6F9	10
P0A6G3	10
P0A6G7	13
P0A6H1	43
P0A6H5	46
P0A6H8	12
P0A6I0	13
P0A6I3	21
P0A6I6	11
P0A6I9	5
P0A6J1	10
P0A6J3	1
P0A6J5	21
P0A6J8	29
P0A6K1	14
P0A6K3	11
P0A6K6	40
P0A6L0	23
P0A6L2	20
P0A6L4	9
P0A6L7	8
P0A6L9	10
P0A6M2	2
P0A6M4	4
P0A6M8	101
P0A6N4	12
P0A6N8	12
P0A6P1	65
P0A6P5	46
P0A6P7	16
P0A6P9	54
P0A6Q3	23
P0A6Q6	16
P0A6R0	28
P0A6R3	5
P0A6S0	3
P0A6S3	1
P0A6S5	2
P0A6S7	17
P0A6T1	56
P0A6T3	21
P0A6T5	29
P0A6T9	1
P0A6U3	35
P0A6U5	13
P0A6U8	18
P0A6V1	34
P0A6V5	2
P0A6V8	22
P0A6W0	6
P0A6W3	2
P0A6W5	17
P0A6W9	28
P0A6X1	9
P0A6X3	8
P0A6X7	18
P0A6Y1	12
P0A6Y5	11
P0A6Y8	99
P0A6Z1	36
P0A6Z3	70
P0A6Z6	6
P0A705	93
P0A707	22
P0A715	35
P0A717	32
P0A720	14
P0A722	15
P0A725	18
P0A729	14
P0A731	8
P0A734	13
P0A738	15
P0A742	8
P0A744	12
P0A746	14
P0A749	37
P0A752	5
P0A756	4
P0A759	25
P0A761	8
P0A763	16
P0A772	1
P0A776	4
P0A780	11
P0A784	14
P0A786	45
P0A790	7
P0A794	23
P0A796	35
P0A799	62
P0A7A2	18
P0A7A5	11
P0A7A7	59
P0A7A9	18
P0A7B1	42
P0A7B3	6
P0A7B5	27
P0A7B8	9
P0A7B8;P0ACS7	1
P0A7C2	18
P0A7C6	9
P0A7D1	17
P0A7D4	54
P0A7D7	33
P0A7E1	40
P0A7E3	12
P0A7E5	51
P0A7E9	16
P0A7F3	32
P0A7F6	24
P0A7F9	12
P0A7G2	14
P0A7G6	30
P0A7H0	6
P0A7H6	12
P0A7I0	27
P0A7I4	40
P0A7I7	17
P0A7J0	17
P0A7J3	19
P0A7J7	19
P0A7K2	15
P0A7K6	19
P0A7L0	45
P0A7L3	14
P0A7L8	10
P0A7M2	12
P0A7M6	7
P0A7M9	12
P0A7N1	8
P0A7N4	9
P0A7N9	3
P0A7P5	2
P0A7Q1	2
P0A7Q6	2
P0A7R1	26
P0A7R5	16
P0A7R9	12
P0A7S3	10
P0A7S9	21
P0A7T3	8
P0A7T7	7
P0A7U3	15
P0A7U7	9
P0A7V0	29
P0A7V3	31
P0A7V8	30
P0A7W1	34
