ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
NDUFS4	0.999999296819234	1.11170997986671e-05	0.999999296819234	1.11170997986671e-05	2.38737437297102
NDUFA10	0.99991363069533	0.000717517296407759	0.99991363069533	0.000717517296407759	1.6064475170996
NDUFV1	0.999992072600707	0.000129899881657623	0.999992072600707	0.000129899881657623	2.02739305924859
NDUFS5	0.99999597891296	3.46338712355985e-05	0.99999597891296	3.46338712355985e-05	2.23883471169412
NDUFA12	0.999989691698971	0.000124257336989312	0.999989691698971	0.000124257336989312	2.0209109919433
NDUFA9	0.99995757937068	0.000618161263144964	0.99995757937068	0.000618161263144964	1.71034614695152
NDUFS6	0.99992117994426	0.000510105917020086	0.99992117994426	0.000510105917020086	1.71456841551869
NDUFS7	0.999972862118601	0.000430815594562967	0.999972862118601	0.000430815594562967	1.77749905952694
PARD3B	0.999043533040766	0.00957024680858112	0.999043533040766	0.00957024680858112	NA
NDUFS1	0.99998299307631	0.000257375193984159	0.99998299307631	0.000257375193984159	1.89394023173492
NDUFA7	0.999982634276249	0.000121087474500331	0.999982634276249	0.000121087474500331	1.96093488960638
GGH	0.999998091237015	3.16159311540219e-05	0.999998091237015	3.16159311540219e-05	2.24062424530679
NDUFS8	0.999981202249355	0.000231889919323553	0.999981202249355	0.000231889919323553	1.91645783978826
PKM	0.000153748246358857	0.999989986414135	0.000153748246358857	0.999989986414135	-1.45656053223038
MT1G	0.999999957917465	2.9594863326545e-08	0.999999957917465	2.9594863326545e-08	3.05005429042513
PSMB9	0.000249013833227426	0.99998464043652	0.000249013833227426	0.99998464043652	-1.40088664517427
NDUFA2	0.999993400611932	0.000106831003945942	0.999993400611932	0.000106831003945942	2.0516115095069
CNP	0.999136403398049	0.00872042227912698	0.999136403398049	0.00872042227912698	1.06802128156764
NDUFB3	0.999993023282321	7.76036444108197e-05	0.999993023282321	7.76036444108197e-05	2.10889858283734
GPX3	0.999999709914946	1.86741890576815e-06	0.999999709914946	1.86741890576815e-06	2.64153653943593
NDUFC2	0.999601059385249	0.00340905206977193	0.999601059385249	0.00340905206977193	1.27067639119111
MISP3	0.999963212521909	0.000572886666075169	0.999963212521909	0.000572886666075169	NA
FMO5	0.999959643931989	0.000265160848102954	0.999959643931989	0.000265160848102954	NA
NDUFB9	0.999974970429599	0.000229270687730308	0.999974970429599	0.000229270687730308	1.93507294721916
NDUFA8	0.999992077988037	7.71847856899743e-05	0.999992077988037	7.71847856899743e-05	2.11111563341312
NDUFA3	0.999816190782598	0.000522398070564832	0.999816190782598	0.000522398070564832	1.64644604022911
NDUFS3	0.999973809955204	0.000295461391786697	0.999973809955204	0.000295461391786697	1.88869796617864
EPB41L3	0.999792273111617	0.00272646978578102	0.999792273111617	0.00272646978578102	1.4017484036456
CMC1	0.999801889752369	0.00130126367129592	0.999801889752369	0.00130126367129592	NA
NDUFV2	0.99990353539886	0.000790131474110976	0.99990353539886	0.000790131474110976	1.68760413756432
GM2A	0.999985175110596	7.67840950222546e-05	0.999985175110596	7.67840950222546e-05	2.05321815133914
ATP1B1	0.999998143784261	1.29770596306061e-05	0.999998143784261	1.29770596306061e-05	2.39336879379657
SLC16A3	5.19837886403955e-06	0.99999654917673	5.19837886403955e-06	0.99999654917673	-1.85984008824262
PFKP	1.05340708645796e-07	0.999999982050408	1.05340708645796e-07	0.999999982050408	-2.26075642919176
CHP1	0.999795462788912	0.00260386616632877	0.999795462788912	0.00260386616632877	1.39958062282702
COX6B1	0.999972471234286	0.000334216806867177	0.999972471234286	0.000334216806867177	1.84686676663978
NDUFA4	0.999999100630244	1.4006171769523e-05	0.999999100630244	1.4006171769523e-05	2.33302384061336
SUOX	0.999992914018585	7.71958548451766e-05	0.999992914018585	7.71958548451766e-05	2.10273501043615
