Gene	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	sca.adj.pval	sca.P.Value
HMGCL	2.01669309289223	1.92080734997027	2.11257883581419	3.34506335785176	41.2788228750302	1.29414649527701e-208	2.53679124227259e-206	466.989319562169	2.53679124227259e-206	1.29414649527701e-208
PDLIM2	2.00995497748463	1.91418028648387	2.1057296684854	2.26620493721481	41.188797937215	8.6011740460476e-208	1.65228553424574e-205	465.098939981009	1.65228553424574e-205	8.6011740460476e-208
GYS1	-1.79600720318366	-1.88181845581905	-1.71019595054827	1.81945688857019	-41.0776285483709	2.22772350770234e-207	4.19554593950608e-205	464.146803118509	4.19554593950608e-205	2.22772350770234e-207
ACOX1	1.82170359571312	1.73391168249452	1.90949550893172	2.47984792849794	40.7253413277407	3.28403340979811e-205	6.065988634829e-203	459.159118068395	6.065988634829e-203	3.28403340979811e-205
SUCLG1	2.31344207967941	2.20184849495013	2.42503566440868	3.69824477795723	40.6874931718752	5.6198958475254e-205	1.01847357765059e-202	458.622474935232	1.01847357765059e-202	5.6198958475254e-205
NDUFA4	2.3746917621205	2.26021252814423	2.48917099609677	3.43436632484618	40.7120906450035	5.93637107279783e-205	1.0559045213745e-202	458.568783944957	1.0559045213745e-202	5.93637107279783e-205
43892	2.4084720378517	2.30169481782952	2.51524925787388	4.05222005180619	44.2863467153888	2.60664717996534e-204	4.55215384792128e-202	457.208090429731	4.55215384792128e-202	2.60664717996534e-204
COX6B1	1.92312680083336	1.82972832888423	2.01652527278249	4.79746346291929	40.4119382025208	2.82104386821442e-203	4.83859399182134e-201	454.710853208722	4.83859399182134e-201	2.82104386821442e-203
UQCRC1	1.75216603952299	1.66703412462625	1.83729795441974	4.12253127962603	40.3947000181144	3.60509262596006e-203	6.07489731093796e-201	454.465883871531	6.07489731093796e-201	3.60509262596006e-203
PEPD	1.86641663553571	1.77551877463902	1.95731449643239	3.15044305982293	40.2992036867557	1.40341961014193e-202	2.32411126817469e-200	453.108235452667	2.32411126817469e-200	1.40341961014193e-202
FBP1	2.36286357514244	2.2474935717083	2.47823357857658	4.21126895394309	40.1964105069951	6.06767704952171e-202	9.87797255265356e-200	451.64578524848	9.87797255265356e-200	6.06767704952171e-202
ENPP6	2.37529193869552	2.26076324083287	2.48982063655817	1.4736975609009	40.7077134994262	5.86120741580861e-201	9.38281620480695e-199	449.405080582005	9.38281620480695e-199	5.86120741580861e-201
COX2	2.18224611605873	2.07514975547386	2.28934247664359	4.54399351139369	39.9917627686154	1.12279857045049e-200	1.76794758511098e-198	448.730973637264	1.76794758511098e-198	1.12279857045049e-200
UQCRC2	1.84849760686439	1.75774574027316	1.93924947345562	4.52326070442264	39.9765081769836	1.39585682864065e-200	2.16245239340216e-198	448.513528239739	2.16245239340216e-198	1.39585682864065e-200
ATP1A3	1.74925673495777	1.6633674370002	1.83514603291534	2.96148761454562	39.972014170715	1.48831231074114e-200	2.26908567375693e-198	448.449464208108	2.26908567375693e-198	1.48831231074114e-200
DPEP1	2.76507166670493	2.62927066825414	2.90087266515571	3.51695269978082	39.9617924591145	1.72206727153705e-200	2.58444627236147e-198	448.303741487219	2.58444627236147e-198	1.72206727153705e-200
AGMAT	3.12303821615514	2.9694597886967	3.27661664361359	3.39206764051849	39.9108180806706	6.37551748613722e-200	9.42105314682276e-198	446.997805179358	9.42105314682276e-198	6.37551748613722e-200
PRKAR2B	1.44412610444983	1.37286797769771	1.51538423120195	2.0155874155529	39.7751886433078	2.4744063387586e-199	3.60101104299641e-197	445.641598139784	3.60101104299641e-197	2.4744063387586e-199
SLC23A1	2.21379058299635	2.10631413393943	2.32126703205327	1.36262835915922	40.4302417442459	3.35198583488934e-198	4.80534685733017e-196	443.070027176718	4.80534685733017e-196	3.35198583488934e-198
IDH2	2.07083760077274	1.96775485263179	2.17392034891369	5.11344590158419	39.4277128339249	3.57106501072206e-197	5.04412932764491e-195	440.674980464606	5.04412932764491e-195	3.57106501072206e-197
ACO1	1.80488022198778	1.71486021336005	1.89490023061551	3.4011532758793	39.3505554169916	1.07892967230863e-196	1.50190137717745e-194	439.570489756853	1.50190137717745e-194	1.07892967230863e-196
ATP6V1E1	1.73391008300694	1.64729279728352	1.82052736873036	3.72301277556138	39.2883267154103	2.63309156055193e-196	3.61297777701447e-194	438.679267788078	3.61297777701447e-194	2.63309156055193e-196
PAH	2.54243682952393	2.41539504806866	2.6694786109792	2.29862527076712	39.2777380917891	4.45589004504193e-196	6.02800336375038e-194	438.154823054004	6.02800336375038e-194	4.45589004504193e-196
AUH	1.94477608227798	1.84748172963084	2.04207043492513	2.53861008839561	39.2306514165541	1.05447149548861e-195	1.40669426585668e-193	437.294886424475	1.40669426585668e-193	1.05447149548861e-195
UQCRFS1	1.90436349800526	1.80896108891698	1.99976590709354	3.31277444242193	39.1770776925205	1.2989239113839e-195	1.70906358477293e-193	437.085032840672	1.70906358477293e-193	1.2989239113839e-195
PCCA	1.58367132493752	1.50400439180401	1.66333825807102	3.58442288383867	39.0147191736925	1.33684300767282e-194	1.73518609306722e-192	434.756191250618	1.73518609306722e-192	1.33684300767282e-194
SFRP1	2.12826424637571	2.02403112161302	2.2324973711384	1.38390218607722	40.0794602670698	6.59171267345129e-194	8.44178669713328e-192	433.20865114548	8.44178669713328e-192	6.59171267345129e-194
ACSF2	2.56590369864051	2.43606998034227	2.69573741693876	3.24505901384071	38.7877322189699	3.49529601756352e-193	4.41741029588127e-191	431.49601363796	4.41741029588127e-191	3.49529601756352e-193
ACOT2	1.94195437769865	1.84368356799637	2.04022518740094	2.00756098368236	38.7843055219707	3.67196323307043e-193	4.58041647449889e-191	431.44675825617	4.58041647449889e-191	3.67196323307043e-193
C21orf33	2.22976887068683	2.12564170698773	2.33389603438592	4.97389296771641	42.0438682117901	6.65343207461586e-193	8.19310449701094e-191	430.96962647679	8.19310449701094e-191	6.65343207461586e-193
ANK2	1.31108103804298	1.24459087617292	1.37757119991303	1.59871331974711	38.7002416638578	1.23137384906119e-192	1.49713238230794e-190	430.238069082216	1.49713238230794e-190	1.23137384906119e-192
GATM	2.91081679750116	2.76317878190553	3.05845481309679	5.24310446796943	38.6952987633181	1.32220157055065e-192	1.58746826064237e-190	430.166977784745	1.58746826064237e-190	1.32220157055065e-192
GGT5	1.81178962465268	1.71978520537391	1.90379404393146	2.4250551988652	38.6494486393676	5.27584459096909e-192	6.25610954274791e-190	428.78674659705	6.25610954274791e-190	5.27584459096909e-192
COX7A2	2.17781294375163	2.06706097501592	2.28856491248733	4.67154255161175	38.593187603403	5.75468329670411e-192	6.74069915424915e-190	428.697839813686	6.74069915424915e-190	5.75468329670411e-192
MYO1F	-1.4186848812921	-1.49101355560377	-1.34635620698044	1.11183251325095	-38.4961206112643	2.33127222294232e-191	2.69781562667e-189	427.300353368486	2.69781562667e-189	2.33127222294232e-191
BPHL	2.35640757381583	2.23606331932476	2.4767518283069	2.51115898670866	38.4299015591894	1.23781841361696e-190	1.41538641223701e-188	425.634746613474	1.41538641223701e-188	1.23781841361696e-190
P4HA2	-2.09291817896402	-2.19894319186832	-1.98689316605973	1.58484877858996	-38.7440961518369	1.38886795007506e-190	1.56942078358482e-188	425.533394886999	1.56942078358482e-188	1.38886795007506e-190
PC	1.80399052694025	1.71156505141895	1.89641600246154	3.33953009400975	38.3075246681393	3.54141958372319e-190	3.95527152344899e-188	424.582563849064	3.95527152344899e-188	3.54141958372319e-190
SPTBN2	1.55271657868234	1.47314560066971	1.63228755669496	1.74462998088406	38.2982583944688	4.04827017457746e-190	4.46938333641568e-188	424.448944672327	4.46938333641568e-188	4.04827017457746e-190
SLC13A3	2.48069122521298	2.36458693783089	2.59679551259507	1.21072606739637	41.9541904352599	8.3475990450106e-188	9.11121463946896e-186	419.268173548955	9.11121463946896e-186	8.3475990450106e-188
ND4	1.47329355828302	1.3974320552506	1.54915506131543	1.24758226480834	38.1171999332725	1.12000403439368e-187	1.20872345509565e-185	418.841313069938	1.20872345509565e-185	1.12000403439368e-187
SLC5A2	2.51624233919637	2.38603945065578	2.64644522773696	2.14568483887204	37.9295268083688	2.36914683127315e-187	2.52840614604207e-185	418.086945551853	2.52840614604207e-185	2.36914683127315e-187
ANPEP	2.27939003129755	2.16099502138701	2.39778504120809	4.11721696531029	37.7856395437484	6.70421530741903e-187	7.07626242063294e-185	417.044632036166	7.07626242063294e-185	6.70421530741903e-187
PIPOX	2.27487412861157	2.15645103702445	2.39329722019868	2.32398490631857	37.7018366866674	2.25731186725564e-186	2.35668266141201e-184	415.831896459329	2.35668266141201e-184	2.25731186725564e-186
FH	1.66378397138233	1.57703242653	1.75053551623466	3.67861899390432	37.6410083998941	5.45082945354278e-186	5.62959321519122e-184	414.951237700589	5.62959321519122e-184	5.45082945354278e-186
ACAT1	2.28430462362686	2.16462608471431	2.4039831625394	5.04172420488875	37.4609917880196	7.41954773684292e-185	7.58135702259321e-183	412.343066054804	7.58135702259321e-183	7.41954773684292e-185
COX5B	1.99138059577503	1.88704856442554	2.09571262712451	4.86029683554293	37.4609519555778	8.78658139333538e-185	8.88369624031435e-183	412.174671187358	8.88369624031435e-183	8.78658139333538e-185
NT5DC3	-1.84959133393078	-1.93769721202565	-1.7614854558359	0.989263931251764	-41.2210780183761	2.08965097765703e-184	2.09073933754122e-182	411.454925606952	2.09073933754122e-182	2.08965097765703e-184
ETFDH	1.41057588945917	1.33644058913009	1.48471118978825	2.60594703373748	37.3433208404059	4.09497138724942e-184	4.05486599737429e-182	410.636644875963	4.05486599737429e-182	4.09497138724942e-184
NDUFV2	1.73552472704462	1.64419272308267	1.82685673100656	3.00819244193597	37.2948916521681	8.2743188519933e-184	8.10967679320364e-182	409.933990884946	8.10967679320364e-182	8.2743188519933e-184
SLC6A19	2.06506915322314	1.95758474885667	2.1725535575896	1.54486298438853	37.7101281608045	1.8590092484534e-183	1.80361452842373e-181	409.146907135351	1.80361452842373e-181	1.8590092484534e-183
CYP4A22	1.73361683143246	1.64982961919573	1.81740404366919	1.72559674752297	40.6260676318479	2.76586322734282e-183	2.65661162986278e-181	408.862394378735	2.65661162986278e-181	2.76586322734282e-183
ECI2	1.68346137985817	1.59442440432488	1.77249835539147	3.47010909260522	37.108576031234	1.24106557846494e-182	1.18024107734215e-180	407.2288639333	1.18024107734215e-180	1.24106557846494e-182
SAT2	1.93506207713066	1.8340995826946	2.03602457156671	1.64416390673831	37.6189473669473	1.37604168268049e-182	1.29577258452412e-180	407.149701983116	1.29577258452412e-180	1.37604168268049e-182
SLC25A5	1.71978386574467	1.62833147088694	1.8112362606024	4.79959738203515	36.9079835514892	2.29835110189924e-181	2.14326818774196e-179	404.313131629672	2.14326818774196e-179	2.29835110189924e-181
UQCRH	2.04311188246244	1.93469784425339	2.1515259206715	2.92968510442573	36.9877309025407	7.26937523056007e-181	6.71368741245476e-179	403.170456486331	6.71368741245476e-179	7.26937523056007e-181
PHYH	1.88866727510833	1.79169275872538	1.98564179149128	2.03313703128476	38.2315378237781	7.72534214614292e-181	7.06684869654312e-179	403.167081503761	7.06684869654312e-179	7.72534214614292e-181
ACSM2B	2.88480328308202	2.73104899690489	3.03855756925915	3.68475611765316	36.8239611075532	7.81312442367079e-181	7.07972264993943e-179	403.09080606131	7.07972264993943e-179	7.81312442367079e-181
AHNAK2	-1.65165643205182	-1.73640104532796	-1.56691181877568	1.71955439971339	-38.259125500091	1.20849893599818e-180	1.08482544675351e-178	402.722936862271	1.08482544675351e-178	1.20849893599818e-180
ACOT1	1.93765488351679	1.83422081892929	2.04108894810429	2.22116155715429	36.7666759117744	1.80002056678867e-180	1.60085162444492e-178	402.257105460009	1.60085162444492e-178	1.80002056678867e-180
ANXA4	-2.0606594382262	-2.17072155102129	-1.95059732543111	5.5282509700307	-36.7459862388014	2.43339993665404e-180	2.14429416436349e-178	401.955931082377	2.14429416436349e-178	2.43339993665404e-180
DCXR	2.74063343094933	2.59405489545013	2.88721196644853	3.76037513479942	36.6963419840835	5.89291712514366e-180	5.14558808972771e-178	401.072934319388	5.14558808972771e-178	5.89291712514366e-180
ND1	1.93042088446735	1.82702242799291	2.03381934094179	2.19671559549406	36.6421964988779	1.78848472121125e-179	1.54760322047153e-177	399.964972375587	1.54760322047153e-177	1.78848472121125e-179
NDUFB3	2.02457647714142	1.91658231577128	2.13257063851156	2.44991347652493	36.7948514187658	1.92518722120924e-179	1.6510199339031e-177	399.89903293125	1.6510199339031e-177	1.92518722120924e-179
SLC5A10	1.91713749117106	1.81430343810164	2.01997154424048	1.67536069968176	36.5897279829515	3.26982863703952e-179	2.77935434148359e-177	399.361699459477	2.77935434148359e-177	3.26982863703952e-179
PKM	-1.48509742348364	-1.56503318992207	-1.4051616570452	6.36341746952869	-36.4632463948023	1.50342920796026e-178	1.26670504758406e-176	397.836632621103	1.26670504758406e-176	1.50342920796026e-178
COX4I1	2.04484335337457	1.93470611547772	2.15498059127142	4.04178152182524	36.4390792322678	2.13938222708082e-178	1.78684924270533e-176	397.484234308699	1.78684924270533e-176	2.13938222708082e-178
VWF	-1.42121949221338	-1.4981346522146	-1.34430433221215	2.01833627238756	-36.2652552348156	2.70911421250532e-177	2.24319327682014e-175	394.948207026191	2.24319327682014e-175	2.70911421250532e-177
ALDH7A1	1.45320998642186	1.37429352496103	1.53212644788269	4.74712691766274	36.1411777414474	1.66137493294455e-176	1.36388942144721e-174	393.136498745784	1.36388942144721e-174	1.66137493294455e-176
VIL1	1.8107202417675	1.7122321202197	1.90920836331529	2.79522062759167	36.0835313139599	3.85996650473726e-176	3.14194731169503e-174	392.2943688827	3.14194731169503e-174	3.85996650473726e-176
DOCK2	-1.23256760638217	-1.29925514212697	-1.16588007063736	1.08050147848642	-36.2763963282415	1.04837897170427e-175	8.46191598589875e-174	391.309439679396	8.46191598589875e-174	1.04837897170427e-175
AK3	1.60029386923425	1.5126189820751	1.6879687563934	3.06624242629109	35.8233384978051	1.73967126721411e-174	1.39246187679929e-172	388.490148049003	1.39246187679929e-172	1.73967126721411e-174
HPD	2.46116394873837	2.32589665745627	2.59643124002048	2.49842070118972	35.7100637401289	1.23762646346177e-173	9.82429932359528e-172	386.531189370087	9.82429932359528e-172	1.23762646346177e-173
NDUFA5	1.87383728166303	1.77080106110021	1.97687350222586	4.10031689538235	35.6930908108896	1.36394590941972e-173	1.07382790655545e-171	386.433567638656	1.07382790655545e-171	1.36394590941972e-173
ACAA1	2.12813557513286	2.01094881596042	2.2453223343053	3.57070206303749	35.6420174677661	2.47928894390573e-173	1.93606262652151e-171	385.836067147814	1.93606262652151e-171	2.47928894390573e-173
NDUFB4	2.26456173771828	2.14004143459615	2.38908204084042	3.34535062224282	35.6936479160569	3.91564915328378e-173	3.03304920300731e-171	385.383854409662	3.03304920300731e-171	3.91564915328378e-173
CTH	1.62109747172859	1.5326087557957	1.70958618766148	1.46207530428219	35.9574293366521	8.22847490355285e-173	6.32276011589001e-171	384.658337121607	6.32276011589001e-171	8.22847490355285e-173
SORD	1.88327452537185	1.7792111765817	1.987337874162	3.58017388745058	35.5187247986473	1.51188894631934e-172	1.15251534360296e-170	384.029985099089	1.15251534360296e-170	1.51188894631934e-172
CHDH	1.63811502717383	1.54747205082453	1.72875800352313	3.23579057259939	35.469230586245	3.12507700889002e-172	2.36349328113297e-170	383.304645375388	2.36349328113297e-170	3.12507700889002e-172
IYD	1.86060250546007	1.7588418726371	1.96236313828305	1.37534691590582	35.8876377495546	4.98245596380083e-172	3.73878824471148e-170	382.862185073018	3.73878824471148e-170	4.98245596380083e-172
IKBIP	-1.81672699112852	-1.91735807687542	-1.71609590538163	2.3236819443454	-35.4323848133057	7.22311911822941e-172	5.37814411865066e-170	382.46876693141	5.37814411865066e-170	7.22311911822941e-172
EPB41L3	1.38830629187487	1.31122225490269	1.46539032884705	2.0296070703722	35.347798594074	1.85721204674108e-171	1.37219397761139e-169	381.524306465568	1.37219397761139e-169	1.85721204674108e-171
HINT2	1.81869957579704	1.71762655303241	1.91977259856168	2.94060284323598	35.3158170978165	4.62411200983244e-171	3.39042716446111e-169	380.61466227753	3.39042716446111e-169	4.62411200983244e-171
MCCC1	1.60436706852746	1.51511994615604	1.69361419089889	3.08174286123097	35.2818255305504	4.89285016183406e-171	3.56028983366789e-169	380.556620889997	3.56028983366789e-169	4.89285016183406e-171
MCCC2	1.53375662434245	1.44807025018992	1.61944299849497	3.47688166951933	35.1306525194671	4.50891103411678e-170	3.25624740471366e-168	378.338077420983	3.25624740471366e-168	4.50891103411678e-170
NCF2	-1.57145373049349	-1.65719960422324	-1.48570785676375	1.01442565361347	-35.9738734485676	5.84811845953717e-170	4.19187894058616e-168	378.123946489605	4.19187894058616e-168	5.84811845953717e-170
SELENBP1	1.54251053961782	1.4560878433364	1.62893323589925	4.00826702885426	35.03013890515	1.97581937692062e-169	1.4057588974313e-167	376.862109898716	1.4057588974313e-167	1.97581937692062e-169
PDHA1	1.57976841618856	1.49119595349693	1.66834087888019	3.66218955725363	35.0054961663362	2.83864838259061e-169	2.00479542020462e-167	376.500144007338	2.00479542020462e-167	2.83864838259061e-169
HK3	-2.0071293113979	-2.11979855007663	-1.89446007271916	1.68993873837621	-34.9632281725363	5.28530017993747e-169	3.70549695097076e-167	375.87919270357	3.70549695097076e-167	5.28530017993747e-169
TUFM	1.38622847325941	1.30840666000716	1.46405028651166	4.46706315111575	34.9602878906665	5.51887638818701e-169	3.84121794989393e-167	375.835993061583	3.84121794989393e-167	5.51887638818701e-169
SLC2A1	-1.92891167923607	-2.03745210765612	-1.82037125081601	2.59842670868067	-34.8788648489036	1.82826772735815e-168	1.26334615260971e-166	374.639466137373	1.26334615260971e-166	1.82826772735815e-168
GLYATL1	2.34974984505254	2.21808753375155	2.48141215635354	2.42868933182991	35.0278914621216	2.83875729495107e-168	1.94759027271465e-166	374.209745923851	1.94759027271465e-166	2.83875729495107e-168
AOX1	1.62303593926731	1.53157648586016	1.71449539267446	2.28421153122337	34.8290048659404	3.80782162734592e-168	2.59390969720975e-166	373.90654526589	2.59390969720975e-166	3.80782162734592e-168
ADA	-1.63724862094784	-1.72874993157299	-1.5457473103227	1.24448815604625	-35.119840718974	8.29460336415369e-168	5.61053981075325e-166	373.147725236256	5.61053981075325e-166	8.29460336415369e-168
SDHA	1.44894091398942	1.36714765894889	1.53073416902995	3.95089638923969	34.7676002083342	9.40133847532615e-168	6.3146752486369e-166	373.003696002425	6.3146752486369e-166	9.40133847532615e-168
