Gene	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	sca.adj.pval	sca.P.Value
SUCLG2	2.27737897838675	2.19813381155628	2.35662414521722	4.02171122357794	56.4032402997061	1.63123251318458e-295	1.56679882891378e-291	666.800188777493	1.56679882891378e-291	1.63123251318458e-295
NDUFS4	2.3689569000548	2.28286700907583	2.45504679103377	2.29612566865664	54.0081798070081	1.07008155501145e-279	5.13906666794248e-276	630.447263811626	5.13906666794248e-276	1.07008155501145e-279
NDUFS1	1.93802751047622	1.86566661940431	2.01038840154813	3.26553578345922	52.5651081495447	1.26512572393154e-274	4.05051085945415e-271	618.781403278916	4.05051085945415e-271	1.26512572393154e-274
ECHS1	2.60096517049443	2.5035897218286	2.69834061916027	4.98173763038048	52.4235703726913	7.72185035670831e-274	1.85420931690458e-270	616.975378093562	1.85420931690458e-270	7.72185035670831e-274
MGAM	1.97136429439399	1.89519860433469	2.04752998445328	1.6740287281348	50.7982833334916	9.69934510697579e-265	1.86324419505005e-261	596.056228135695	1.86324419505005e-261	9.69934510697579e-265
NDUFS5	2.28508736092281	2.19693630379034	2.37323841805527	3.24221533298239	50.8767670364222	1.21756494454403e-264	1.94911854872423e-261	595.830490829282	1.94911854872423e-261	1.21756494454403e-264
ALDH6A1	3.52141313740352	3.38355568103958	3.65927059376745	4.63157004623987	50.1335259435981	5.6196729619281e-261	7.71099411418848e-258	587.404452955398	7.71099411418848e-258	5.6196729619281e-261
NDUFS3	1.92813774651568	1.85250276254238	2.00377273048899	3.69301815626218	50.0330373631169	2.09233768268157e-260	2.51211293026956e-257	586.091773756188	2.51211293026956e-257	2.09233768268157e-260
NDUFV1	2.01766206036175	1.93809970818255	2.09722441254095	2.87154131728861	49.7716850752139	6.4277328246299e-259	6.85981930895224e-256	582.671806317693	6.85981930895224e-256	6.4277328246299e-259
MIOX	2.57576576184479	2.47581435940625	2.67571716428332	1.65983051390246	50.5822673182923	5.90613416901717e-256	5.67284186934099e-253	575.877358900554	5.67284186934099e-253	5.90613416901717e-256
TINAG	2.69138878737644	2.58103110682101	2.80174646793188	2.20614008179602	47.8647810113429	7.82584458103512e-248	6.83338520007657e-245	557.182607829258	6.83338520007657e-245	7.82584458103512e-248
ATP1A1	1.98001079550638	1.8983566692088	2.06166492180395	4.21069937725726	47.5916709131047	2.2857920957719e-246	1.82958608999076e-243	553.812300585379	1.82958608999076e-243	2.2857920957719e-246
ACY1	3.56917727237378	3.43701190938107	3.70134263536649	5.82256848947678	53.0221486159674	3.73824422602002e-246	2.76198736853249e-243	553.430814724025	2.76198736853249e-243	3.73824422602002e-246
SUOX	2.00970356936325	1.92645721921814	2.09294991950835	2.10484811575627	47.3818900482811	1.96752335760228e-244	1.34986156069785e-241	549.365517132304	1.34986156069785e-241	1.96752335760228e-244
PFKP	-2.31730669652078	-2.41387899042443	-2.22073440261712	3.87109754296081	-47.0947504704655	1.80186205069142e-243	1.15379233312607e-240	547.151320672065	1.15379233312607e-240	1.80186205069142e-243
UMOD	3.25795500430388	3.12151305701384	3.39439695159393	2.50996646413242	46.863929810425	4.03385807929202e-242	2.42157542822499e-239	544.0469258138	2.42157542822499e-239	4.03385807929202e-242
HIBCH	2.06540442085646	1.97791655930579	2.15289228240712	3.36793582122369	46.3338973204065	5.20514782760475e-239	2.94090852259668e-236	536.893565730786	2.94090852259668e-236	5.20514782760475e-239
NDUFB7	2.14216404870443	2.05221781778142	2.23211027962745	2.13053676892968	46.745136073916	3.49949946335229e-237	1.86737179697215e-234	532.706679269326	1.86737179697215e-234	3.49949946335229e-237
ALDOB	4.14883892450035	3.97145682663672	4.32622102236398	4.73739066379634	45.9048230887443	1.76001125286576e-236	8.89732004409245e-234	531.077604967487	8.89732004409245e-234	1.76001125286576e-236
SLC4A4	2.33165083874698	2.23160640503341	2.43169527246054	1.92727054117795	45.7416805569457	1.62056379669057e-235	7.78275763360645e-233	528.860386991301	7.78275763360645e-233	1.62056379669057e-235
ACADSB	2.4359310246933	2.33140366346719	2.54045838591941	3.27047764058273	45.7379326675632	1.7054228696116e-235	7.8002793631521e-233	528.809412698415	7.8002793631521e-233	1.7054228696116e-235
CALB1	3.12098830793516	2.98670578914085	3.25527082672947	3.52386850109244	45.6156842393815	9.02076834556227e-235	3.93838545268753e-232	527.145803635907	3.93838545268753e-232	9.02076834556227e-235
ABAT	2.83604389462824	2.71373527444729	2.95835251480918	3.44808043527888	45.5090125690748	3.86472159872628e-234	1.61394134590287e-231	525.69269282354	1.61394134590287e-231	3.86472159872628e-234
GGH	2.25940854670869	2.16143503477776	2.35738205863961	3.24529572678956	45.2613623828033	1.13861884574512e-232	4.5568475055758e-230	522.313839387313	4.5568475055758e-230	1.13861884574512e-232
PCK2	3.28457227273776	3.14162209528174	3.42752245019379	4.18088914104681	45.0957541844652	1.09820322319191e-231	4.21929678350333e-229	520.050220202571	4.21929678350333e-229	1.09820322319191e-231
GPX3	2.70916012934987	2.59123205807042	2.82708820062932	4.87103413342881	45.0877964409204	1.22466145263556e-231	4.52418202021713e-229	519.941366692768	4.52418202021713e-229	1.22466145263556e-231
ATP1B1	2.46237775127126	2.35517802259686	2.56957747994566	4.24998436205532	45.0820020012862	1.6994278185777e-231	6.04555711016251e-229	519.614606806295	6.04555711016251e-229	1.6994278185777e-231
MME	2.55916326541325	2.4475028514946	2.6708236793319	3.29355670005605	44.9821584144846	5.20800619044753e-231	1.78653212354459e-228	518.495630964305	1.78653212354459e-228	5.20800619044753e-231
ATP1A2	1.55233211071426	1.49087696939615	1.61378725203237	1.87303100960954	49.5944726185954	3.17937639092039e-230	1.05303138740656e-227	516.80474598197	1.05303138740656e-227	3.17937639092039e-230
ADH6	2.31495545397195	2.21564087580329	2.4142700321406	1.66785209237316	45.7533480677287	2.15635417764194e-227	6.90392729208361e-225	510.210663365957	6.90392729208361e-225	2.15635417764194e-227
NDUFA12	2.11220546755142	2.01840886411681	2.20600207098603	3.18615719450128	44.1969117716873	4.1234561101879e-226	1.27760632059209e-223	507.230977958088	1.27760632059209e-223	4.1234561101879e-226
NDUFB8	2.04450594645112	1.95297705567849	2.13603483722376	2.80904228332706	43.8403211060868	7.16020395226473e-224	2.14917996754696e-221	502.080665582988	2.14917996754696e-221	7.16020395226473e-224
NDUFA2	2.05780676291491	1.96496266711602	2.15065085871379	2.82540364351206	43.500663114357	1.57761576968381e-221	4.5918180205494e-219	496.693445052826	4.5918180205494e-219	1.57761576968381e-221
ACADM	2.40900781421595	2.30001529933482	2.51800032909708	3.95175976508568	43.3793525852126	2.11523352576672e-221	5.97553471029098e-219	496.397621373662	5.97553471029098e-219	2.11523352576672e-221
CDH16	2.24691658629543	2.14512530485112	2.34870786773975	3.20700061835328	43.3229378164615	4.63378436347199e-221	1.27164282317567e-218	495.614341571768	1.27164282317567e-218	4.63378436347199e-221
NDUFA8	2.13008868381636	2.03359565208918	2.22658171554355	2.74698653476616	43.3255350790044	5.62209659830831e-221	1.50000660629865e-218	495.421726721023	1.50000660629865e-218	5.62209659830831e-221
HADH	2.26976169980759	2.16685988976657	2.37266350984861	3.93595380235288	43.2911158652593	7.21300401679233e-221	1.87245685354839e-218	495.172353481808	1.87245685354839e-218	7.21300401679233e-221
ASS1	3.08637068587891	2.94640390888229	3.22633746287553	3.96638447764461	43.2777480338662	8.68686001154858e-221	2.19571816870853e-218	494.98664728707	2.19571816870853e-218	8.68686001154858e-221
PCK1	2.50026058576022	2.38672428874535	2.61379688277509	2.92626991359649	43.2207282229452	1.92036594460428e-220	4.72951664049336e-218	494.194295071823	4.72951664049336e-218	1.92036594460428e-220
FABP1	4.01617039321353	3.83282516712663	4.19951561930043	3.57976675370462	42.9919776841296	1.4414471850476e-218	3.46127505309555e-216	489.883536269834	3.46127505309555e-216	1.4414471850476e-218
DAK	2.14628096095761	2.05656892507604	2.23599299683917	4.4787290616679	46.9723964329096	1.29426051856906e-217	3.03204201972094e-215	487.806933960138	3.03204201972094e-215	1.29426051856906e-217
SLC5A12	2.60616479853614	2.48581595912781	2.72651363794447	2.07348524744847	42.501559690331	1.32704553623702e-215	3.03482675608491e-213	483.06644692937	3.03482675608491e-213	1.32704553623702e-215
NDUFB5	1.99749904306382	1.9045346396578	2.09046344646983	2.61610470163201	42.17095547348	8.67623166630478e-214	1.93802802685715e-211	478.890057003725	1.93802802685715e-211	8.67623166630478e-214
FECH	2.08200200152406	1.98489825505792	2.1791057479902	2.79234900499157	42.0810615932793	1.59647115201451e-213	3.48502395797713e-211	478.279456099318	3.48502395797713e-211	1.59647115201451e-213
ATP1A4	1.227187518723	1.17453860374028	1.27983643370573	1.34984724166209	45.7644619810944	1.11271298448856e-211	2.3750240480028e-209	474.158613443962	2.3750240480028e-209	1.11271298448856e-211
GLYAT	2.54497757161655	2.42515766712826	2.66479747610485	3.96295659660469	41.6866044254747	4.10170287378574e-211	8.56453393537218e-209	472.737014625365	8.56453393537218e-209	4.10170287378574e-211
GK	1.90341326354338	1.81350140795579	1.99332511913097	2.66534541787594	41.5487212061902	2.86466724865261e-210	5.85428274964008e-208	470.795584994709	5.85428274964008e-208	2.86466724865261e-210
HOGA1	2.3094438383858	2.20049573461122	2.41839194216039	2.15252973066606	41.6038294861353	4.69420623470336e-210	9.39330226756787e-208	470.305327184227	9.39330226756787e-208	4.69420623470336e-210
