ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
GUF1	2.17817745916974e-39	1.7707096993109e-31	2.14357288905127e-09	-17.6463696144042	1.08511256269678e-69	6.73598514456882e-69	NA
CLPB	2.30820344681941e-39	0.84253421961192	2.4337677068944e-13	-11.1419043910208	7.84241853798585e-29	2.16311035178167e-28	NA
RPL4	2.53536629563052e-39	9.43173035484626e-33	5.60186398178374e-17	-19.1792852621405	5.5133012524132e-82	4.31930619202613e-81	NA
MRPL40	2.60624270872538e-39	0.000150318787923941	0.000688888732849819	-11.4772058845492	1.71741192353545e-30	4.9060828260469e-30	NA
PYCARD	3.00601738853257e-39	1.12626760640904e-18	1.95511524634203e-24	-18.4359062616437	6.76752084074638e-76	4.73817542578233e-75	NA
CPT2	3.04445345622004e-39	1.09193790383018e-05	0.0262727905238962	-11.1065467381056	1.16581185759904e-28	3.18851381873302e-28	NA
BSND	3.17245959950139e-39	1.98555076520632e-87	2.9976807392857e-10	-22.5317577090331	2.02749375750314e-112	2.60420309297071e-111	NA
PPOX	3.33849767497185e-39	0.00450655493595224	4.2826104839804e-15	-13.5196451760337	1.19751987042775e-41	4.45282227731604e-41	NA
ABI3	3.71235273992638e-39	5.52988429994484e-14	6.29185103712339e-08	-14.867076832371	5.39165916485873e-50	2.35099840533069e-49	NA
GPT2	3.96935801121268e-39	5.3320806976456e-95	3.69299598703777e-27	-25.6392203221502	5.57671042371815e-145	1.2450664216387e-143	NA
TMOD3	4.12487788877898e-39	0.990950710511783	0.00746699668190059	-7.5635670539192	3.92163507609494e-14	6.66895902773648e-14	NA
ACLY	4.17533492388697e-39	6.82631767607526e-68	2.02301487364109e-38	-25.0041778680707	5.50611892860246e-138	1.07679814536053e-136	NA
ECHDC3	4.20863108817352e-39	1.30250431906026e-76	1.45029611056753e-30	-24.7959403554599	9.91602774571895e-136	1.85550994004424e-134	NA
FMNL1	4.30673396806067e-39	2.89393777560295e-66	7.96041853280521e-47	-25.6942303307905	1.35599500466321e-145	3.06690696272087e-144	NA
GIPC1	4.5849793629432e-39	1.64247561023728e-06	0.0707391036835264	-11.0530747713767	2.11832878503825e-28	5.74233785292806e-28	NA
GULP1	4.77357643640194e-39	1.1402699872562e-13	0.241910238684443	-12.153425935371	5.50111305935057e-34	1.73015659823106e-33	NA
GLB1L	5.33804467190088e-39	0.951060386751147	0.682796260339365	-6.28137414543908	3.35593413098598e-10	4.91209041907403e-10	NA
