ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
DNAH11	0.859359570108137	NA	NA	NA	NA	NA	NA
USP9X	0.566701126736472	8.12422621187652e-05	9.41494012482814e-08	8.12422621187652e-05	1.97998430150796e-08	3.17995626318136e-08	NA
DHX37	0.569013041607678	3.36566497844585e-33	NA	NA	NA	NA	NA
GP1BB	0.894104496024829	8.10479118655631e-10	NA	NA	NA	NA	NA
PER1	0.628445537458743	NA	NA	NA	NA	NA	NA
SRPK2	0.569970894770707	1.04081461380324e-14	NA	NA	NA	NA	NA
CEP104	0.603859801637372	NA	NA	NA	NA	NA	NA
ARFRP1	0.573687933624021	9.90050319178257e-06	NA	NA	NA	NA	NA
TNRC6A	0.684174991287855	NA	NA	NA	NA	NA	NA
CASTOR2	0.575152707180499	NA	NA	NA	NA	NA	NA
REEP3	0.575634471304972	0.0234794720357316	NA	NA	NA	NA	NA
EML1	0.576295340033877	1.17496685362267e-25	1.953379742072e-08	1.953379742072e-08	1.14470771011419e-15	2.56229324785456e-15	NA
RPP38	0.576669709568051	NA	NA	NA	NA	NA	NA
TRPS1	0.810504322782107	NA	NA	NA	NA	NA	NA
DPH3	0.717345344306392	NA	NA	NA	NA	NA	NA
ARHGEF35	0.578368819663235	1.08552867991898e-05	NA	NA	NA	NA	NA
ITGB5	0.579043158218276	0.845778715396885	0.000152234105607815	0.579043158218276	0.617577042341724	0.627467924660478	NA
SMUG1	0.580118465047214	0.333456634573965	NA	NA	NA	NA	NA
LATS1	0.674121974063646	NA	NA	NA	NA	NA	NA
GOLGA7	0.580482858278381	4.42060629645688e-06	0.00304365859625033	0.00304365859625033	2.77351809116406e-05	3.73294724715018e-05	NA
NUDT21	0.58242659839996	1.06052756040531e-07	0.861031587203411	0.58242659839996	0.622519861221614	0.632242935977126	NA
MLLT1	0.58341610800135	6.54533910441273e-05	NA	NA	NA	NA	NA
BLZF1	0.689456460066201	NA	NA	NA	NA	NA	NA
PLEKHG2	0.584804123605126	NA	NA	NA	NA	NA	NA
NOTCH3	0.586184081108957	1.40311926085147e-13	NA	NA	NA	NA	NA
MEGF6	0.699021321183946	NA	NA	NA	NA	NA	NA
POU3F3	0.587502577076845	0.00389199312391423	NA	NA	NA	NA	NA
GNB4	0.591604530418565	0.807058009645641	0.432571425401826	0.591604530418565	0.635869416948074	0.645171193088333	NA
NCBP2-AS2	0.591970788418047	NA	NA	NA	NA	NA	NA
CHAC2	0.748208941509622	NA	NA	NA	NA	NA	NA
IDUA	0.592751045392385	0.187143540807616	NA	NA	NA	NA	NA
SRBD1	0.593023536753102	1.13608075251574e-08	NA	NA	NA	NA	NA
FAM219B	0.840507543993438	NA	NA	NA	NA	NA	NA
SMARCA4	0.59363217769484	6.91733508012605e-07	0.656489478277889	0.59363217769484	0.638806522803726	0.64789852439559	NA
HSPA6	0.594415817991363	2.10701410630554e-10	8.44829156608191e-08	8.44829156608191e-08	2.14120879096887e-14	4.57812089215785e-14	NA
SLC7A5	0.595179966007069	0.256333962081537	0.00330959479070441	0.256333962081537	0.163435377729797	0.172592536530736	NA
B4GALT4	0.595519645484108	0.00352071234916207	NA	NA	NA	NA	NA
FBXO28	0.764178700982255	NA	NA	NA	NA	NA	NA
ACP5	0.59583775757482	0.0250482024988286	2.21902646568873e-18	0.0250482024988286	0.00185080623715023	0.00221636603260947	NA
HECW2	0.595895420785452	0.00271299525495406	NA	NA	NA	NA	NA
FBXL17	0.597760565243527	NA	NA	NA	NA	NA	NA
POU3F2	0.598257200477759	0.0691016256979584	NA	NA	NA	NA	NA
PPIL3	0.598642848906173	1.09872921872342e-14	2.20432274650079e-05	2.20432274650079e-05	1.45769020944286e-09	2.47969407113203e-09	NA
PHLDB1	0.598659525565362	4.5139337300169e-09	1.36199054806221e-11	4.5139337300169e-09	6.11267929730045e-17	1.46064114398516e-16	NA
CCL18	0.600198836947943	NA	NA	NA	NA	NA	NA
C17orf80	0.600251645881974	2.13216804646009e-09	NA	NA	NA	NA	NA
AKR1B10	0.602836928292284	4.23057362514856e-24	6.54537568242831e-38	4.23057362514856e-24	5.36932595934079e-47	2.95881712293335e-46	NA
SF3B4	0.603167251609605	0.0961987513095393	0.000262685495999484	0.0961987513095393	0.0259821143392295	0.0289419611975742	NA
RWDD1	0.603761990142886	0.356223323612194	0.209047855067058	0.356223323612194	0.290279211456129	0.300983148892721	NA
PPP2R5E	0.607992129095173	0.242440783683825	1.57192052971734e-08	0.242440783683825	0.147832458164993	0.156719879228509	NA
VTI1A	0.609292208872675	3.75736299424927e-08	0.0721014840802809	0.0721014840802809	0.0148462150076376	0.0167818362602631	NA
PPP1R11	0.609397426148416	3.82586395404783e-15	1.18366003838188e-05	1.18366003838188e-05	4.20312009202293e-10	7.32974546386298e-10	NA
SRSF5	0.610003167732226	7.112205450622e-05	0.663073675636904	0.610003167732226	0.662342521614356	0.67098457593727	NA
ZNF280C	0.869416074070121	NA	NA	NA	NA	NA	NA
DNM3	0.610629968313934	0.591170121026022	1.02145554062143e-09	0.591170121026022	0.635239571094012	0.64465787140676	NA
SAP18	0.613432353873198	0.0165573134081351	0.0304973869103791	0.0304973869103791	0.00273354115879428	0.00323399615830062	NA
KIF15	0.621371910420375	NA	NA	NA	NA	NA	NA
POC1B	0.891025152492537	NA	NA	NA	NA	NA	NA
CRYBG3	0.614400378859203	0.000361329171930583	NA	NA	NA	NA	NA
IFT27	0.614476652858646	0.354735671828138	0.152558952316206	0.354735671828138	0.288234163564387	0.298922272500387	NA
ZBTB10	0.80328269303599	NA	NA	NA	NA	NA	NA
IPO13	0.614826738220073	0.0706200867595132	0.0531964933358311	0.0706200867595132	0.0142571974409902	0.0161230306713111	NA
SGF29	0.615314637302041	NA	NA	NA	NA	NA	NA
SDC2	0.650741012054636	0.0102728144085826	NA	NA	NA	NA	NA
SDF2	0.618039775999429	1.54291625888976e-06	0.194127277551037	0.194127277551037	0.0984246715002381	0.105589841440346	NA
SRPK1	0.619823880559276	0.336286153765457	7.19678491482188e-10	0.336286153765457	0.263205020825102	0.273729012061612	NA
SPTLC3	0.619897834393934	3.95152880160029e-08	NA	NA	NA	NA	NA
ZZEF1	0.620083459129069	1.14758533884997e-07	4.41665998237017e-15	1.14758533884997e-07	3.95085602756721e-14	8.33090922391756e-14	NA
PLXNB2	0.621119999129519	0.371029684730494	0.525149411586168	0.525149411586168	0.53769230373056	0.548338632426264	NA
