Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P75746	0.0270934978646551	-0.106822576719869	0.161009572449179	23.1951052517251	0.420522191226509	0.67833976244914	0.739126052850426	-7.68924669519967	P75746	5	0.404186964647595	0.689891500102593	0.750737961849644
P0AFG0	0.0292825492377382	-0.127025722781622	0.185590821257099	27.0396861879579	0.389388814525582	0.700875930271823	0.761046038176953	-7.70232542242521	P0AFG0	19	0.402595950443081	0.691044999357991	0.751668220995705
P0C0L9	0.061169044267718	-0.240439166636534	0.36277725517197	22.9630230954851	0.421546110177449	0.677603659869306	0.738643747029469	-7.68879975528414	P0C0L9	2	0.398295674887827	0.694166565132652	0.75473747059995
P0A9M5	-0.0327293231302548	-0.209883471167877	0.144424824907368	26.3242344666875	-0.384009748762667	0.70479910321601	0.76464626844599	-7.70448471541412	P0A9M5	12	-0.39407408165852	0.697236414387662	0.75774786485913
P33916	-0.0342794267649609	-0.215974440949245	0.147415587419323	24.49359386335	-0.392145370616877	0.698868762418209	0.759194076394749	-7.70120739673101	P33916	6	-0.392932553468394	0.698067421084687	0.758323564467051
P12008	0.0241552531620108	-0.109211930470544	0.157522436794566	25.1960269700427	0.376460283675201	0.710319444550586	0.768317164561163	-7.70746529434586	P12008	18	0.389464613375851	0.700594371305803	0.76074030741014
P75849	0.0268852266048256	-0.121234145212959	0.175004598422611	24.8179995702648	0.377275316006949	0.709722682367684	0.76800171604448	-7.70714632532859	P75849	12	0.386446593716071	0.702796366867761	0.762627000795443
P69425	0.0232478254265374	-0.103415593648872	0.149911244501947	26.5883111800865	0.381493972446533	0.70663686355098	0.765979752608879	-7.70548444548578	P69425	10	0.386252764384832	0.702937879159884	0.762627000795443
P75960	0.0255909597747781	-0.115181604865401	0.166363524414957	24.1100755754062	0.377854938809964	0.709298401848884	0.767872721485437	-7.70691907148496	P75960	11	0.385423111921539	0.703543721884071	0.762889166930981
P64545	0.0405691619581461	-0.142895262211061	0.224033586127353	21.8903279350664	0.459621913143574	0.650470307129096	0.715261582806437	-7.67142199528596	P64545	2	0.385091798411062	0.703785715380905	0.762889166930981
P0A6M2	0.0951005068308106	-0.422869738850849	0.61307075251247	21.9313465435977	0.384038410441083	0.705174105421623	0.764723491316771	-7.65156937103205	P0A6M2	2	0.381899058937644	0.706466292059917	0.765465198930181
P30958	0.034419209436571	-0.158353409556826	0.227191828429967	24.9583782858175	0.371118064882984	0.714235688448404	0.771878219721824	-7.70953915719477	P30958	53	0.379640266858724	0.707772132364004	0.76655011065413
P24224	0.0470655160370299	-0.210982370493573	0.305113402567632	21.6594169709594	0.379104613890917	0.708383975939753	0.767212765680016	-7.7064279379676	P24224	3	0.370197203945668	0.714697568266422	0.773717754549068
P37182	0.0647705013865405	-0.307583858579895	0.437124861352976	22.0093691812056	0.361557493698364	0.721264419683685	0.777816000147315	-7.71317754859258	P37182	5	0.369083499805206	0.715516016716866	0.774270771313994
P23843;Q46863	-0.0928459656896727	-0.622106180168772	0.436414248789426	23.3361926463148	-0.364628273390049	0.719004057965127	0.775710764637044	-7.7120191474136	P23843;Q46863	2	-0.364730103610972	0.718718621178843	0.777402135585367
P76562	0.0782535098068919	-0.363624869332557	0.520131888946341	19.9746338834435	0.369196756372617	0.71582635727075	0.772945062741518	-7.68315112316389	P76562	2	0.363493398279605	0.719786074531966	0.778222315118968
P0ACV8	0.0344390005147091	-0.158303536695331	0.227181537724749	22.3936877900782	0.371389412701366	0.714036574534837	0.771878219721824	-7.70943452447798	P0ACV8	4	0.36255885871492	0.720317890065892	0.778462915112001
P75796	-0.0364916126555777	-0.25306134159018	0.180078116279025	24.61952363423	-0.350228799214027	0.729625785490714	0.78548678446541	-7.71736738587633	P75796	17	-0.361371308297735	0.721193155047371	0.779074322426709
P45751	-0.0500710084263076	-0.287644006780971	0.187501989928356	21.8570063064331	-0.448758905728706	0.659944871878046	0.723152478239896	-7.48668998917504	P45751	2	-0.361087578205446	0.722615749298809	0.780276208058817
P64429	-0.0349829914259274	-0.237375301427021	0.167409318575166	22.1487225990904	-0.359268787376636	0.722950808045323	0.779300721134937	-7.7140346315866	P64429	5	-0.358704298208818	0.723160252320334	0.780529311788285
P0A9G4	-0.0276923550782797	-0.18518223957102	0.129797529414461	21.5296856982417	-0.365480136860568	0.718377477742893	0.77536711469934	-7.71169608172277	P0A9G4	5	-0.357800078328145	0.723827619064129	0.780824574845381
P0A7D7	0.0224924005935563	-0.112736099711009	0.157720900898122	27.3906898204273	0.345719701860262	0.732963497264967	0.787732332457696	-7.7189983663079	P0A7D7	29	0.357493077995699	0.724054254147445	0.780824574845381
P69913	0.027243865928881	-0.131158479888107	0.185646211745869	25.0183243790626	0.35748981840137	0.724262604207361	0.780380554276511	-7.71469711245542	P69913	6	0.355146634030929	0.725787307830506	0.782358309982605
P52007	-0.0268115657750307	-0.186408372195554	0.132785240645493	23.5313164047224	-0.349184158034908	0.730398561126952	0.785774598261255	-7.71774710132508	P52007	8	-0.352701609517373	0.727594768255419	0.783970903980689
