ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P37689	1.13512070723974e-21	6.91336459902767e-16	4.04478224365281e-23	5.29394517937927e-24	3.05765188712188e-30	512.505732882093	9.37698797518716e-104	1.2331323395228e-100	NA
P0AEE5	3.64932713173751e-21	1.51008499393175e-18	3.22565003280364e-20	1.39460758164892e-20	5.78249012243514e-23	459.796777551976	1.69793038647285e-92	1.05441476999964e-89	NA
P37349	7.26348880319973e-21	6.2633764997417e-12	2.56606648646553e-17	7.99948914122879e-20	2.4898636966571e-19	394.35702753524	1.49465630516361e-78	1.37508380075052e-76	NA
P19926	1.7521883210518e-19	1.20914804179635e-18	3.59676859160313e-15	3.51725006873362e-20	2.3672398168147e-21	419.98038446736	5.23980338301514e-84	1.44618573371218e-81	NA
P37440	3.20872975904323e-19	5.2724365096108e-15	2.73103710673413e-16	3.29362134902763e-20	1.00867628231132e-22	413.608305712169	1.19278990833285e-82	1.85180633268675e-80	NA
P37903	7.11839345036574e-19	1.20335615846306e-12	1.97486213376318e-15	1.64647198452251e-16	2.22519238931514e-21	373.975578858105	3.22564407853319e-74	1.95426826611621e-72	NA
P69828	2.72899581128078e-18	2.02758198608165e-16	1.31298803703515e-15	2.34831307591121e-17	2.10224259242451e-21	393.490236099772	2.28538732510455e-78	2.02746504127132e-76	NA
P23538	3.8444550584679e-18	1.22510653586797e-19	1.06570351911273e-23	1.99125837897281e-28	5.44801537762596e-25	512.389604980937	9.92860176749433e-104	1.2331323395228e-100	NA
P77318	4.0057984647136e-18	9.72562699461959e-20	2.41289108291336e-20	1.2003414908252e-21	2.40551263656437e-25	467.730295217086	3.44165591482037e-94	2.84969109747126e-91	NA
P0AB77	4.48746061732413e-18	1.27429851592441e-17	1.06984565132071e-15	4.78355174650463e-17	3.99767115187038e-18	381.915280805797	6.61960492997364e-76	4.44408071514987e-74	NA
P15078	8.10546069282875e-18	3.19172277996687e-11	2.24439637707412e-19	8.22064546576444e-22	7.77918781060058e-23	411.841555096329	2.83667130825271e-82	4.14487737041161e-80	NA
P02925	1.28024059357845e-17	6.6076732300841e-15	9.63286341216968e-18	1.43499726207193e-22	2.16451309191647e-21	417.213190275972	2.03598727554286e-83	5.05739239244847e-81	NA
