Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P60723	0.439749545358421	0.323885745651601	0.55561334506524	20.3769398492295	7.84466469993078	1.54562765106821e-08	1.02605026312902e-07	7.67693711093066	P60723	22	8.09446796217819	1.54562765106821e-08	1.02605026312902e-07
P64554	0.3678755131291	0.27768586083142	0.458065165426779	15.9413644253399	8.43064731524113	1.54690089333037e-08	1.02605026312902e-07	8.96829217921414	P64554	13	8.09411181238096	1.54690089333037e-08	1.02605026312902e-07
P0AES6	0.305019579197797	0.218827622236243	0.391211536159351	18.2777865158224	7.31438354173755	1.57752705504e-08	1.04390816153938e-07	6.46987491454507	P0AES6	55	8.08563443373069	1.57752705504e-08	1.04390816153938e-07
P0ACG1	0.745730868350996	0.548460330792226	0.943001405909767	20.9210654927877	7.8133386054515	1.58572952597427e-08	1.04687857932587e-07	7.60663737390561	P0ACG1	16	8.0833925981519	1.58572952597427e-08	1.04687857932587e-07
P30855	0.626031129366845	0.457903287786145	0.794158970947546	14.84615358436	7.69614151404163	1.5999433297693e-08	1.05379445014478e-07	7.34250245564447	P30855	30	8.07953578303229	1.5999433297693e-08	1.05379445014478e-07
P26365	0.493097222423454	0.374585652060598	0.611608792786311	14.2731849951327	8.59980406655274	1.61969467048587e-08	1.06431684757568e-07	9.33268230103164	P26365	8	8.07423429080028	1.61969467048587e-08	1.06431684757568e-07
P0A6F1	0.448273497003978	0.329060866159756	0.567486127848199	20.3663567920986	7.77208504365845	1.64651772699844e-08	1.07942638893223e-07	7.51386457309907	P0A6F1	24	8.06713977133354	1.64651772699844e-08	1.07942638893223e-07
P30138	-0.766701262778486	-0.968415898707606	-0.564986626849367	16.7434032533133	-7.85607319523065	1.6627867065918e-08	1.08756281342977e-07	7.70250750497814	P30138	12	-8.06289420265834	1.6627867065918e-08	1.08756281342977e-07
P43672	0.391184353397634	0.28689180935058	0.495476897444687	17.3790855591649	7.75255698768484	1.73023722013323e-08	1.12905988971194e-07	7.46987201165546	P43672	25	8.04573491995083	1.73023722013323e-08	1.12905988971194e-07
P0ABQ2	-0.851382049751539	-1.07701707651647	-0.625747022986606	16.5794243919959	-7.79892464072889	1.75906488802143e-08	1.14522030469571e-07	7.57424774621694	P0ABQ2	12	-8.03860928171927	1.75906488802143e-08	1.14522030469571e-07
