Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P76658	-0.0200753422649456	-0.0607021021520014	0.0205514176221102	23.2425976469522	-1.0199062076374	0.296696054790993	0.326577417961854	-7.92343206525007	P76658	38	-1.06589912618702	0.296696054790993	0.326577417961854
P77239	-0.58879936919638	-1.75427891430377	0.576680175911008	17.2956865232716	-1.04777997098285	0.296854958953248	0.326622816509797	-7.84618758706166	P77239	2	-1.067536583828	0.296854958953248	0.326622816509797
P28630	-0.0334796924920759	-0.0988604957782257	0.0319011107940738	20.192195774917	-1.05691648656452	0.299837932785415	0.329774208166526	-7.88513858558511	P28630	11	-1.05883724555626	0.299837932785415	0.329774208166526
P07639	0.0214482782110572	-0.0223562656078359	0.0652528220299503	22.6132777992728	1.01060801107483	0.3051988470344	0.335537425492077	-7.93285613327648	P07639	28	1.04690758973137	0.3051988470344	0.335537425492077
P00961	-0.0171731606426455	-0.0525680082890891	0.0182216870037981	25.7522026440483	-1.00142781363143	0.305913008288931	0.33618943428744	-7.94208282413603	P00961	90	-1.04532954435016	0.305913008288931	0.33618943428744
P27848	-0.0271608461419461	-0.081896316399117	0.0275746241152247	21.0052379978131	-1.02419795863614	0.308959292873354	0.339402848047658	-7.91905552398883	P27848	16	-1.03862726073209	0.308959292873354	0.339402848047658
P00393	0.0317079802837696	-0.0333413240241482	0.0967572845916875	23.4654582387654	1.00608665262245	0.31036368237061	0.340810752476587	-7.93741005973893	P00393	41	1.0355530050703	0.31036368237061	0.340810752476587
P77214	-0.554006182492135	-1.68095948232813	0.57294711734386	19.0105510739904	-1.01465443014019	0.311862057112124	0.342320708004451	-7.92876467021586	P77214	2	-1.03228373774367	0.311862057112124	0.342320708004451
P07650	-0.0239222151750127	-0.0735541904114851	0.0257097600614597	23.7814051319025	-0.994830970821871	0.312720183824338	0.343126968496586	-7.94866525565511	P07650	36	-1.03041635833846	0.312720183824338	0.343126968496586
P14375	-0.0313647296056949	-0.0930680344922675	0.0303385752808776	18.5255334792796	-1.04916208166287	0.324284331076405	0.355674951824614	-7.89326504279628	P14375	6	-1.00559268673884	0.324284331076405	0.355674951824614
P21889	0.040033552891316	-0.0449976415981677	0.1250647473808	25.0041425294529	0.971751721605808	0.329399655641824	0.361142750419314	-7.97137838872804	P21889	83	0.994807454927812	0.329399655641824	0.361142750419314
P13000	0.0344659958290876	-0.037875455049584	0.106807446707759	22.1844340180781	0.983361227194117	0.332566828789152	0.364471187018826	-7.96001451782196	P13000	11	0.988187375736984	0.332566828789152	0.364471187018826
P77330	-0.0775696314716683	-0.243104131626314	0.0879648686829772	24.0559769765607	-0.967191944030099	0.337062431435274	0.369252292685209	-7.97580757991141	P77330	7	-0.97886434256055	0.337062431435274	0.369252292685209
P0ADE4	0.0206074158813152	-0.0249731642716237	0.0661879960342541	21.4919673307472	0.933153633145939	0.343608050327536	0.376274535585499	-8.00826080884648	P0ADE4	28	0.965440345287593	0.343608050327536	0.376274535585499
P00887	0.0215459662285973	-0.0260070085216893	0.0690989409788838	26.9528620745582	0.935185466321662	0.345431582878102	0.378122268954895	-8.00635388740181	P00887	23	0.96173153080403	0.345431582878102	0.378122268954895
P39274	-0.0427076959717958	-0.132532291298977	0.0471168993553856	21.3054294327156	-0.981341888872811	0.345987635377286	0.378581661729344	-7.96200008020924	P39274	5	-0.960603233238484	0.345987635377286	0.378581661729344
P0AAA9	-0.334821014764358	-1.0661278945752	0.396485865046482	18.9480083993787	-0.944979774522812	0.346659814967072	0.379167709357208	-7.99710765662332	P0AAA9	2	-0.959240935198445	0.346659814967072	0.379167709357208
P0AFY8	-0.0506332810292633	-0.161464252443748	0.0601976903852214	23.1771757165168	-0.942940729041719	0.348682962995557	0.381230368363792	-7.99903997321805	P0AFY8	11	-0.955151379653739	0.348682962995557	0.381230368363792
P39410	0.0388919663696328	-0.0406526157712164	0.118436548510482	20.5362542697097	1.00915705552161	0.348844755646485	0.381257103021513	-7.93431958401548	P39410	4	0.954825026818792	0.348844755646485	0.381257103021513
P13669	-0.0331006209555689	-0.103518309278842	0.0373170673677044	19.5888935295634	-0.970205743550857	0.349786438941744	0.382135834121323	-7.97288224976382	P13669	7	-0.952927573993962	0.349786438941744	0.382135834121323
