rowname	Sample	Dataset	Normal	Tumor
CPT0026410003	CPT0026410003	PDC000127	0	1
CPT0002370001	CPT0002370001	PDC000127	1	0
CPT0000790001	CPT0000790001	PDC000127	1	0
CPT0019130003	CPT0019130003	PDC000127	0	1
CPT0088570001	CPT0088570001	PDC000127	1	0
CPT0065820001	CPT0065820001	PDC000127	1	0
CPT0025880003	CPT0025880003	PDC000127	0	1
CPT0076330003	CPT0076330003	PDC000127	0	1
CPT0001180009	CPT0001180009	PDC000127	0	1
CPT0078800003	CPT0078800003	PDC000127	0	1
CPT0078660003	CPT0078660003	PDC000127	0	1
CPT0065690003	CPT0065690003	PDC000127	0	1
CPT0078930003	CPT0078930003	PDC000127	0	1
CPT0011240003	CPT0011240003	PDC000127	0	1
CPT0084560003	CPT0084560003	PDC000127	0	1
CPT0012670003	CPT0012670003	PDC000127	0	1
CPT0002350011	CPT0002350011	PDC000127	0	1
CPT0012920003	CPT0012920003	PDC000127	1	0
CPT0064370003	CPT0064370003	PDC000127	0	1
CPT0088900003	CPT0088900003	PDC000127	0	1
CPT0006730001	CPT0006730001	PDC000127	1	0
CPT0007870001	CPT0007870001	PDC000127	1	0
CPT0087040003	CPT0087040003	PDC000127	0	1
CPT0079380003	CPT0079380003	PDC000127	0	1
CPT0025170003	CPT0025170003	PDC000127	0	1
CPT0024670003	CPT0024670003	PDC000127	0	1
CPT0012640003	CPT0012640003	PDC000127	1	0
CPT0078830003	CPT0078830003	PDC000127	0	1
CPT0021240003	CPT0021240003	PDC000127	0	1
CPT0071150004	CPT0071150004	PDC000127	0	1
CPT0089020003	CPT0089020003	PDC000127	0	1
CPT0088970003	CPT0088970003	PDC000127	0	1
CPT0066480003	CPT0066480003	PDC000127	0	1
CPT0000870016	CPT0000870016	PDC000127	0	1
CPT0092790003	CPT0092790003	PDC000127	0	1
CPT0025610001	CPT0025610001	PDC000127	1	0
CPT0063330001	CPT0063330001	PDC000127	1	0
CPT0001350001	CPT0001350001	PDC000127	1	0
CPT0078940001	CPT0078940001	PDC000127	1	0
CPT0086830003	CPT0086830003	PDC000127	1	0
CPT0088760003	CPT0088760003	PDC000127	0	1
CPT0092190003	CPT0092190003	PDC000127	1	0
CPT0002270011	CPT0002270011	PDC000127	0	1
CPT0088550004	CPT0088550004	PDC000127	0	1
CPT0023710001	CPT0023710001	PDC000127	1	0
CPT0077140001	CPT0077140001	PDC000127	1	0
CPT0025230003	CPT0025230003	PDC000127	0	1
CPT0025050003	CPT0025050003	PDC000127	0	1
CPT0075720003	CPT0075720003	PDC000127	0	1
CPT0012570003	CPT0012570003	PDC000127	1	0
CPT0089040001	CPT0089040001	PDC000127	1	0
CPT0017850003	CPT0017850003	PDC000127	0	1
CPT0019990003	CPT0019990003	PDC000127	0	1
CPT0012900004	CPT0012900004	PDC000127	0	1
CPT0000780007	CPT0000780007	PDC000127	0	1
CPT0023360001	CPT0023360001	PDC000127	1	0
CPT0001510001	CPT0001510001	PDC000127	1	0
CPT0078840001	CPT0078840001	PDC000127	1	0
CPT0010110003	CPT0010110003	PDC000127	0	1
CPT0086890003	CPT0086890003	PDC000127	1	0
CPT0092290003	CPT0092290003	PDC000127	0	1
CPT0020120003	CPT0020120003	PDC000127	0	1
CPT0088640003	CPT0088640003	PDC000127	1	0
CPT0088500001	CPT0088500001	PDC000127	1	0
CPT0069010001	CPT0069010001	PDC000127	1	0
CPT0006440003	CPT0006440003	PDC000127	0	1
CPT0063630003	CPT0063630003	PDC000127	0	1
CPT0001550001	CPT0001550001	PDC000127	1	0
CPT0086950003	CPT0086950003	PDC000127	0	1
CPT0014350001	CPT0014350001	PDC000127	1	0
CPT0014470001	CPT0014470001	PDC000127	1	0
CPT0086360003	CPT0086360003	PDC000127	0	1
CPT0069160003	CPT0069160003	PDC000127	0	1
CPT0006950001	CPT0006950001	PDC000127	1	0
CPT0007860003	CPT0007860003	PDC000127	0	1
CPT0082010001	CPT0082010001	PDC000127	1	0
CPT0079230003	CPT0079230003	PDC000127	0	1
CPT0001340003	CPT0001340003	PDC000127	0	1
CPT0011410003	CPT0011410003	PDC000127	0	1
CPT0079180003	CPT0079180003	PDC000127	0	1
CPT0012080003	CPT0012080003	PDC000127	0	1
CPT0084590001	CPT0084590001	PDC000127	1	0
CPT0063640001	CPT0063640001	PDC000127	1	0
CPT0009000003	CPT0009000003	PDC000127	0	1
CPT0010170001	CPT0010170001	PDC000127	1	0
CPT0079270003	CPT0079270003	PDC000127	0	1
CPT0069190001	CPT0069190001	PDC000127	1	0
CPT0001270001	CPT0001270001	PDC000127	1	0
CPT0015810003	CPT0015810003	PDC000127	0	1
CPT0025110003	CPT0025110003	PDC000127	0	1
CPT0024680001	CPT0024680001	PDC000127	1	0
CPT0012090003	CPT0012090003	PDC000127	1	0
CPT0009020003	CPT0009020003	PDC000127	1	0
CPT0077310003	CPT0077310003	PDC000127	0	1
CPT0077490003	CPT0077490003	PDC000127	0	1
CPT0014160003	CPT0014160003	PDC000127	0	1
CPT0078530001	CPT0078530001	PDC000127	1	0
CPT0020020001	CPT0020020001	PDC000127	1	0
CPT0066520001	CPT0066520001	PDC000127	1	0
CPT0014370004	CPT0014370004	PDC000127	0	1
CPT0001500009	CPT0001500009	PDC000127	0	1
CPT0081600003	CPT0081600003	PDC000127	0	1
CPT0001190001	CPT0001190001	PDC000127	1	0
CPT0088630003	CPT0088630003	PDC000127	0	1
CPT0069000003	CPT0069000003	PDC000127	0	1
CPT0088710001	CPT0088710001	PDC000127	1	0
