ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P25553	1.84964385238579e-17	1.39669127491713e-20	4.72170730122565e-20	1.15930711303352e-19	2.53147540254864e-23	-20.4024627423422	1.59002625450155e-92	4.57927561296447e-90	NA
P0A9B2	2.23791407645411e-17	2.33424135949847e-16	1.00397727856015e-16	2.56890971245397e-18	7.50617359341318e-21	-19.0890102222182	3.11617730379354e-81	2.39322416931344e-79	NA
P77399	2.49716294350451e-17	6.56985530412307e-16	2.54642578556481e-18	1.74886248489959e-19	1.70239555048101e-19	-19.2024238174595	3.53218155976999e-82	2.8062573495552e-80	NA
P19926	2.60510749044725e-17	9.40060907744969e-18	1.6715973832392e-15	4.76752717097864e-21	2.49034850546328e-21	-19.4586559821698	2.46155758104984e-84	2.70068031749468e-82	NA
P27306	4.41523450285053e-17	2.22710558415435e-22	1.13868995670797e-17	2.66982394688423e-24	2.53614581507575e-21	-20.5581152532663	6.51135758845263e-94	3.00043357675897e-91	NA
P76594	5.79703759919264e-17	1.82348960665885e-20	6.95402581645494e-19	9.39135735368965e-25	2.55777775321293e-21	-20.5250438148126	1.28647368442879e-93	4.23433624131991e-91	NA
P0AB77	6.26345567160329e-17	6.96236399116056e-17	2.4131270045893e-16	1.09570411590362e-16	4.10309071327605e-20	-18.7743427685079	1.22453880596023e-78	6.5612497882148e-77	NA
P77318	6.36297140608932e-17	7.40011054493966e-19	2.53284023598533e-20	2.63875691597861e-22	1.85694289880457e-19	-20.0431203980905	2.3177209516997e-89	4.85457188428737e-87	NA
P06959	9.56145532200027e-17	7.46324909210253e-14	1.13514439129306e-15	5.08101108184748e-17	3.77910118523296e-22	-18.5367968893223	1.04248689431076e-76	4.70958785194509e-75	NA
P0A9P6	1.21123601724327e-16	1.64455184995198e-17	2.56194892374461e-15	5.89926799222702e-18	4.44826127951396e-22	-19.0524520924532	6.26954552841887e-81	4.51407278046159e-79	NA
P0A9D8	1.43396496311375e-16	1.56995541353481e-14	7.75752449128624e-18	4.44792489741842e-23	2.54167149799609e-19	-19.2429792990306	1.61644818474881e-82	1.33010593487902e-80	NA
P00864	1.8333279206559e-16	2.87174829478683e-16	1.88365780664727e-14	6.83730536234117e-21	7.74221228229837e-19	-18.7388986576951	2.38513356292242e-78	1.24894266567574e-76	NA
P0AB91	2.32145020818399e-16	1.09881615203796e-09	1.16567478258803e-14	7.62202145317859e-18	3.83241303620108e-21	-17.7200876970984	2.93454534837005e-70	8.66819549056999e-69	NA
P27550	2.54054709708522e-16	1.79226955933077e-20	3.49193087281351e-19	7.26999414203405e-18	1.17224982525264e-21	-19.7685239344378	5.55783569811908e-87	9.1466096060474e-85	NA
P0A6J5	2.65651385727376e-16	8.68470661127027e-18	2.31661400351256e-16	1.01835032223946e-18	1.44066843295233e-15	-18.5084728037721	1.76432145428023e-76	7.39090296483937e-75	NA
P77348	2.69407533672066e-16	1.17374871462619e-10	6.92882775859563e-14	2.69670017225737e-17	1.14710353462142e-16	-17.1820281740178	3.6202955652656e-66	8.51138875752238e-65	NA
P37685	2.80753358135828e-16	1.16366225523164e-19	1.15413541592066e-16	1.85206362783059e-17	1.13742996779093e-17	-18.8722496148236	1.92908807429768e-79	1.20124835761672e-77	NA
P39396	3.30719557495851e-16	1.81210953714208e-13	2.81306053239245e-21	9.16947718593048e-18	5.12937397704142e-16	-18.4568148953637	4.59661291159752e-76	1.85799932426679e-74	NA
P0A9G6	4.98511219516937e-16	6.33047596599081e-18	3.65010039888377e-18	1.36355682646818e-19	2.7987228171345e-20	-19.371105463522	1.3532078279391e-83	1.35556123285725e-81	NA
P07014	6.09831579626672e-16	1.32220956651113e-19	1.3332387403073e-13	1.03736938382742e-17	1.01787871593565e-20	-18.8032205007343	7.1067397618073e-79	3.99364107590342e-77	NA
P41409	6.479100043503e-16	5.0538777757981e-15	3.1726062460015e-15	2.06568437690861e-23	1.37873332544019e-17	-18.732407342008	2.69451623696601e-78	1.3795923133266e-76	NA
P21177	6.76016824202284e-16	1.17348614074374e-17	4.05584684046701e-18	4.24542226108658e-17	1.67798314990852e-20	-19.0486442020816	6.74259633892591e-81	4.70755817117736e-79	NA
P21151	7.65987686806338e-16	1.08976518829092e-16	2.57953453606104e-16	1.51164053824678e-16	7.71661676884283e-21	-18.6739242960068	8.06994020295972e-78	3.95598770800408e-76	NA
P0AD61	7.76332236946145e-16	4.83720443308477e-09	8.28888588266023e-15	1.36671596907747e-14	4.4472598211409e-20	-17.036951018237	4.36924002043155e-65	9.40815795053672e-64	NA
P0A6F3	8.16445337249318e-16	3.05987371095225e-13	1.21866028612175e-15	3.27323314498137e-20	3.45456010552732e-18	-18.2607748138859	1.69863515917134e-74	6.2121514392552e-73	NA
P21514	9.87611301524672e-16	1.18424517069533e-16	3.77370737455287e-17	1.12149721339835e-19	6.82627746925967e-17	-18.6717190852977	8.4101642849911e-78	4.03687885679573e-76	NA
P69786	1.15116333103973e-15	6.14968572069803e-12	2.24384725860085e-17	4.27652206614256e-20	1.67468577630058e-23	-18.8400209714522	3.54825082003895e-79	2.0961974075307e-77	NA
P77674	1.29479320109794e-15	1.38322411035752e-18	1.44008822923257e-15	2.51159020796493e-19	6.94723223756532e-19	-18.8884642659499	1.41914550226157e-79	9.34203210631619e-78	NA
P37903	1.30049992335331e-15	1.75045149102419e-13	8.5880164397128e-15	6.38290536334179e-17	3.37997380820819e-21	-18.1146649771905	2.44154343444162e-73	8.65433241992847e-72	NA
