ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P23538	2.14273914341451e-07	0.999999998151033	2.14273914341451e-07	0.999999998151033	-3.07625809772921
P37689	0.999999999999645	8.417506461955e-12	0.999999999999645	8.417506461955e-12	2.72537259172825
P22259	8.22621105597719e-07	0.999999993075	8.22621105597719e-07	0.999999993075	-2.91229753251218
Q46851	1.58929943327665e-05	0.999999877344984	1.58929943327665e-05	0.999999877344984	-2.44553368221445
P15078	2.60682124775333e-10	0.999999999992513	2.60682124775333e-10	0.999999999992513	-4.03992012023846
P08839	0.999999999307926	5.42848829583244e-08	0.999999999307926	5.42848829583244e-08	1.79402980104614
P29012	6.37222553300281e-07	0.999999994569003	6.37222553300281e-07	0.999999994569003	-2.96337381425453
P37440	1.5571918417906e-05	0.999999877273112	1.5571918417906e-05	0.999999877273112	-2.43228397901016
P24203	0.00033952243494352	0.999996316731319	0.00033952243494352	0.999996316731319	-1.85105862161384
P0A8A4	0.00135918713276493	0.999981979813902	0.00135918713276493	0.999981979813902	-1.57584968755919
P0AEE5	1.43741014906482e-12	0.999999999999877	1.43741014906482e-12	0.999999999999877	-4.87344378920568
P76503	7.78915511628158e-06	0.999999926071975	7.78915511628158e-06	0.999999926071975	-2.57032966618648
P04983	0.000317166329385664	0.999996837922514	0.000317166329385664	0.999996837922514	-1.88943436413759
P37349	0.999999996146201	4.30800784618403e-07	0.999999996146201	4.30800784618403e-07	1.61331233936261
P0A9Q7	0.999999999996979	1.46833948521037e-10	0.999999999996979	1.46833948521037e-10	2.57461741218097
P0A796	0.999999999185481	8.36942670567993e-08	0.999999999185481	8.36942670567993e-08	1.75034206959767
P0C8J6	0.00016429103158283	0.999998200734282	0.00016429103158283	0.999998200734282	-2.00689281458043
P0A836	7.26741076483922e-05	0.999999361571245	7.26741076483922e-05	0.999999361571245	-2.17576803819207
P0AGE9	9.40259222500259e-05	0.999999192448267	9.40259222500259e-05	0.999999192448267	-2.13773207577427
P25553	1.52035105692128e-09	0.999999999975315	1.52035105692128e-09	0.999999999975315	-3.74221902564652
P0A9B2	0.999999927606294	9.26248851695257e-06	0.999999927606294	9.26248851695257e-06	1.28660412996809
P77399	1.61073324211851e-05	0.999999869829473	1.61073324211851e-05	0.999999869829473	-2.44074436426688
P19926	0.000202065739484248	0.999998086618068	0.000202065739484248	0.999998086618068	-1.97146610577121
P27306	0.000191615814159252	0.999998064008643	0.000191615814159252	0.999998064008643	-1.98346792218192
P76594	2.75254557708355e-05	0.999999780297904	2.75254557708355e-05	0.999999780297904	-2.34864646477019
P0AB77	0.000239136502516145	0.999997588634425	0.000239136502516145	0.999997588634425	-1.93801204276434
P77318	2.44011382850924e-07	0.999999997334222	2.44011382850924e-07	0.999999997334222	-3.03647893957086
P06959	0.0154846031665789	0.999565754924771	0.0154846031665789	0.999565754924771	-1.02870230362134
P0A9P6	0.999999997584786	2.98581730513754e-07	0.999999997584786	2.98581730513754e-07	1.64807371457582
P0A9D8	0.999999070913659	0.000102195076478715	0.999999070913659	0.000102195076478715	1.08068835336561
P00864	0.999999944650853	6.64324788367766e-06	0.999999944650853	6.64324788367766e-06	1.31921610347055
P0AB91	0.999997522153581	0.000224981966990088	0.999997522153581	0.000224981966990088	0.992722230377776
P27550	1.04316004538899e-08	0.999999999828058	1.04316004538899e-08	0.999999999828058	-3.47401880267282
P0A6J5	3.62628105129812e-05	0.99999970948743	3.62628105129812e-05	0.99999970948743	-2.29882304372926
P77348	0.027138638510202	0.999041661860934	0.027138638510202	0.999041661860934	-0.898979622287882
P37685	1.15790842230871e-05	0.999999903462961	1.15790842230871e-05	0.999999903462961	-2.47753719742604
P39396	6.36060742002659e-14	0.999999999999982	6.36060742002659e-14	0.999999999999982	-5.1919691304079
P0A9G6	0.000377526405351785	0.999995894253676	0.000377526405351785	0.999995894253676	-1.82714045994224
P07014	2.38510199047e-05	0.999999804808635	2.38510199047e-05	0.999999804808635	-2.36724274019895
P41409	0.000996955492116635	0.999985872361549	0.000996955492116635	0.999985872361549	-1.63436004893901
P21177	3.0056275428828e-08	0.999999999629448	3.0056275428828e-08	0.999999999629448	-3.35666615386781
P21151	3.03840195060496e-07	0.999999996878718	3.03840195060496e-07	0.999999996878718	-3.06162054679684
P0AD61	0.999999292305905	8.29375498371894e-05	0.999999292305905	8.29375498371894e-05	1.10824198415773
P0A6F3	0.000186247620470415	0.999998062165627	0.000186247620470415	0.999998062165627	-1.99388882344574
P21514	3.15520842387266e-05	0.999999715721724	3.15520842387266e-05	0.999999715721724	-2.29554454836143
P69786	0.999999999553257	3.3106612518542e-08	0.999999999553257	3.3106612518542e-08	1.88845021099529
P77674	1.45761362545871e-07	0.99999999844451	1.45761362545871e-07	0.99999999844451	-3.12526931162879
P37903	0.000163147036165784	0.99999832380971	0.000163147036165784	0.99999832380971	-1.98960005995674
P69828	0.000656911642131091	0.999992478261053	0.000656911642131091	0.999992478261053	-1.71762594928803
P0AFG8	0.0102559101943996	0.99976203326303	0.0102559101943996	0.99976203326303	-1.11351323792653
P25888	0.999999999904531	6.54998543730143e-09	0.999999999904531	6.54998543730143e-09	2.0367727691866
P0ACL5	1.90628072378093e-05	0.999999798560046	1.90628072378093e-05	0.999999798560046	-2.39045001452563
P0A9S3	7.93479431248318e-05	0.999999313465867	7.93479431248318e-05	0.999999313465867	-2.14701549067544
P0A9S1	8.36821995055121e-07	0.999999989038002	8.36821995055121e-07	0.999999989038002	-2.92195211573122
P0AFG6	0.000807174103351502	0.999990488575544	0.000807174103351502	0.999990488575544	-1.69007407475974
P09832	0.999999921459626	9.95871873605447e-06	0.999999921459626	9.95871873605447e-06	1.29144096767649
P0AFT5	0.000562121541105149	0.999993808750333	0.000562121541105149	0.999993808750333	-1.76645692927486
P77252	4.28157565965167e-11	0.999999999998657	4.28157565965167e-11	0.999999999998657	-4.45362412253014
P0A6T3	0.00570790420812346	0.999890338312541	0.00570790420812346	0.999890338312541	-1.2527997348188
P09831	0.999999979512737	2.41299780067001e-06	0.999999979512737	2.41299780067001e-06	1.42063601726404
P37188	5.90903710039715e-05	0.999999473257432	5.90903710039715e-05	0.999999473257432	-2.21367489663265
P42593	1.22860382512298e-06	0.999999988832189	1.22860382512298e-06	0.999999988832189	-2.85907174804167
P33025	2.07775797948908e-07	0.999999997807793	2.07775797948908e-07	0.999999997807793	-3.08195663177088
P46118	0.00208129287198128	0.999969354861149	0.00208129287198128	0.999969354861149	-1.48030837946439
P0C8J8	7.71035038415877e-05	0.999999305543306	7.71035038415877e-05	0.999999305543306	-2.16733423855913
P0AC44	4.55839906313768e-06	0.999999953411895	4.55839906313768e-06	0.999999953411895	NA
P31142	0.00892647309808853	0.99981031947836	0.00892647309808853	0.99981031947836	-1.13898971120141
P02925	2.09116085813681e-05	0.999999809400782	2.09116085813681e-05	0.999999809400782	-2.40527114284325
P0ABH7	0.000724223719830863	0.999991414442021	0.000724223719830863	0.999991414442021	-1.71820614385443
P0C0L7	0.999999999870965	1.0835580397237e-08	0.999999999870965	1.0835580397237e-08	1.98113496349914
P0ABF4	0.00266757851742329	0.999953357821446	0.00266757851742329	0.999953357821446	-1.42778664534934
P0A991	0.0154889092572493	0.999574396490184	0.0154889092572493	0.999574396490184	-1.02438914632552
P77536	2.21541190987445e-09	0.999999999968646	2.21541190987445e-09	0.999999999968646	-3.7433549893696
P08997	0.0168896508855211	0.999537792690795	0.0168896508855211	0.999537792690795	-1.00301575053194
P08202	0.000796273887426231	0.999990168258805	0.000796273887426231	0.999990168258805	-1.68664033406002
P0AAG8	1.18676866620842e-07	0.999999984391376	1.18676866620842e-07	0.999999984391376	-3.1779897910786
Q47146	0.000107666783805819	0.99999901537741	0.000107666783805819	0.99999901537741	-2.12683925782332
P05042	0.00400253109008979	0.99993042111665	0.00400253109008979	0.99993042111665	-1.33239393502451
P60757	0.999999984194783	1.74570515426226e-06	0.999999984194783	1.74570515426226e-06	1.45784920464373
P0A853	1.09725808514433e-06	0.999999990821343	1.09725808514433e-06	0.999999990821343	-2.87648304422487
P0AC38	0.000615623767062327	0.999992986420268	0.000615623767062327	0.999992986420268	-1.74798036547921
P32705	7.25466727730833e-11	0.999999999988818	7.25466727730833e-11	0.999999999988818	NA
P05793	0.999999646237297	3.92394199927653e-05	0.999999646237297	3.92394199927653e-05	1.1707185135839
P0ACL9	0.00122899455368215	0.999984252577871	0.00122899455368215	0.999984252577871	-1.60072847653608
P76346	0.000699425794445619	0.999991887998985	0.000699425794445619	0.999991887998985	-1.72152309083215
P30863	0.024655600509256	0.9992212169065	0.024655600509256	0.9992212169065	-0.923551683774335
P76558	0.000881070987717401	0.999989473169774	0.000881070987717401	0.999989473169774	-1.67053172781406
P07913	0.00453986226981124	0.999917028084728	0.00453986226981124	0.999917028084728	-1.30950926052043
P69797	0.999999302443335	6.86571384898228e-05	0.999999302443335	6.86571384898228e-05	1.12164516667831
P06720	1.92436576969141e-05	0.99999982423532	1.92436576969141e-05	0.99999982423532	-2.42365318603975
P0A6D3	0.999998535642005	0.000157720211837218	0.999998535642005	0.000157720211837218	1.0268868074567
