,FP,FN,Jaccard
FedProt,0.0,0.0,1.0
Fisher,3.0,2.0,0.9930362116991643
Stouffer,3.0,2.0,0.9930362116991643
REM,14.0,16.0,0.9588477366255144
RankProd,0.0,186.0,0.7398601398601399
