Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	sca.adj.pval	sca.P.Value
prt73	1.07216312470635	0.925693974477045	1.21863227493566	1.9833294265053	14.379598451143	7.11355584424541e-40	4.26813350654725e-36	79.7256365926901	4.26813350654725e-36	7.11355584424541e-40
prt62	0.908071781616909	0.780043831701504	1.03609973153231	-0.718291638538022	13.9335091551789	8.3991303405491e-38	2.51973910216473e-34	75.0176083523292	2.51973910216473e-34	8.3991303405491e-38
prt81	0.939882580608634	0.798476946740407	1.08128821447686	4.60538377201997	13.056269026819	4.25629887677007e-34	8.51259775354014e-31	66.6212533567088	8.51259775354014e-31	4.25629887677007e-34
prt64	0.953205537497053	0.805882262790451	1.10052881220365	-1.85025198857545	12.7174334206628	1.24566263971877e-31	1.86849395957815e-28	61.0179543197239	1.86849395957815e-28	1.24566263971877e-31
prt8	1.28772736851896	1.08900663754836	1.48644809948955	-2.51849463181966	12.7416606287616	3.60363908116574e-31	3.84873569842178e-28	59.9772149955402	3.84873569842178e-28	3.60363908116574e-31
prt82	0.890873727972176	0.749933151529164	1.03181430441519	-0.123472543776565	12.4180791554756	3.84873569842178e-31	3.84873569842178e-28	59.9059584323263	3.84873569842178e-28	3.84873569842178e-31
prt198	-1.06631043121087	-1.24066983094512	-0.891951031476619	1.0294987386309	-12.0137791226934	1.42658733315698e-29	1.22278914270598e-26	56.3485617889803	1.22278914270598e-26	1.42658733315698e-29
prt17	1.00924305295273	0.843294637966342	1.17519146793911	-0.627715348751227	11.9487257690759	3.97249803833311e-29	2.97937352874983e-26	55.3504180778829	2.97937352874983e-26	3.97249803833311e-29
prt105	-1.07786600487043	-1.25615294565801	-0.899579064082859	1.5455393683448	-11.8764485670706	5.24121104342326e-29	3.49414069561551e-26	55.0632840506668	3.49414069561551e-26	5.24121104342326e-29
prt56	1.12435379989118	0.936935157234454	1.31177244254791	3.40279183687452	11.7844557952405	1.07338533693064e-28	6.44031202158387e-26	54.3606427839308	6.44031202158387e-26	1.07338533693064e-28
prt119	-1.02547527972471	-1.19772051337632	-0.853230046073103	1.99877474074195	-11.6956670332106	2.97858575941378e-28	1.62468314149843e-25	53.3599691589244	1.62468314149843e-25	2.97858575941378e-28
prt106	-1.16200428717602	-1.36011888402877	-0.963889690323275	1.46727281157747	-11.5216369307186	1.29377255567184e-27	6.4688627783592e-25	51.9103888531985	6.4688627783592e-25	1.29377255567184e-27
prt161	-0.977113030010503	-1.1453546500998	-0.808871409921208	2.25152429768029	-11.408276586154	3.3983248320248e-27	1.56845761478068e-24	50.9609776639373	1.56845761478068e-24	3.3983248320248e-27
prt14	1.03444403080641	0.856682927361025	1.2122051342518	0.951900616825129	11.4329088027675	4.349709758822e-27	1.86416132520943e-24	50.7026896241013	1.86416132520943e-24	4.349709758822e-27
prt59	1.0748586586552	0.895245034293515	1.25447228301688	-3.3815110608821	11.775277908071	1.12631209429957e-26	4.50524837719828e-24	49.7018461572396	4.50524837719828e-24	1.12631209429957e-26
prt138	-1.07057129624772	-1.26041275458877	-0.880729837906682	2.58662810825036	-11.0776917229578	7.78958310815664e-26	2.92109366555874e-23	47.8792952355791	2.92109366555874e-23	7.78958310815664e-26
prt178	-1.02438991412737	-1.20651827814657	-0.842261550108175	-0.285672399921699	-11.0492506546895	1.12728244675703e-25	3.97864392973068e-23	47.5182310433931	3.97864392973068e-23	1.12728244675703e-25
prt1	0.985743366176795	0.810893457449003	1.16059327490459	-1.26904714302274	11.0780177868567	1.64878552450841e-25	5.49595174836137e-23	47.1558293776408	5.49595174836137e-23	1.64878552450841e-25
prt92	1.02688087256092	0.841642277523282	1.21211946759855	0.0448393851504067	10.8916545978842	6.34832698666748e-25	2.00473483789499e-22	45.7898992718452	2.00473483789499e-22	6.34832698666748e-25
prt66	0.912089237541106	0.746641486550896	1.07753698853132	-0.0474002502315479	10.830114765173	8.56888837055003e-25	2.57066651116501e-22	45.524397999044	2.57066651116501e-22	8.56888837055003e-25
prt29	0.939206837027063	0.768264485865543	1.11014918818858	2.55082959691655	10.7928542910848	1.0176632476654e-24	2.907609279044e-22	45.3518483818114	2.907609279044e-22	1.0176632476654e-24
prt39	0.928797181447512	0.758290722642032	1.09930364025299	4.3402147163524	10.7006527243465	2.38013179939097e-24	6.49126854379355e-22	44.5156070323628	6.49126854379355e-22	2.38013179939097e-24
prt111	-1.06806799893041	-1.26554302469073	-0.870592973170085	-0.393166367090736	-10.6271826110243	7.35852028945104e-24	1.91961398855245e-21	43.397495221742	1.91961398855245e-21	7.35852028945104e-24
