Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	sca.adj.pval	sca.P.Value
prt138	-1.10370784264991	-1.23583453111568	-0.971581154184145	2.99227698430773	-16.4097373840036	2.92996290927526e-49	1.75797774556516e-45	100.912064356749	1.75797774556516e-45	2.92996290927526e-49
prt198	-0.996184719286473	-1.12948153691268	-0.86288790166027	0.633072698613742	-14.6804662165878	2.56494736324776e-41	7.69484208974329e-38	82.9263104898001	7.69484208974329e-38	2.56494736324776e-41
prt197	-1.08542825918021	-1.23482778877871	-0.9360287295817	-1.46954434682946	-14.2786321285208	2.51347221416803e-38	5.02694442833606e-35	76.154167872311	5.02694442833606e-35	2.51347221416803e-38
prt109	-1.09492012324279	-1.26623880953652	-0.923601436949066	1.35473346285406	-12.5548647889352	7.36900973381442e-32	1.10535146007216e-28	61.4942095216194	1.10535146007216e-28	7.36900973381442e-32
prt42	0.99616346125134	0.836693847549678	1.155633074953	0.434107460065034	12.271569994964	1.27175343810059e-30	1.5261041257207e-27	58.7011984032987	1.5261041257207e-27	1.27175343810059e-30
prt5	1.018669346313	0.851648782210463	1.18568991041553	-1.814799623994	11.986434593623	6.78148379250146e-29	6.78148379250146e-26	54.6770253837782	6.78148379250146e-26	6.78148379250146e-29
prt148	-0.912101081056635	-1.06297565625604	-0.761226505857235	-1.58730577755853	-11.8810175832583	1.77184247855966e-28	1.51872212447971e-25	53.8655870900835	1.51872212447971e-25	1.77184247855966e-28
prt161	-1.02409640882904	-1.19756266788399	-0.85063014977409	0.118265520948467	-11.597738001889	7.44774500719532e-28	5.39504332265969e-25	52.447208827162	5.39504332265969e-25	7.44774500719532e-28
prt2	0.927492752943247	0.770532070130916	1.08445343575558	-0.67321968892774	11.6090436798148	8.09256498398954e-28	5.39504332265969e-25	52.357614069669	5.39504332265969e-25	8.09256498398954e-28
prt30	1.21490226663719	1.00690386061633	1.42290067265805	0.463221695518617	11.4737318099175	2.02579761330943e-27	1.21547856798566e-24	51.4589683367364	1.21547856798566e-24	2.02579761330943e-27
prt63	0.983617679755365	0.814726098435024	1.15250926107571	0.664184361529136	11.4403649029189	2.73081946302364e-27	1.48953788892199e-24	51.1680022995738	1.48953788892199e-24	2.73081946302364e-27
prt159	-0.939744585460591	-1.10493025734589	-0.774558913575295	-1.03938233123375	-11.1769259573625	4.42624505536925e-26	2.21312252768462e-23	48.4298340531742	2.21312252768462e-23	4.42624505536925e-26
prt180	-1.02868648203953	-1.21276398900737	-0.84460897507169	3.37160012650266	-10.9770631299352	1.73478023219636e-25	8.00667799475243e-23	47.0853624729688	8.00667799475243e-23	1.73478023219636e-25
prt191	-0.972001534579019	-1.1462035320988	-0.797799537059241	-1.36176176808766	-10.9658726284786	6.21237009377992e-25	2.66244432590568e-22	45.8520188729553	2.66244432590568e-22	6.21237009377992e-25
prt4	1.10624544107609	0.905368557230076	1.3071223249221	1.71404106220804	10.817903026016	8.00096364107025e-25	3.2003854564281e-22	45.5869031703166	3.2003854564281e-22	8.00096364107025e-25
prt31	0.929262987292089	0.759447439997142	1.09907853458704	-0.0100233783300363	10.7501465832527	1.71630801247335e-24	6.43615504677507e-22	44.8313558912163	6.43615504677507e-22	1.71630801247335e-24
prt81	1.10303917563669	0.900509598100115	1.30556875317327	3.21863121153392	10.6987975886442	2.44673495684326e-24	8.63553514179973e-22	44.4879845880647	8.63553514179973e-22	2.44673495684326e-24
