rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P75777	1095510	1444640	1266410	1202190	1397080	1211210	1388190	1394680	1298220	1292120	1317550	1383490	1303340	1367390	1201340	1101400	1191830	1197150	1116780	1204770	1187880	1143700	1182360	1198380
P00914	879415	864245	885986	814776	773275	1072810	1024390	1000690	1033940	1058810	1055750	731377	782844	948044	871794	790410	913808	918276	884874	827016	988409	879695	797497	1031320
P33590	1905770	2272820	1890490	2332520	2367900	1623850	1742510	2585880	1397110	1911790	2109660	2166030	2595180	2950470	1865520	1634780	1519580	1426530	1848200	1844510	1969670	1895220	2132100	1691690
P76594	951562	2543640	2630640	752916	2585730	2559780	2775730	2521220	2872000	2593870	2504350	2695000	2813650	2450150	746870	638278	900575	887946	825149	895279	820090	872012	782920	814402
P0AEB2	5480330	4255520	4152750	5266760	4154600	3900740	4390660	4139430	4162340	4086520	4017320	4456250	4447840	4277230	4884140	5014580	5122260	5353110	5240200	5009450	5078800	5326340	5285090	5218730
P0AF63	5686330	5551510	5625680	5645370	6491130	5354940	5611830	5909870	5452170	5665780	5503140	5640100	6351470	5740750	5642160	6040280	5844970	5672220	4800790	5690790	5588300	5672590	5942610	5090880
P0AFR0	499599	423499	371429	493687	437625	470646	468383	433534	440065	422553	424773	433419	440186	407912	534314	521444	517919	506159	516496	491882	486090	524553	484316	472270
P0A944	340357	292172	274723	286444	284998	284755	299404	275920	293420	265515	277206	241722	253219	258197	348232	340212	325341	347912	326730	337825	335707	290209	320807	319848
P10408	4526380	4149130	3982560	4292660	4300340	3395630	4420670	3736860	3955790	3656470	3662150	4482190	3951620	3796080	4335300	4330380	4190640	4466240	4476070	4317940	4371250	4403390	4406220	4419210
P0A7E1	9062300	7809050	7355690	9379570	7425540	8100400	7325620	7730430	7639090	7896000	8103790	7757840	7800700	8685510	9240890	8665900	10040600	8281900	9251590	8820590	9106510	8941180	9360480	9332530
P0AES2	311030	506023	504546	302690	466650	437234	457349	385206	440219	396659	450080	391447	596563	372557	305906	336023	285453	296298	245148	295496	352845	315202	278705	290430
P0AED9	509976	418629	430228	497785	430633	392122	423724	403839	446740	430665	401378	392664	437336	418292	506639	531820	514829	506669	499966	553733	538498	559178	523311	544017
P0A9J4	319935	254266	221992	323003	248848	214799	271976	243380	252873	237829	226851	250502	284536	244341	274549	329531	277234	301662	278654	331559	333290	306630	310382	307177
P0AB14	6069820	7018640	7045980	6199240	7327650	7974590	6702820	7578800	7092060	7692230	8207630	6378130	6329900	7793550	6633340	5093150	7007480	4978860	6350720	6391220	6549150	5734520	6386610	6015430
P10346	2039660	2460290	2599150	2058670	2475750	2580170	2714900	2355490	2865230	2615960	2474690	2681900	2373560	2401450	1920920	2060570	1903080	2006390	1882970	2034670	1892290	1959420	1962440	1956560
P27249	1388790	1304760	1287450	1441240	1468090	957434	1512360	1374160	1338220	1093770	1063890	1398890	1434260	1179240	1371510	1395420	1299090	1466950	1349430	1432100	1491390	1459810	1386290	1424620
P0A832	3752610	3378420	3118470	3764780	3754750	2829360	3469450	3433530	3635410	3121550	3003180	3635040	3767870	3196690	3804370	3840800	3662350	4085310	3865910	3839050	3421030	3754340	3862810	3774760
P07648	687696	635444	652590	663422	690743	493858	591590	615627	607921	509408	512652	642925	680891	589798	664065	651445	600323	673762	677664	637320	667526	685486	645128	659389
