rowname	count
A0A385XJE6;P0CE49;P0CE50;P0CE51;P0CE52;P0CE53;P0CE54;P0CE55;P0CE56;P0CE57;P0CE58	3
A5A614	1
A5A621	1
P00350	63
P00363	51
P00370	61
P00393	28
P00448	23
P00452	51
P00490	48
P00509	48
P00547	23
P00550	14
P00561	109
P00562	33
P00579	39
P00579;P13445	1
P00582	59
P00634	5
P00803	14
P00805	10
P00811	6
P00861	17
P00864	118
P00887	14
P00888	21
P00888;P0AB91	1
P00893	32
P00894	14
P00895	27
P00903	2
P00904	21
P00909	29
P00914	2
P00926	5
P00934	52
P00935	13
P00936	11
P00946	23
P00954	25
P00956	96
P00957	89
P00959	76
P00960	26
P00961	86
P00962	58
P00963	17
P00968	121
P02358	24
P02359	31
P02413	18
P02916	1
P02918	18
P02919	22
P02924	1
P02925	19
P02929	6
P02930	37
P02931	35
P02931;P02932;P21420;P77747	2
P02942	1
P02943	23
P03004	14
P03007	2
P03018	16
P03023	4
P03024	4
P03813	8
P03817	4
P03819	1
P03841	8
P03960	2
P04036	23
P04079	65
P04128	9
P04335	24
P04391	13
P04391;P06960	17
P04395	3
P04425	25
P04693	28
P04805	42
P04816	32
P04816;P0AD96	4
P04825	60
P04846	12
P04949	3
P04951	15
P04968	32
P04982	1
P04983	1
P04993	1
P04994	11
P04995	12
P05020	32
P05041	10
P05042	15
P05055	67
P05194	14
P05458	23
P05459	36
P05523	1
P05637	6
P05706	1
P05719	9
P05791	39
P05793	102
P05825	40
P05852	10
P06129	32
P06136	1
P06149	45
P06282	2
P06610	14
P06611	2
P06612	57
P06616	14
P06709	2
P06710	15
P06715	26
P06720	1
P06721	18
P06846	5
P06864	1
P06959	83
P06960	14
P06961	13
P06966	4
P06968	5
P06971	55
P06983	16
P06986	20
P06987	27
P06988	23
P06989	7
P06992	11
P06993	19
P06996	40
P06996;P21420	3
P06996;P77747	6
P06999	26
P07000	3
P07001	36
P07003	37
P07004	26
P07012	24
P07013	2
P07014	26
P07017	1
P07021	2
P07023	25
P07024	25
P07102	5
P07109	8
P07117	1
P07118	84
P07395	72
P07604	24
P07623	18
P07639	23
P07648	6
