,FP,FP,FN,FN,Jaccard,Jaccard
,mean,std,mean,std,mean,std
FedProt,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00
Fisher,1.82E+01,3.88E+00,1.71E+01,4.60E+00,6.44E-01,4.43E-02
Stouffer,1.78E+01,3.91E+00,1.76E+01,4.52E+00,6.42E-01,4.35E-02
REM,8.12E+00,2.64E+00,1.03E+01,3.82E+00,7.94E-01,4.14E-02
RankProd,3.89E+01,6.74E+00,1.60E+01,4.25E+00,5.43E-01,4.36E-02
