,FedProt,Fisher,Stouffer,REM,RankProd
1,0.0,1.982761702832951e-05,2.2156872184016588e-05,1.1535467541992932e-05,0.005540619704097027
2,0.0,1.9475007424068005e-05,7.524127257511892e-06,5.959568201831873e-06,0.0011921927536064914
3,0.0,1.449088181419353e-06,4.7651680500776505e-08,4.874883723880838e-06,0.02709913551207821
4,0.0,3.086821682655311e-07,1.4498296939634281e-05,3.0373398449980315e-05,0.002058396218183711
5,0.0,4.522030574729158e-06,9.924792809604122e-07,7.406092726403002e-06,0.01026766921367428
6,0.0,1.6004132407002915e-05,1.097574042013106e-05,2.1387110490289055e-05,0.010551402590207815
7,0.0,1.071751920383654e-06,2.2015310807907418e-06,8.906618323421692e-06,0.0006693638143198122
8,0.0,8.364717518985487e-08,9.950988576756803e-07,1.1621040443222247e-05,0.010952804182157383
9,0.0,8.905606900491692e-06,1.7120312739217144e-05,2.0247158145053244e-05,0.002517267505325105
10,0.0,8.269613822828705e-06,1.3692076967664057e-05,6.6797919326395776e-06,0.006277059494286585
11,0.0,7.2250990489249045e-06,1.8570366870708163e-05,3.2053699571369705e-05,0.00572733550197424
12,0.0,5.737431485431602e-06,2.6328963341278272e-05,3.520442322298687e-05,0.009951863931208615
13,0.0,3.2249101840371025e-06,7.99931224925235e-06,7.653204854271459e-05,0.009066536988167284
14,0.0,4.513075474260782e-06,5.7554381592349975e-06,6.681812089095324e-07,0.023733541464266317
15,0.0,6.347870982910007e-06,4.481214969175029e-06,8.764455248166936e-06,0.017084965472305647
16,0.0,1.6380751272624706e-06,4.7426587280397425e-06,1.283601420676338e-05,0.012117621764533348
17,0.0,2.962477942497878e-06,4.126119805608055e-06,4.738526109618335e-05,0.0036080736438246497
18,0.0,6.336655260658357e-07,1.4771641637621735e-06,1.5151801694553575e-05,0.007152885997445901
19,0.0,5.063989770069752e-07,5.835139420366786e-07,8.556618515571934e-07,0.016328096917471724
20,0.0,5.942761550661174e-06,5.790156463368612e-06,3.262736665803306e-06,0.002576392013875717
21,0.0,5.32282331128231e-07,2.2155705963561312e-05,3.7807551198931495e-06,0.0140299025204067
22,0.0,8.540835367052519e-07,1.94613723147614e-06,1.5211413280398836e-05,0.005854179703888462
23,0.0,6.968256385457561e-06,1.015109698783434e-05,5.764384293297344e-05,0.002066117462762307
24,0.0,1.5241298604048645e-05,5.9826610285876325e-06,5.7637607916295676e-05,0.004838716297582479
25,0.0,2.833594286381219e-06,5.481194724065537e-06,6.689626745778795e-05,0.0015547881916588846
26,0.0,3.0644108995267483e-06,6.803618190706628e-07,7.068245244589062e-06,0.0020143694688807834
27,0.0,8.526228661455675e-08,1.5057126378920094e-06,1.325738169935932e-05,0.001192378431468577
28,0.0,1.182320518040153e-05,9.459401199899548e-06,1.6850336360577577e-05,0.009080707477164607
29,0.0,7.190940556275026e-06,1.4465516819576682e-05,3.853147807700004e-05,0.0074120621002798925
30,0.0,2.703728826367914e-07,6.556434356611018e-06,2.1023045178219623e-05,0.0010425249793959424
31,0.0,4.043826142498437e-05,1.5856527215384053e-06,3.7211694983776034e-05,0.0018880504994980285
32,0.0,2.2845528101280224e-05,2.5819324144631117e-06,5.413723160725323e-06,0.007581065640214213
33,0.0,1.2283413364179777e-05,7.770725982830101e-06,2.9547069638319627e-05,0.00021374279493857617
34,0.0,3.3700254770119287e-06,3.8058819903888375e-05,1.827922544545015e-05,0.0004276970330787666
35,0.0,2.0708700391509904e-05,1.5575862326346057e-06,5.095545969067852e-06,0.014135192199583813
36,0.0,6.416487580609108e-06,1.944880658737158e-06,8.337070784272729e-07,0.006031162915780541
37,0.0,7.63996003831039e-06,1.5306520327607043e-06,2.5814701356072917e-06,0.00026597622490820427
38,0.0,5.5767284749402846e-06,1.0661142996921946e-06,3.0447579305908218e-05,0.005503094005774312
39,0.0,7.442470523623835e-06,1.7459135038364222e-06,4.666703747777058e-05,0.0019599086846311953
40,0.0,9.278478891589214e-08,9.910314143837806e-06,6.252374208372826e-06,0.004938370493055455
41,0.0,7.459467250576363e-07,7.020133825551104e-05,5.858676822044669e-06,0.000812372015271734
42,0.0,1.7930201470402196e-06,2.0827872022722432e-05,0.00010893367307034213,9.949240936135695e-05
43,0.0,1.964752584973639e-06,7.899285188225913e-06,2.0500916141269303e-05,0.004306168252911302
44,0.0,1.1566782674598056e-05,4.6731763477937064e-05,1.460200015324098e-05,0.001992703372752036
45,0.0,1.2997575860203975e-05,5.728771837965052e-06,3.9290276270761244e-05,0.005127818181799748
46,0.0,3.026733579289398e-05,1.2266548056454746e-05,8.579816224023144e-06,0.0036660458824306907
47,0.0,6.693241435411917e-06,5.381948236142867e-06,7.5499074905218885e-06,0.0011708049107803653
48,0.0,2.5275474520154023e-05,3.822084651642363e-06,5.809931795492549e-06,0.0026705663186522566
49,0.0,3.705194742438869e-05,2.203242172366289e-05,1.9108460321497114e-05,0.015078117182092843
50,0.0,1.3935533973808822e-05,3.3643205842245893e-06,1.2971872994290459e-05,0.0001485989225412654
