Sample	Condition	Dataset
ccRCC_16_TA	Normal	PXD030344
ccRCC_47_TA	Normal	PXD030344
ccRCC_217_TA	Normal	PXD030344
ccRCC_117_TA	Normal	PXD030344
ccRCC_149_TA	Normal	PXD030344
ccRCC_83_TA	Normal	PXD030344
ccRCC_58_TA	Normal	PXD030344
ccRCC_107_TA	Normal	PXD030344
ccRCC_104_TA	Normal	PXD030344
ccRCC_103_TA	Normal	PXD030344
ccRCC_37_TA	Normal	PXD030344
ccRCC_179_TA	Normal	PXD030344
ccRCC_78_TA	Normal	PXD030344
ccRCC_18_TA	Normal	PXD030344
ccRCC_13_TA	Normal	PXD030344
ccRCC_29_TA	Normal	PXD030344
ccRCC_22_TA	Normal	PXD030344
ccRCC_33_TA	Normal	PXD030344
ccRCC_30_TA	Normal	PXD030344
ccRCC_24_TA	Normal	PXD030344
ccRCC_49_TA	Normal	PXD030344
ccRCC_25_TA	Normal	PXD030344
ccRCC_64_TA	Normal	PXD030344
ccRCC_99_TA	Normal	PXD030344
ccRCC_94_TA	Normal	PXD030344
ccRCC_61_TA	Normal	PXD030344
ccRCC_52_TA	Normal	PXD030344
ccRCC_65_TA	Normal	PXD030344
ccRCC_92_TA	Normal	PXD030344
ccRCC_177_TA	Normal	PXD030344
ccRCC_232_TA	Normal	PXD030344
ccRCC_2_TA	Normal	PXD030344
ccRCC_122_TA	Normal	PXD030344
ccRCC_27_TA	Normal	PXD030344
ccRCC_201_TA	Normal	PXD030344
ccRCC_48_TA	Normal	PXD030344
ccRCC_93_TA	Normal	PXD030344
ccRCC_206_TA	Normal	PXD030344
ccRCC_194_TA	Normal	PXD030344
ccRCC_159_TA	Normal	PXD030344
ccRCC_41_TA	Normal	PXD030344
ccRCC_6_TA	Normal	PXD030344
ccRCC_200_TA	Normal	PXD030344
ccRCC_165_TA	Normal	PXD030344
ccRCC_164_TA	Normal	PXD030344
ccRCC_90_TA	Normal	PXD030344
ccRCC_120_TA	Normal	PXD030344
ccRCC_129_TA	Normal	PXD030344
ccRCC_136_TA	Normal	PXD030344
ccRCC_215_TA	Normal	PXD030344
ccRCC_66_TA	Normal	PXD030344
ccRCC_70_TA	Normal	PXD030344
ccRCC_106_TA	Normal	PXD030344
ccRCC_113_TA	Normal	PXD030344
ccRCC_9_TA	Normal	PXD030344
ccRCC_34_TA	Normal	PXD030344
ccRCC_182_TA	Normal	PXD030344
ccRCC_184_TA	Normal	PXD030344
ccRCC_71_TA	Normal	PXD030344
ccRCC_135_TA	Normal	PXD030344
ccRCC_105_TA	Normal	PXD030344
ccRCC_110_TA	Normal	PXD030344
ccRCC_79_TA	Normal	PXD030344
ccRCC_231_TA	Normal	PXD030344
ccRCC_44_TA	Normal	PXD030344
ccRCC_68_TA	Normal	PXD030344
ccRCC_10_TA	Normal	PXD030344
ccRCC_74_TA	Normal	PXD030344
ccRCC_75_TA	Normal	PXD030344
ccRCC_76_TA	Normal	PXD030344
ccRCC_82_TA	Normal	PXD030344
ccRCC_123_TA	Normal	PXD030344
ccRCC_150_TA	Normal	PXD030344
ccRCC_173_TA	Normal	PXD030344
ccRCC_53_TA	Normal	PXD030344
ccRCC_126_TA	Normal	PXD030344
ccRCC_134_TA	Normal	PXD030344
ccRCC_35_TA	Normal	PXD030344
ccRCC_40_TA	Normal	PXD030344
ccRCC_63_TA	Normal	PXD030344
ccRCC_218_TA	Normal	PXD030344
ccRCC_210_TA	Normal	PXD030344
ccRCC_191_TA	Normal	PXD030344
ccRCC_212_TA	Normal	PXD030344
ccRCC_222_TA	Normal	PXD030344
ccRCC_223_TA	Normal	PXD030344
ccRCC_114_TA	Normal	PXD030344
ccRCC_116_TA	Normal	PXD030344
ccRCC_224_TA	Normal	PXD030344
ccRCC_128_TA	Normal	PXD030344
ccRCC_14_TA	Normal	PXD030344
ccRCC_15_TA	Normal	PXD030344
ccRCC_31_TA	Normal	PXD030344
ccRCC_42_TA	Normal	PXD030344
ccRCC_118_TA	Normal	PXD030344
ccRCC_88_TA	Normal	PXD030344
ccRCC_87_TA	Normal	PXD030344
ccRCC_84_TA	Normal	PXD030344
ccRCC_85_TA	Normal	PXD030344
ccRCC_55_TA	Normal	PXD030344
ccRCC_96_TA	Normal	PXD030344
ccRCC_189_TA	Normal	PXD030344
ccRCC_125_TA	Normal	PXD030344
ccRCC_127_TA	Normal	PXD030344
ccRCC_130_TA	Normal	PXD030344
ccRCC_80_T	Tumor	PXD030344
ccRCC_196_T	Tumor	PXD030344
ccRCC_132_T	Tumor	PXD030344
ccRCC_36_T	Tumor	PXD030344
ccRCC_109_T	Tumor	PXD030344
ccRCC_19_T	Tumor	PXD030344
ccRCC_225_T	Tumor	PXD030344
ccRCC_155_T	Tumor	PXD030344
ccRCC_156_T	Tumor	PXD030344
ccRCC_214_T	Tumor	PXD030344
ccRCC_230_T	Tumor	PXD030344
ccRCC_208_T	Tumor	PXD030344
ccRCC_216_T	Tumor	PXD030344
ccRCC_161_T	Tumor	PXD030344
ccRCC_158_T	Tumor	PXD030344
ccRCC_157_T	Tumor	PXD030344
ccRCC_146_T	Tumor	PXD030344
ccRCC_145_T	Tumor	PXD030344
ccRCC_138_T	Tumor	PXD030344
ccRCC_144_T	Tumor	PXD030344
ccRCC_192_T	Tumor	PXD030344
ccRCC_39_T	Tumor	PXD030344
ccRCC_97_T	Tumor	PXD030344
ccRCC_98_T	Tumor	PXD030344
ccRCC_181_T	Tumor	PXD030344
ccRCC_133_T	Tumor	PXD030344
ccRCC_17_T	Tumor	PXD030344
ccRCC_54_T	Tumor	PXD030344
ccRCC_187_T	Tumor	PXD030344
ccRCC_62_T	Tumor	PXD030344
ccRCC_205_T	Tumor	PXD030344
ccRCC_207_T	Tumor	PXD030344
ccRCC_46_T	Tumor	PXD030344
ccRCC_86_T	Tumor	PXD030344
ccRCC_95_T	Tumor	PXD030344
ccRCC_89_T	Tumor	PXD030344
ccRCC_91_T	Tumor	PXD030344
ccRCC_153_T	Tumor	PXD030344
ccRCC_139_T	Tumor	PXD030344
ccRCC_154_T	Tumor	PXD030344
ccRCC_209_T	Tumor	PXD030344
ccRCC_204_T	Tumor	PXD030344
ccRCC_213_T	Tumor	PXD030344
ccRCC_151_T	Tumor	PXD030344
ccRCC_228_T	Tumor	PXD030344
ccRCC_69_T	Tumor	PXD030344
ccRCC_77_T	Tumor	PXD030344
ccRCC_203_T	Tumor	PXD030344
ccRCC_190_T	Tumor	PXD030344
ccRCC_188_T	Tumor	PXD030344
ccRCC_193_T	Tumor	PXD030344
ccRCC_51_T	Tumor	PXD030344
ccRCC_60_T	Tumor	PXD030344
ccRCC_180_T	Tumor	PXD030344
ccRCC_176_T	Tumor	PXD030344
ccRCC_167_T	Tumor	PXD030344
ccRCC_172_T	Tumor	PXD030344
ccRCC_186_T	Tumor	PXD030344
ccRCC_72_T	Tumor	PXD030344
ccRCC_20_T	Tumor	PXD030344
ccRCC_28_T	Tumor	PXD030344
ccRCC_170_T	Tumor	PXD030344
ccRCC_160_T	Tumor	PXD030344
ccRCC_219_T	Tumor	PXD030344
ccRCC_141_T	Tumor	PXD030344
ccRCC_73_T	Tumor	PXD030344
ccRCC_121_T	Tumor	PXD030344
ccRCC_195_T	Tumor	PXD030344
ccRCC_197_T	Tumor	PXD030344
ccRCC_119_T	Tumor	PXD030344
ccRCC_81_T	Tumor	PXD030344
ccRCC_147_T	Tumor	PXD030344
ccRCC_102_T	Tumor	PXD030344
ccRCC_140_T	Tumor	PXD030344
ccRCC_168_T	Tumor	PXD030344
ccRCC_175_T	Tumor	PXD030344
ccRCC_178_T	Tumor	PXD030344
ccRCC_229_T	Tumor	PXD030344
ccRCC_198_T	Tumor	PXD030344
ccRCC_111_T	Tumor	PXD030344
ccRCC_101_T	Tumor	PXD030344
ccRCC_108_T	Tumor	PXD030344
ccRCC_112_T	Tumor	PXD030344
ccRCC_227_T	Tumor	PXD030344
ccRCC_21_T	Tumor	PXD030344
ccRCC_32_T	Tumor	PXD030344
ccRCC_8_T	Tumor	PXD030344
ccRCC_7_T	Tumor	PXD030344
ccRCC_174_T	Tumor	PXD030344
ccRCC_185_T	Tumor	PXD030344
ccRCC_183_T	Tumor	PXD030344
ccRCC_220_T	Tumor	PXD030344
ccRCC_202_T	Tumor	PXD030344
ccRCC_163_T	Tumor	PXD030344
ccRCC_211_T	Tumor	PXD030344
ccRCC_152_T	Tumor	PXD030344
ccRCC_131_T	Tumor	PXD030344
ccRCC_166_T	Tumor	PXD030344
ccRCC_100_T	Tumor	PXD030344
ccRCC_45_T	Tumor	PXD030344
ccRCC_137_T	Tumor	PXD030344
ccRCC_11_T	Tumor	PXD030344
ccRCC_143_T	Tumor	PXD030344
ccRCC_56_T	Tumor	PXD030344
ccRCC_57_T	Tumor	PXD030344
ccRCC_59_T	Tumor	PXD030344
ccRCC_50_T	Tumor	PXD030344
ccRCC_43_T	Tumor	PXD030344
ccRCC_148_T	Tumor	PXD030344
ccRCC_226_T	Tumor	PXD030344
ccRCC_12_T	Tumor	PXD030344
ccRCC_23_T	Tumor	PXD030344
ccRCC_3_T	Tumor	PXD030344
ccRCC_1_T	Tumor	PXD030344
ccRCC_5_T	Tumor	PXD030344
ccRCC_4_T	Tumor	PXD030344
ccRCC_221_T	Tumor	PXD030344
ccRCC_171_T	Tumor	PXD030344
ccRCC_38_T	Tumor	PXD030344
ccRCC_162_T	Tumor	PXD030344
ccRCC_169_T	Tumor	PXD030344
ccRCC_199_T	Tumor	PXD030344
ccRCC_115_T	Tumor	PXD030344
ccRCC_124_T	Tumor	PXD030344
ccRCC_67_T	Tumor	PXD030344
ccRCC_26_T	Tumor	PXD030344
ccRCC_142_T	Tumor	PXD030344
ccRCC_16_T	Tumor	PXD030344
ccRCC_47_T	Tumor	PXD030344
ccRCC_217_T	Tumor	PXD030344
ccRCC_117_T	Tumor	PXD030344
ccRCC_149_T	Tumor	PXD030344
ccRCC_83_T	Tumor	PXD030344
ccRCC_58_T	Tumor	PXD030344
ccRCC_107_T	Tumor	PXD030344
ccRCC_104_T	Tumor	PXD030344
ccRCC_103_T	Tumor	PXD030344
ccRCC_37_T	Tumor	PXD030344
ccRCC_179_T	Tumor	PXD030344
ccRCC_78_T	Tumor	PXD030344
ccRCC_18_T	Tumor	PXD030344
ccRCC_13_T	Tumor	PXD030344
ccRCC_29_T	Tumor	PXD030344
ccRCC_22_T	Tumor	PXD030344
ccRCC_33_T	Tumor	PXD030344
ccRCC_30_T	Tumor	PXD030344
ccRCC_24_T	Tumor	PXD030344
ccRCC_49_T	Tumor	PXD030344
ccRCC_25_T	Tumor	PXD030344
ccRCC_64_T	Tumor	PXD030344
ccRCC_99_T	Tumor	PXD030344
ccRCC_94_T	Tumor	PXD030344
ccRCC_61_T	Tumor	PXD030344
ccRCC_52_T	Tumor	PXD030344
ccRCC_65_T	Tumor	PXD030344
ccRCC_92_T	Tumor	PXD030344
ccRCC_177_T	Tumor	PXD030344
ccRCC_232_T	Tumor	PXD030344
ccRCC_2_T	Tumor	PXD030344
ccRCC_122_T	Tumor	PXD030344
ccRCC_27_T	Tumor	PXD030344
ccRCC_201_T	Tumor	PXD030344
ccRCC_48_T	Tumor	PXD030344
ccRCC_93_T	Tumor	PXD030344
ccRCC_206_T	Tumor	PXD030344
ccRCC_194_T	Tumor	PXD030344
ccRCC_159_T	Tumor	PXD030344
ccRCC_41_T	Tumor	PXD030344
ccRCC_6_T	Tumor	PXD030344
ccRCC_200_T	Tumor	PXD030344
ccRCC_165_T	Tumor	PXD030344
ccRCC_164_T	Tumor	PXD030344
ccRCC_90_T	Tumor	PXD030344
ccRCC_120_T	Tumor	PXD030344
ccRCC_129_T	Tumor	PXD030344
ccRCC_136_T	Tumor	PXD030344
ccRCC_215_T	Tumor	PXD030344
ccRCC_66_T	Tumor	PXD030344
ccRCC_70_T	Tumor	PXD030344
ccRCC_106_T	Tumor	PXD030344
ccRCC_113_T	Tumor	PXD030344
ccRCC_9_T	Tumor	PXD030344
ccRCC_34_T	Tumor	PXD030344
ccRCC_182_T	Tumor	PXD030344
ccRCC_184_T	Tumor	PXD030344
ccRCC_71_T	Tumor	PXD030344
ccRCC_135_T	Tumor	PXD030344
ccRCC_105_T	Tumor	PXD030344
ccRCC_110_T	Tumor	PXD030344
ccRCC_79_T	Tumor	PXD030344
ccRCC_231_T	Tumor	PXD030344
ccRCC_44_T	Tumor	PXD030344
ccRCC_68_T	Tumor	PXD030344
ccRCC_10_T	Tumor	PXD030344
ccRCC_74_T	Tumor	PXD030344
ccRCC_75_T	Tumor	PXD030344
ccRCC_76_T	Tumor	PXD030344
ccRCC_82_T	Tumor	PXD030344
ccRCC_123_T	Tumor	PXD030344
ccRCC_150_T	Tumor	PXD030344
ccRCC_173_T	Tumor	PXD030344
ccRCC_53_T	Tumor	PXD030344
ccRCC_126_T	Tumor	PXD030344
ccRCC_134_T	Tumor	PXD030344
ccRCC_35_T	Tumor	PXD030344
ccRCC_40_T	Tumor	PXD030344
ccRCC_63_T	Tumor	PXD030344
ccRCC_218_T	Tumor	PXD030344
ccRCC_210_T	Tumor	PXD030344
ccRCC_191_T	Tumor	PXD030344
ccRCC_212_T	Tumor	PXD030344
ccRCC_222_T	Tumor	PXD030344
ccRCC_223_T	Tumor	PXD030344
ccRCC_114_T	Tumor	PXD030344
ccRCC_116_T	Tumor	PXD030344
ccRCC_224_T	Tumor	PXD030344
ccRCC_128_T	Tumor	PXD030344
ccRCC_14_T	Tumor	PXD030344
ccRCC_15_T	Tumor	PXD030344
ccRCC_31_T	Tumor	PXD030344
ccRCC_42_T	Tumor	PXD030344
ccRCC_118_T	Tumor	PXD030344
ccRCC_88_T	Tumor	PXD030344
ccRCC_87_T	Tumor	PXD030344
ccRCC_84_T	Tumor	PXD030344
ccRCC_85_T	Tumor	PXD030344
ccRCC_55_T	Tumor	PXD030344
ccRCC_96_T	Tumor	PXD030344
ccRCC_189_T	Tumor	PXD030344
ccRCC_125_T	Tumor	PXD030344
ccRCC_127_T	Tumor	PXD030344
ccRCC_130_T	Tumor	PXD030344
