Sample	Condition	Dataset
ccRCC_80_TA	Normal	PXD030344
ccRCC_196_TA	Normal	PXD030344
ccRCC_132_TA	Normal	PXD030344
ccRCC_36_TA	Normal	PXD030344
ccRCC_109_TA	Normal	PXD030344
ccRCC_19_TA	Normal	PXD030344
ccRCC_225_TA	Normal	PXD030344
ccRCC_155_TA	Normal	PXD030344
ccRCC_156_TA	Normal	PXD030344
ccRCC_214_TA	Normal	PXD030344
ccRCC_230_TA	Normal	PXD030344
ccRCC_208_TA	Normal	PXD030344
ccRCC_216_TA	Normal	PXD030344
ccRCC_161_TA	Normal	PXD030344
ccRCC_158_TA	Normal	PXD030344
ccRCC_157_TA	Normal	PXD030344
ccRCC_146_TA	Normal	PXD030344
ccRCC_145_TA	Normal	PXD030344
ccRCC_138_TA	Normal	PXD030344
ccRCC_144_TA	Normal	PXD030344
ccRCC_192_TA	Normal	PXD030344
ccRCC_39_TA	Normal	PXD030344
ccRCC_97_TA	Normal	PXD030344
ccRCC_98_TA	Normal	PXD030344
ccRCC_181_TA	Normal	PXD030344
ccRCC_133_TA	Normal	PXD030344
ccRCC_17_TA	Normal	PXD030344
ccRCC_54_TA	Normal	PXD030344
ccRCC_187_TA	Normal	PXD030344
ccRCC_62_TA	Normal	PXD030344
ccRCC_205_TA	Normal	PXD030344
ccRCC_207_TA	Normal	PXD030344
ccRCC_46_TA	Normal	PXD030344
ccRCC_86_TA	Normal	PXD030344
ccRCC_95_TA	Normal	PXD030344
ccRCC_89_TA	Normal	PXD030344
ccRCC_91_TA	Normal	PXD030344
ccRCC_153_TA	Normal	PXD030344
ccRCC_139_TA	Normal	PXD030344
ccRCC_154_TA	Normal	PXD030344
ccRCC_209_TA	Normal	PXD030344
ccRCC_204_TA	Normal	PXD030344
ccRCC_213_TA	Normal	PXD030344
ccRCC_151_TA	Normal	PXD030344
ccRCC_228_TA	Normal	PXD030344
ccRCC_69_TA	Normal	PXD030344
ccRCC_77_TA	Normal	PXD030344
ccRCC_203_TA	Normal	PXD030344
ccRCC_190_TA	Normal	PXD030344
ccRCC_188_TA	Normal	PXD030344
ccRCC_193_TA	Normal	PXD030344
ccRCC_51_TA	Normal	PXD030344
ccRCC_60_TA	Normal	PXD030344
ccRCC_180_TA	Normal	PXD030344
ccRCC_176_TA	Normal	PXD030344
ccRCC_167_TA	Normal	PXD030344
ccRCC_172_TA	Normal	PXD030344
ccRCC_186_TA	Normal	PXD030344
ccRCC_72_TA	Normal	PXD030344
ccRCC_20_TA	Normal	PXD030344
ccRCC_28_TA	Normal	PXD030344
ccRCC_170_TA	Normal	PXD030344
ccRCC_160_TA	Normal	PXD030344
ccRCC_219_TA	Normal	PXD030344
ccRCC_141_TA	Normal	PXD030344
ccRCC_73_TA	Normal	PXD030344
ccRCC_121_TA	Normal	PXD030344
ccRCC_195_TA	Normal	PXD030344
ccRCC_197_TA	Normal	PXD030344
ccRCC_119_TA	Normal	PXD030344
ccRCC_81_TA	Normal	PXD030344
ccRCC_147_TA	Normal	PXD030344
ccRCC_102_TA	Normal	PXD030344
ccRCC_140_TA	Normal	PXD030344
ccRCC_168_TA	Normal	PXD030344
ccRCC_175_TA	Normal	PXD030344
ccRCC_178_TA	Normal	PXD030344
ccRCC_229_TA	Normal	PXD030344
ccRCC_198_TA	Normal	PXD030344
ccRCC_111_TA	Normal	PXD030344
ccRCC_101_TA	Normal	PXD030344
ccRCC_108_TA	Normal	PXD030344
ccRCC_112_TA	Normal	PXD030344
ccRCC_227_TA	Normal	PXD030344
ccRCC_21_TA	Normal	PXD030344
ccRCC_32_TA	Normal	PXD030344
ccRCC_8_TA	Normal	PXD030344
ccRCC_7_TA	Normal	PXD030344
ccRCC_174_TA	Normal	PXD030344
ccRCC_185_TA	Normal	PXD030344
ccRCC_183_TA	Normal	PXD030344
ccRCC_220_TA	Normal	PXD030344
ccRCC_202_TA	Normal	PXD030344
ccRCC_163_TA	Normal	PXD030344
ccRCC_211_TA	Normal	PXD030344
ccRCC_152_TA	Normal	PXD030344
ccRCC_131_TA	Normal	PXD030344
ccRCC_166_TA	Normal	PXD030344
ccRCC_100_TA	Normal	PXD030344
ccRCC_45_TA	Normal	PXD030344
ccRCC_137_TA	Normal	PXD030344
ccRCC_11_TA	Normal	PXD030344
ccRCC_143_TA	Normal	PXD030344
ccRCC_56_TA	Normal	PXD030344
ccRCC_57_TA	Normal	PXD030344
ccRCC_59_TA	Normal	PXD030344
ccRCC_50_TA	Normal	PXD030344
ccRCC_43_TA	Normal	PXD030344
ccRCC_148_TA	Normal	PXD030344
ccRCC_226_TA	Normal	PXD030344
ccRCC_12_TA	Normal	PXD030344
ccRCC_23_TA	Normal	PXD030344
ccRCC_3_TA	Normal	PXD030344
ccRCC_1_TA	Normal	PXD030344
ccRCC_5_TA	Normal	PXD030344
ccRCC_4_TA	Normal	PXD030344
ccRCC_221_TA	Normal	PXD030344
ccRCC_171_TA	Normal	PXD030344
ccRCC_38_TA	Normal	PXD030344
ccRCC_162_TA	Normal	PXD030344
ccRCC_169_TA	Normal	PXD030344
ccRCC_199_TA	Normal	PXD030344
ccRCC_115_TA	Normal	PXD030344
ccRCC_124_TA	Normal	PXD030344
ccRCC_67_TA	Normal	PXD030344
ccRCC_26_TA	Normal	PXD030344
ccRCC_142_TA	Normal	PXD030344
