down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC	ID
0.00104147977480215	0.999882387755023	0.00104147977480215	0.999882387755023	-0.592308246074964	P02760
0.000715467120441855	0.999906496547466	0.000715467120441855	0.999906496547466	-0.607095622055441	P41222
0.0111606894806231	0.997954174736969	0.0111606894806231	0.997954174736969	-0.439478394361524	Q9Y4L1
0.0014065733830033	0.997730654037444	0.0014065733830033	0.997730654037444	-0.544770719501297	Q14118
0.00172158570584734	0.999174217787552	0.00172158570584734	0.999174217787552	-0.557108029989421	O43493
7.51490176569234e-05	0.999968368453408	7.51490176569234e-05	0.999968368453408	-0.695607229852223	P13987
0.000229935912629844	0.999921790265306	0.000229935912629844	0.999921790265306	-0.677635672839226	P27797
0.0118172063316251	0.998500054778572	0.0118172063316251	0.998500054778572	NA	Q12907
0.0589134037956369	0.93390454016269	0.0589134037956369	0.93390454016269	-0.291009053401679	P59665;P59666
0.999959704186233	0.000337864304863252	0.999959704186233	0.000337864304863252	NA	A0A0A0MRZ8;P04433
0.0199716589220953	0.996682407113852	0.0199716589220953	0.996682407113852	-0.419847835992314	P02671
0.00533897906246554	0.997217256496712	0.00533897906246554	0.997217256496712	-0.484264179577168	Q96S96
0.999926704380461	0.000310850749595652	0.999926704380461	0.000310850749595652	0.61354157529392	P01857
0.116904949738673	0.882086993396133	0.116904949738673	0.882086993396133	-0.230335628613514	P24592
0.00384979893956934	0.999386291585293	0.00384979893956934	0.999386291585293	-0.520090760657933	Q13508
0.999999723247994	3.53702533241662e-07	0.999999723247994	3.53702533241662e-07	NA	P46109
0.000547376784192079	0.999936921743468	0.000547376784192079	0.999936921743468	NA	Q96NZ9
0.99928785284378	0.00179945205917208	0.99928785284378	0.00179945205917208	NA	P01764;P01768;P0DP03
0.726797669949027	0.0420119877503795	0.726797669949027	0.0420119877503795	NA	A0A075B6K5;P80748
0.0419396990547464	0.993108667818916	0.0419396990547464	0.993108667818916	-0.362458049242241	P12830
0.996111333209033	0.0226998388817961	0.996111333209033	0.0226998388817961	0.370815833723348	P12955
0.102524405304435	0.976697627428614	0.102524405304435	0.976697627428614	-0.274173643143957	P05160
0.0390477516171297	0.993946774122172	0.0390477516171297	0.993946774122172	NA	Q92520
6.43830577550539e-05	0.999985861848338	6.43830577550539e-05	0.999985861848338	-0.716096484720565	P07307
0.975533675478297	0.080031700052823	0.975533675478297	0.080031700052823	NA	A0A0C4DH38;A0A0J9YXX1
0.046406842466609	0.992888397905058	0.046406842466609	0.992888397905058	NA	P61916
0.0204022983075765	0.997284702703544	0.0204022983075765	0.997284702703544	NA	Q99972
0.0759366590605446	0.979520728601435	0.0759366590605446	0.979520728601435	-0.301042597761558	Q06033
0.99959632681063	0.00298157748264789	0.99959632681063	0.00298157748264789	0.514533941755647	B9A064;P0CG04
