ind.p.Center1	ind.p.Center2	ind.p.Center3	stat	pval	FDR	weight	ID
3.55761052088331e-07	4.24233035928821e-07	4.45385692627307e-05	4.24233035928821e-07	5.39920853618601e-13	1.8897229876651e-10	NA	P02760
8.99290490697235e-07	0.000953471147119842	2.51352873934758e-05	2.51352873934758e-05	1.89531625697979e-09	1.10560114990488e-07	NA	P41222
1.53471828407445e-06	0.000784050498573652	0.000528317640884493	0.000528317640884493	8.37063661466388e-07	2.44143567927697e-05	NA	Q9Y4L1
1.73173311647133e-06	0.137920062534983	2.89241862030569e-07	1.73173311647133e-06	8.99668837346306e-12	1.57442046535604e-09	NA	Q14118
5.57818666937881e-06	0.00226956063602848	1.1182183678507e-06	5.57818666937881e-06	9.33481524117359e-11	1.08906177813692e-08	NA	O43493
2.27838558054445e-05	0.00024188569522585	2.22727630041745e-05	2.27838558054445e-05	1.5572886017046e-09	1.10560114990488e-07	NA	P13987
2.4684248950278e-05	5.93011212322192e-07	0.000104342149455465	2.4684248950278e-05	1.82790635789249e-09	1.10560114990488e-07	NA	P27797
3.82650925653716e-05	0.00183801189772187	NA	NA	NA	NA	NA	Q12907
4.51375583169614e-05	0.0037845757025763	0.917136459078046	0.0037845757025763	4.28606266897365e-05	0.000454582404285084	NA	P59665;P59666
5.19595227840439e-05	NA	0.000571971181643567	NA	NA	NA	NA	A0A0A0MRZ8;P04433
5.26856313931798e-05	0.0108198546348174	0.00112024896008703	0.00112024896008703	3.76206146753847e-06	7.31511952021369e-05	NA	P02671
6.80828807903958e-05	0.00117384610026448	0.129816875801887	0.00117384610026448	4.13050908180142e-06	7.60883251910788e-05	NA	Q96S96
7.97412951465124e-05	0.00944265284818526	0.000785491495478093	0.000785491495478093	1.8500213767864e-06	4.19941478773378e-05	NA	P01857
8.8781192556675e-05	0.25866766627476	0.000553278961609602	0.000553278961609602	9.18014091213323e-07	2.47157639942049e-05	NA	P24592
9.28561715297985e-05	6.39116884364727e-05	0.0232710377597469	9.28561715297985e-05	2.58652045118115e-08	1.09075636677277e-06	NA	Q13508
0.000108472970062231	NA	NA	NA	NA	NA	NA	P46109
0.000130889571760466	NA	NA	NA	NA	NA	NA	Q96NZ9
0.000145621835107432	0.155190074361073	NA	NA	NA	NA	NA	P01764;P01768;P0DP03
0.000170227269171014	0.273046794619944	NA	NA	NA	NA	NA	A0A075B6K5;P80748
0.000222401556873573	0.000515828985945336	0.000768744333225385	0.000515828985945336	7.97964125142754e-07	2.44143567927697e-05	NA	P12830
0.000237580192642699	0.00234441686885325	0.00479855700490208	0.00234441686885325	1.64631001727736e-05	0.000250525437411772	NA	P12955
0.000276653727116569	0.0981658482883134	0.00346367352015663	0.00346367352015663	3.59079951429691e-05	0.000433372355173765	NA	P05160
0.000279642003560903	NA	0.0449645537267498	NA	NA	NA	NA	Q92520
0.000333831910059876	7.15408473923599e-08	2.82253506231013e-05	2.82253506231013e-05	2.38996628078727e-09	1.19498314039363e-07	NA	P07307
0.000340024472985864	0.424422816377805	NA	NA	NA	NA	NA	A0A0C4DH38;A0A0J9YXX1
0.000374288380824138	NA	NA	NA	NA	NA	NA	P61916
0.000395568093838977	0.0045888093477355	NA	NA	NA	NA	NA	Q99972
0.000442601337249803	0.221154379670207	0.0642240485890009	0.0642240485890009	0.0118443717349265	0.0376866373384025	NA	Q06033
0.000442670498884833	0.0508948897796411	0.00290444177405489	0.00290444177405489	2.52583435812404e-05	0.000348091489457644	NA	B9A064;P0CG04
0.000526524599430624	0.0222911983987091	0.000800157709479071	0.000800157709479071	1.91973247439259e-06	4.19941478773378e-05	NA	P18065
0.000587189023017889	NA	0.000238138502309361	NA	NA	NA	NA	A0A0B4J1V1;P01762;P01763;P01780
0.000610117276622205	0.465769199712177	0.00904032294487192	0.00904032294487192	0.000243704631959646	0.00174074737114033	NA	P04003
0.000610225816239406	0.0001628828677109	1.395230090233e-05	0.0001628828677109	7.95838429462915e-08	2.7854345031202e-06	NA	Q9NPY3
0.00063576498915409	6.36636227956504e-05	0.000811761807506091	0.00063576498915409	1.21207741554525e-06	3.03019353886313e-05	NA	P01859
0.000637565769651308	0.0654760206511253	0.426329662458873	0.0654760206511253	0.0122999221293778	0.0387835382457858	NA	P10721
0.000700614367999284	0.246492589491794	NA	NA	NA	NA	NA	Q99497
0.00072149756982912	NA	NA	NA	NA	NA	NA	P30740
0.000835856511768442	0.0701542786060065	0.00713368928702368	0.00713368928702368	0.000151942508443524	0.00123330930574191	NA	P35858
0.000849524387140644	0.00403650320397924	0.000373461113451533	0.000849524387140644	2.16384886366836e-06	4.45498295461133e-05	NA	Q15113
0.000959547740477681	NA	NA	NA	NA	NA	NA	P07108
0.00130642489701808	0.00274759603107345	0.0039041224484932	0.00274759603107345	2.26063670846749e-05	0.000329676186651509	NA	P08185
0.00145600065620558	0.389488575341585	0.190667398430332	0.190667398430332	0.095199103598459	0.181085251410112	NA	P04114
0.0014699703848093	0.00070284646062596	0.00140638498532402	0.00140638498532402	5.928192750435e-06	0.000103743373132612	NA	Q16270
0.0015085295710434	0.229109258270738	0.783309164859074	0.229109258270738	0.133420784593694	0.238251401060168	NA	P04070
0.0016365748468762	0.0907586610002734	0.214507663107231	0.0907586610002734	0.0232162210358374	0.0599004887631558	NA	P55103
0.00172117873890832	0.0780721318733091	0.27944811894939	0.0780721318733091	0.0173340337880689	0.0493244863888139	NA	P23470
0.00181441550156255	0.981993548327899	0.00785633685853568	0.00785633685853568	0.000184196268404122	0.00137167433917963	NA	P20851
0.00189766356827905	0.00463147032765247	0.0122450508550267	0.00463147032765247	6.41528573181118e-05	0.000623708335037198	NA	P80188
0.00195383370441629	0.940243474771453	0.795303944939212	0.795303944939212	0.891452298985579	0.909645203046509	NA	P05546
0.00197275417973272	0.00669864228479325	0.000186947579416436	0.00197275417973272	1.16599221930795e-05	0.000185498762162629	NA	P16070
0.00226397314557049	0.10927063949967	NA	NA	NA	NA	NA	P01699;P01700
0.00231359942539863	0.0122122380570002	0.00315064843133686	0.00315064843133686	2.97172062513493e-05	0.000385223043998972	NA	P02656
0.00236357854597127	NA	0.000747150574895823	NA	NA	NA	NA	P01619
0.00244250693900245	NA	0.178551480383332	NA	NA	NA	NA	P14625
0.0025909557201388	NA	NA	NA	NA	NA	NA	A0A087WSY6;P01624
0.00260298904847383	0.596019653387405	0.464671696054997	0.464671696054997	0.447095729821794	0.554796709322375	NA	Q9NZP8
0.00265286177996386	NA	NA	NA	NA	NA	NA	P37840;Q16143
0.00278202988379453	0.0162733781162602	0.00603643346998271	0.00603643346998271	0.000108875669600024	0.000952662109000213	NA	P05106
0.00287169077078513	NA	NA	NA	NA	NA	NA	Q6YP21
0.00293876307182974	0.0264069765893729	0.000216324412282477	0.00293876307182974	2.58582249311392e-05	0.000348091489457644	NA	P01860
0.00296147616568845	0.0104955688049848	0.00522494051544871	0.00522494051544871	8.16147283823638e-05	0.000772031214427766	NA	P0CF74;P0DOY2;P0DOY3
0.00296472392794988	0.542349138364672	0.0120982091643378	0.0120982091643378	0.000435558445896874	0.00249910583711321	NA	Q92954
0.00300935519648421	NA	NA	NA	NA	NA	NA	P05452
0.00316053507161808	0.13256912935393	0.748414911605014	0.13256912935393	0.048064030209797	0.103399673495992	NA	P00740
0.00318726514039677	0.0760692870213596	0.0877440638805273	0.0760692870213596	0.0164792538830212	0.048316330391774	NA	Q9Y5C1
0.00321747982622612	0.00555077146905943	0.00834953594345922	0.00555077146905943	9.20911413562984e-05	0.000826458960889857	NA	P22105
0.00328320310476069	0.00376549392701712	NA	NA	NA	NA	NA	P17900
0.00339096863577502	0.153769936747934	5.38182251896067e-05	0.00339096863577502	3.44180216193886e-05	0.000430225270242358	NA	P00748
0.00344621665095967	0.178819085656881	0.0262164185694402	0.0262164185694402	0.00202586468726226	0.00909041846848451	NA	P39060
0.00347545849538834	0.244503360524815	0.767425650571098	0.244503360524815	0.150111932299134	0.262695881523485	NA	P11597
0.00359577897934126	NA	0.0520341394390951	NA	NA	NA	NA	P07858
0.00366496276670268	0.00550276720382739	0.000300515763565377	0.00366496276670268	4.01974010354266e-05	0.000439659073824978	NA	P61769
0.0038653034310814	0.0256383226197428	0.00122789516806135	0.0038653034310814	4.47062121652731e-05	0.000460211007583694	NA	P00746
0.00395299784841283	0.36219832834496	0.0780716432913681	0.0780716432913681	0.0173338227890681	0.0493244863888139	NA	P19022
0.00398066658631221	NA	NA	NA	NA	NA	NA	O15394
0.00402793185506244	0.0517375850446491	0.000569896013265417	0.00402793185506244	4.85420048608854e-05	0.000485420048608854	NA	P01034
0.00419749755915319	NA	NA	NA	NA	NA	NA	P78324;Q5TFQ8;Q9P1W8
0.00447172626552579	0.16801359271164	0.114464426783682	0.114464426783682	0.0363068651200294	0.0825156025455214	NA	P07333
0.00459400722496388	0.00163843332297314	0.00034887821634502	0.00163843332297314	8.04459463174924e-06	0.000134076577195821	NA	P01834
0.00484074002964062	NA	0.0029236646242905	NA	NA	NA	NA	A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08
0.00491586131249237	0.700086751245147	NA	NA	NA	NA	NA	P11142;P34931;P54652
0.00515001209512127	0.623911260538696	0.119529871683958	0.119529871683958	0.0394466308338164	0.0890730373666822	NA	Q02985
0.00521750500895522	0.0325457240067416	NA	NA	NA	NA	NA	P80511
0.00537729456957908	0.0186049647696123	0.0247123385196292	0.0186049647696123	0.00102555412181431	0.00498533253659733	NA	Q86UD1
0.00541573327838626	0.109383906224418	0.056207750855364	0.056207750855364	0.00912277820872785	0.0309997317772305	NA	P43251
0.00547207012393447	0.0634356567143171	0.000988990366851948	0.00547207012393447	8.95029478972762e-05	0.000824369256948597	NA	Q9ULI3
0.00590885462298091	NA	NA	NA	NA	NA	NA	Q5VWX1
0.00593377168583573	0.688442109182156	0.0126232803235585	0.0126232803235585	0.00047401864947798	0.00263343694154433	NA	P08519
0.00602032775363955	0.0113044971072985	0.43373837780809	0.0113044971072985	0.000380485723761607	0.00228338589052282	NA	P62328
0.00608528159231009	0.0246437815359445	NA	NA	NA	NA	NA	P10645
0.00648776205582355	0.0128132934510573	0.00187036719744451	0.00648776205582355	0.000125727015960542	0.00107327940454121	NA	P04275
0.00656734376356007	NA	NA	NA	NA	NA	NA	A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310
0.00667765724991235	0.624983766340601	NA	NA	NA	NA	NA	P07237
0.00681340960691994	0.00329647199059258	0.339380667541318	0.00681340960691994	0.000138635059712284	0.00115529216426903	NA	P06727
0.00717397025693696	0.80304651550976	0.16468022336511	0.16468022336511	0.0724266122469305	0.144030194809237	NA	P35443
0.00720631809226036	0.0060211475610908	0.0133963723186173	0.00720631809226036	0.000155044598436126	0.00123330930574191	NA	A0A0B4J1Y9
