Symbol	signcon	randomSummary	randomCi.lb	randomCi.ub	randomP	het_QE	het_QEp	het_QM	het_QMp	error	rank	ID
P02760	-3	-0.588415160614543	-0.698908148332448	-0.477922172896638	1.671235293484e-25	0.0418169821021675	0.979308575967726	108.941777198278	1.671235293484e-25	FALSE	4	P02760
P07307	-3	-0.701580715080329	-0.836964347711343	-0.566197082449314	3.08855959886839e-24	0.548643917821361	0.760087318977023	103.161854706796	3.08855959886838e-24	FALSE	2	P07307
P41222	-3	-0.615881071864723	-0.750502217998219	-0.481259925731227	3.05586715541323e-19	0.582372767304049	0.747376366299193	80.401347691674	3.05586715541321e-19	FALSE	6	P41222
P13987	-3	-0.636646982037461	-0.783001697586491	-0.490292266488432	1.51630813260458e-17	1.63583174282194	0.441350527901224	72.6909109657819	1.51630813260458e-17	FALSE	5	P13987
P01859	3	0.853695038128359	0.614965334742979	1.09242474151374	2.40350734225329e-12	0.233719896575144	0.889709789817848	49.1234408757419	2.40350734225328e-12	FALSE	3	P01859
Q13508	-3	-0.531648101209153	-0.681524944530838	-0.381771257887469	3.58998276226049e-12	0.732750074825059	0.693242760479157	48.3365490778052	3.58998276226051e-12	FALSE	9	Q13508
P12830	-3	-0.340780743436216	-0.439047607950221	-0.242513878922211	1.06834386408251e-11	0.994967722449086	0.608058696594303	46.1989469416984	1.0683438640825e-11	FALSE	29	P12830
P41271	-1	-1.07018629355573	-1.38451767737291	-0.755854909738551	2.50662985259769e-11	0	1	44.5286431666652	2.50662985259768e-11	FALSE	1	P41271
P27797	-3	-0.668971986545421	-0.873933436287368	-0.464010536803473	1.58344952716609e-10	4.23829639552701	0.120133915278937	40.9230201309455	1.58344952716609e-10	FALSE	7	P27797
P01857	3	0.570776318087198	0.391127087229303	0.750425548945094	4.75024675041564e-10	1.74977969732752	0.416907940116057	38.7772805683186	4.75024675041562e-10	FALSE	11	P01857
Q16270	-3	-0.326962206602789	-0.429973215669644	-0.223951197535935	4.93914802380949e-10	0.821233210976003	0.66324116588473	38.7011625065178	4.93914802380949e-10	FALSE	42	Q16270
P02671	-3	-0.397627973216989	-0.523630686257246	-0.271625260176731	6.20720877798964e-10	1.19344538443365	0.550613211286172	38.2551798901954	6.20720877798961e-10	FALSE	26	P02671
A0A0A0MRZ8;P04433	2	0.578701014346988	0.39519446982934	0.762207558864637	6.37425849511771e-10	0.796873889347395	0.372029671808251	38.2033594258212	6.37425849511768e-10	FALSE	10	A0A0A0MRZ8;P04433
Q9Y4L1	-3	-0.442499689634622	-0.585717409575546	-0.299281969693697	1.39808904317003e-09	3.54624709666185	0.169801775569503	36.6714947274652	1.39808904317002e-09	FALSE	23	Q9Y4L1
Q15113	-3	-0.353067336963903	-0.467524163942152	-0.238610509985654	1.48540116024798e-09	0.816083424879234	0.664951141509572	36.5534069712986	1.48540116024798e-09	FALSE	37	Q15113
Q12907	-2	-0.461650225411404	-0.613286373874204	-0.310014076948605	2.41607404645713e-09	0.611557662712582	0.434201924711523	35.6054760067673	2.41607404645713e-09	FALSE	20	Q12907
P12955	3	0.365282801376411	0.244498402010071	0.486067200742751	3.07711480558882e-09	0.979910164312337	0.612653912659148	35.1344325425103	3.07711480558884e-09	FALSE	34	P12955
P01834	3	0.559857270121079	0.373812258805333	0.745902281436825	3.67854788126813e-09	1.358341976144	0.507037158032298	34.7868230497826	3.67854788126813e-09	FALSE	13	P01834
Q96S96	-3	-0.522263812718012	-0.697317053266723	-0.347210572169302	4.99111111025512e-09	2.25102158572504	0.324486679540446	34.1928847468728	4.99111111025512e-09	FALSE	19	Q96S96
P16070	-3	-0.342368567989512	-0.457133660914007	-0.227603475065017	5.00555131062557e-09	1.91653372072881	0.383557068206003	34.1872627163466	5.00555131062558e-09	FALSE	44	P16070
A0A0B4J1V1;P01762;P01763;P01780	2	0.576160830515488	0.374335538510821	0.777986122520154	2.20357497651525e-08	0.359694779926989	0.548675795779673	31.3063519359583	2.20357497651525e-08	FALSE	16	A0A0B4J1V1;P01762;P01763;P01780
P08185	3	0.471286427087069	0.304292121834483	0.638280732339656	3.17770405254202e-08	0.354280187739153	0.837662424931999	30.5958641657509	3.17770405254203e-08	FALSE	24	P08185
P01860	3	0.6338432769124	0.408179661218549	0.859506892606251	3.68873181802991e-08	1.90930010513754	0.384946832139883	30.3065760455278	3.68873181802991e-08	FALSE	12	P01860
B9A064;P0CG04	3	0.51687911515164	0.326250047016915	0.707508183286365	1.07054554429425e-07	0.681565213921648	0.711213504266943	28.242029439046	1.07054554429426e-07	FALSE	21	B9A064;P0CG04
P01034	-3	-0.370336482569143	-0.509016645204439	-0.231656319933846	1.65918030921376e-07	0.249821120446644	0.882575836440342	27.3943179558386	1.65918030921377e-07	FALSE	46	P01034
P02656	-3	-0.841658016286209	-1.16020532377403	-0.523110708798385	2.23593669043456e-07	0.0145544572609964	0.992749186283144	26.8175829883145	2.23593669043457e-07	FALSE	8	P02656
Q15828	-3	-0.450583282416315	-0.621189879990755	-0.279976684841875	2.26215212341438e-07	2.02661156295432	0.36301693915138	26.7950571204622	2.26215212341438e-07	FALSE	28	Q15828
P80188	-3	-0.36285987053916	-0.500709307454081	-0.22501043362424	2.48012433306217e-07	0.313401701909353	0.854959780968526	26.6173044261727	2.48012433306217e-07	FALSE	48	P80188
Q9NQ79	3	0.342921868175537	0.210813640290971	0.475030096060103	3.62613191514086e-07	1.00232251881288	0.605826729080886	25.8837269781483	3.62613191514085e-07	FALSE	55	Q9NQ79
P61769	-3	-0.472152182017743	-0.654152380297333	-0.290151983738154	3.68368960007041e-07	2.27736859853951	0.320240084872599	25.8533283493247	3.68368960007041e-07	FALSE	27	P61769
O75533	1	0.674097631885562	0.413495792983566	0.934699470787559	3.9817071397974e-07	0	1	25.7031785493691	3.98170713979741e-07	FALSE	14	O75533
P02774	3	0.348891248336372	0.213809105736726	0.483973390936018	4.14422425863116e-07	1.29316458104302	0.523833029976884	25.6259781915395	4.14422425863116e-07	FALSE	53	P02774
P02790	3	0.378902908853405	0.231915481393802	0.525890336313007	4.36342907872085e-07	0.817177582253453	0.664587460402245	25.5265241572346	4.36342907872083e-07	FALSE	47	P02790
P00746	-3	-0.267188435296075	-0.371112594715918	-0.163264275876232	4.67832392203339e-07	0.304795945034272	0.858646495028018	25.39209033594	4.67832392203339e-07	FALSE	72	P00746
P0CF74;P0DOY2;P0DOY3	3	0.550686359416588	0.336026827699396	0.765345891133781	4.95413599977899e-07	0.621709289095604	0.732820387566932	25.2815947169332	4.954135999779e-07	FALSE	22	P0CF74;P0DOY2;P0DOY3
Q99972	-2	-0.410161092643723	-0.571023570006661	-0.249298615280785	5.80956752286235e-07	0.0772839665054942	0.781012404997057	24.9744308208363	5.80956752286234e-07	FALSE	39	Q99972
P05160	-3	-0.271472807664021	-0.378139617191578	-0.164805998136464	6.09398861317003e-07	1.99073822923198	0.369586999400301	24.8822838839203	6.09398861317003e-07	FALSE	67	P05160
P02655	-3	-0.678020050203407	-0.948963130013291	-0.407076970393522	9.35696128591459e-07	0.0342883692706898	0.983001940640148	24.0560949662289	9.35696128591461e-07	FALSE	17	P02655
P01619	2	0.677964562803399	0.405702020645511	0.950227104961287	1.05799893448601e-06	0.368264508461723	0.543951782728007	23.8195953451807	1.05799893448601e-06	FALSE	18	P01619
P22105	3	0.228622425957227	0.136054566192844	0.32119028572161	1.29393245102762e-06	0.347133564087625	0.84066100822695	23.432217745199	1.29393245102762e-06	FALSE	84	P22105
P04275	-3	-0.356763188527237	-0.502518373330272	-0.211008003724203	1.60754499485081e-06	2.35721021577375	0.307707658368991	23.0148543412443	1.60754499485081e-06	FALSE	57	P04275
Q9ULI3	-3	-0.376069579530841	-0.52989482015303	-0.222244338908651	1.65382490895588e-06	1.92327242952821	0.38226690324276	22.9602908335088	1.65382490895588e-06	FALSE	51	Q9ULI3
