ind.p.Center1	ind.p.Center2	ind.p.Center3	stat	pval	FDR	weight	ID
0.00296472392794988	0.542349138364672	0.0120982091643378	-2.82861213359845	0.00467503201235392	0.0172238021507776	NA	Q92954
0.00316053507161808	0.13256912935393	0.748414911605014	-1.83335417020159	0.0667499184049347	0.145108518271597	NA	P00740
0.00318726514039677	0.0760692870213596	0.0877440638805273	-3.18389267277265	0.00145308878629258	0.0067810810026987	NA	Q9Y5C1
0.00321747982622612	0.00555077146905943	0.00834953594345922	-4.42106344360992	9.8216328705866e-06	0.000104168833475919	NA	P22105
0.00339096863577502	0.153769936747934	5.38182251896067e-05	-4.38812975978931	1.14329559941256e-05	0.000108149583728216	NA	P00748
0.00344621665095967	0.178819085656881	0.0262164185694402	-3.21089596537513	0.00132321829697721	0.00625846491813543	NA	P39060
0.00347545849538834	0.244503360524815	0.767425650571098	-1.53614493806134	0.124502836898599	0.233221800362558	NA	P11597
0.00366496276670268	0.00550276720382739	0.000300515763565377	-4.99704889747668	5.82143113147583e-07	9.70238521912639e-06	NA	P61769
0.0038653034310814	0.0256383226197428	0.00122789516806135	-4.41182675152376	1.02502119022535e-05	0.00010551688722908	NA	P00746
0.00395299784841283	0.36219832834496	0.0780716432913681	-2.55581982638349	0.0105937956513492	0.0337075316179293	NA	P19022
0.00402793185506244	0.0517375850446491	0.000569896013265417	-4.34830642649861	1.37192832020318e-05	0.000120043728017778	NA	P01034
0.00447172626552579	0.16801359271164	0.114464426783682	-2.75937371833897	0.00579122647829713	0.020682951708204	NA	P07333
0.00459400722496388	0.00163843332297314	0.00034887821634502	-5.15916377246454	2.48055259650772e-07	4.67202912356715e-06	NA	P01834
0.00515001209512127	0.623911260538696	0.119529871683958	-1.97867266099762	0.0478528729524516	0.120492845563727	NA	Q02985
0.00537729456957908	0.0186049647696123	0.0247123385196292	-3.80989770730215	0.000139024301083615	0.000901083432949355	NA	Q86UD1
0.00541573327838626	0.109383906224418	0.056207750855364	-3.09767460717432	0.00195045458170362	0.00853323879495332	NA	P43251
0.00547207012393447	0.0634356567143171	0.000988990366851948	-4.13645640816632	3.52710321670201e-05	0.000274330250187934	NA	Q9ULI3
0.00593377168583573	0.688442109182156	0.0126232803235585	-2.46079871993151	0.0138628114496714	0.0429379115697787	NA	P08519
0.00602032775363955	0.0113044971072985	0.43373837780809	-2.86238308988952	0.00420468349441213	0.0163515469227139	NA	P62328
0.00648776205582355	0.0128132934510573	0.00187036719744451	-4.39681116636818	1.09852835419594e-05	0.00010680136776905	NA	P04275
0.00681340960691994	0.00329647199059258	0.339380667541318	-3.23191546016233	0.0012296342908354	0.00597738891378318	NA	P06727
0.00717397025693696	0.80304651550976	0.16468022336511	-1.48453017066196	0.137668325200011	0.250957884479187	NA	P35443
0.00720631809226036	0.0060211475610908	0.0133963723186173	-4.14089337532529	3.45955757902182e-05	0.000274330250187934	NA	A0A0B4J1Y9
0.00728047250326595	0.813305937873158	0.0326622366135357	-1.96068440266384	0.0499158496560686	0.123904591344851	NA	P07359
0.00748621986209307	0.194864304424903	0.163407184707902	-2.46742491514496	0.0136088759121734	0.0425277372255419	NA	P12259
0.0075370528063407	0.0344487205316636	0.00527617841280407	-3.92994756097064	8.49643892999396e-05	0.000594750725099577	NA	P10586
0.00781830492118923	0.0249213363959811	0.11740776446452	-3.21390444247021	0.00130943243037495	0.00625846491813543	NA	P02675
0.00810125100881401	0.391279364678647	0.884925728130504	-0.854669875040666	0.392733932366996	0.570360482690658	NA	P10909
0.00814137511340548	0.0821996374846907	0.0272718942250049	-3.29980794684371	0.000967510144079768	0.00497983162393998	NA	P12111
0.00856872348009485	0.00363587730977958	0.00193707642862623	-4.59346363283442	4.3594902202657e-06	5.86854452728075e-05	NA	P02774
0.00863736458538349	0.00057391672802999	0.202266223060894	-3.73308750764657	0.000189146843204882	0.00116142798459138	NA	Q7Z7G0
0.00870474564733618	0.245936346431159	0.0616380559620896	-2.65953169833616	0.00782493664426635	0.0263339213989733	NA	P01861
0.00870670024035808	0.0194343130420701	0.0633733150104055	-3.44706608518127	0.000566709940828917	0.00309919498890814	NA	P02679
0.00928984669217853	0.00264069663617586	0.521155953643731	-2.93880144835554	0.00329484074336938	0.01340923558348	NA	Q14766
0.00938336663733019	0.00268725759942006	0.0365662039723704	-3.99862473992302	6.37116006159955e-05	0.000455082861542825	NA	A0A075B6I9;P04211
0.00947029754457304	0.000859805685634466	0.018595672012868	-4.36775456804112	1.25530441736623e-05	0.000115443688849553	NA	Q15828
0.00983918813958522	0.0271129672363259	0.000486075405868452	-4.36241043624603	1.28637253289502e-05	0.000115443688849553	NA	Q02487
0.00999416800139266	0.286483636420343	0.33619934344131	-1.91282601269037	0.0557703298566936	0.127605959613291	NA	Q15485
0.0102796788639729	0.00382864279803375	0.017843013661812	-4.08953719022497	4.32234763606796e-05	0.000328874276657345	NA	Q16610
0.0106868874644603	0.0974401757315332	0.275506485624324	-2.42131182364443	0.0154646053884707	0.0470661903127369	NA	P36955
0.0107915022926835	0.00622559664307955	0.0891375578088022	-3.54654983881271	0.000390310906992014	0.00223948881060992	NA	P14151
0.0114258509826224	0.174123392683341	0.042806189798854	-2.84801762252666	0.00439924884771253	0.0168908813293349	NA	Q6UXB8
0.0114671364724619	0.820232767578764	0.00363680524116544	-2.33383790083347	0.0196042114030816	0.0562415900908078	NA	P07225
0.0125185653947556	0.201821771182713	0.00567108891250856	-3.23774394268683	0.00120478889634693	0.00593910019325952	NA	P17936
0.0127397677406274	9.66951033701364e-05	6.49620055947564e-05	-5.65119347430428	1.59337622748714e-08	4.64734733017081e-07	NA	A0A0B4J1U7
0.0130898954923414	0.677207762596887	0.0545119105223793	-1.94349130048398	0.0519568254867055	0.126283950835743	NA	P19823
0.0131077570037026	0.592386200227418	0.934021608883905	-0.278794700461502	0.780402381695008	0.858933438972493	NA	O43866
0.0131262813998239	0.0156854561486232	0.0789741748816683	-3.3410084921119	0.000834746698091934	0.00449478991280272	NA	P54108
0.0131564813794023	0.0465478323505456	0.0960122511781915	-3.00537615033708	0.00265252594677743	0.0111676448401622	NA	P22352
0.0132173305145091	0.313405683401199	0.144025204320863	-2.17568322665843	0.0295789552679982	0.0790277430824379	NA	P04180
0.0136670274579862	0.000883414447940319	0.00760278933477447	-4.48082763262381	7.43541437348835e-06	8.97377596800318e-05	NA	P02790
