,r,r,rho,rho
,mean,std,mean,std
FedProt,1.00E+00,6.55E-16,1.00E+00,0.00E+00
Fisher,6.33E-01,1.60E-02,5.19E-01,1.02E-02
Stouffer,6.33E-01,1.60E-02,5.19E-01,1.02E-02
REM,8.92E-01,1.08E-02,8.53E-01,7.43E-03
RankProd,6.33E-01,1.60E-02,5.19E-01,1.02E-02
