P_1.RIC_1	P_1.RIC_2	P_1.RIC_3	P_1.RIC_4	P_1.RIC_5	P_1.RIC_6	P_1.RIC_7	P_1.RIC_8	P_1.RIC_9	P_1.RIC_10	P_1.RIC_11	P_2.RIC_1	P_2.RIC_2	P_2.RIC_3	P_2.RIC_4	P_2.RIC_5	P_2.RIC_6	P_2.RIC_7	P_2.RIC_8	P_2.RIC_9	P_2.RIC_10	P_2.RIC_11	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_4.RIC_1	P_4.RIC_2	P_4.RIC_3	P_4.RIC_4	P_4.RIC_5	P_4.RIC_6	P_4.RIC_7	P_4.RIC_8	P_4.RIC_9	P_4.RIC_10	P_4.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11	P_6.RIC_1	P_6.RIC_2	P_6.RIC_3	P_6.RIC_4	P_6.RIC_5	P_6.RIC_6	P_6.RIC_7	P_6.RIC_8	P_6.RIC_9	P_6.RIC_10	P_6.RIC_11
5056.4	19023	10474	6561.4	6814.2	7566	6963.3	17172	6992.8	12633	8099.3	8086.8	4831	8069.1	15858	4496.4	4024.3	10212	2483.3	8784.9	15194	9785.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7923.6	22406	14546	18154	10296	14781	9538.2	24929	9952.7	17403	13531	10997	9099.2	6484.6	18398	9692.6	10869	25619	18741	13432	13514	14315	14661	49731	32609	16365	25008	15469	40494	17111	34245	28621	101490	169950	61382	83598	86418	121090	83259	119260	61073	100760	84078	53467	63393	73568	79383	75420	60323	87660	67921	50427	59359	55133	76736	83664	125190	65350	80610	75906	76086	87507	73270	109490	80759
9883	18581	16772	11245	20072	15921	11321	18452	8901.5	17194	12190	36142	17795	16308	37741	24786	32914	45167	29349	35638	25491	31274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165430	135020	60691	118940	79944	137160	67529	103590	69481	100500	76743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162430	103080	130410	122660	90457	76299	91018	114080	124650	197430	118260
38038	74443	38679	43767	40436	40480	42700	51910	24818	51471	54538	75845	37571	54868	116790	70522	67848	80890	119150	68580	113360	70839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24268	57448	33181	35477	34774	31511	30471	41892	22894	44358	31249	43986	20958	17226	33557	30385	28989	24596	43607	25463	31189	25400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	163420	293950	83990	180400	159330	238980	97656	276630	107030	153880	120690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116700	172270	143270	174210	110660	99182	68465	152400	183970	160400	115660
21120	31016	30186	31428	89571	20812	23209	20859	15842	25508	24268	9874.9	8994.7	7243.7	8352.8	10650	9683.9	10443	17191	8496.4	11315	9526.7	15868	42187	32809	15913	25995	22786	38676	29285	27362	22280	14593	27230	8480.3	10622	9670.8	20094	3972.3	12329	6252.8	10809	7063.5	15948	23501	27883	19239	36668	19439	42801	19185	20645	23385	19774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25708	49096	26491	34016	16119	19146	23326	28258	24446	41093	22265	21656	17688	16522	25686	16813	26163	35592	39167	32504	26342	22061	14154	38321	23985	11430	27655	13388	37280	17999	22244	14020	46689	301130	54506	109960	209340	392760	97364	128090	54323	182300	77064	15320	19057	22758	26185	26038	22121	19450	24230	18735	22497	16317	18786	68393	44061	111050	20398	52816	21518	155890	60140	122740	54467
24314	36259	27199	27262	29186	19934	26811	34266	16943	38399	26824	11217	9135.3	9437.5	13092	10178	11325	12887	19867	11799	11618	10763	37290	94620	61385	32104	61981	44641	108860	56198	63853	40536	305520	986260	186930	319360	361600	402220	175830	540130	227610	298610	245610	34887	62153	51958	71815	99247	47855	77678	52297	41222	60729	44818	135130	155460	177860	145310	161660	89637	67600	154970	132040	224900	152060
34491	64058	48380	48226	30039	48839	44954	53327	43172	49747	46360	56582	25341	22790	36894	40820	32720	27169	43823	28901	34043	35224	37368	119270	59182	42149	73353	38957	102860	61965	64785	48327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19512	24511	30259	20978	46099	23965	39803	18500	36097	23425	23391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23695	41540	33110	22257	23616	24493	34361	42248	26786	34608	28593	51222	39662	31080	56143	38397	51648	49225	54196	38232	50409	47064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	215440	459320	158740	228560	212990	294180	127240	279130	158430	215350	175500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	64196	90772	76453	82954	99580	81893	63676	86345	91301	149330	83999
