count
2
2
3
2
2
2
2
1
1
1
2
1
3
2
1
4
7
2
12
2
17
2
12
2
3
1
5
16
2
3
4
16
1
3
10
42
2
9
2
5
3
2
2
52
8
4
36
36
24
4
12
17
10
63
22
43
9
6
34
28
22
16
58
143
84
5
5
4
35
2
2
5
3
1
3
2
2
2
2
4
1
6
13
5
7
4
19
14
2
2
2
3
3
35
30
7
7
5
5
26
7
7
2
4
11
4
8
6
27
21
12
95
10
17
6
10
10
36
7
6
19
45
16
31
5
22
34
35
18
9
9
6
294
8
21
14
81
11
1
3
3
2
3
4
7
9
3
6
10
24
25
31
6
4
3
10
15
24
4
11
3
34
6
40
2
2
1
2
7
26
2
3
2
7
18
26
7
11
4
5
2
1
3
2
9
2
10
4
3
28
2
11
75
3
18
2
12
6
1
26
4
1
4
5
1
3
1
1
1
2
2
2
3
3
2
43
2
1
3
22
13
2
10
2
2
8
6
2
15
46
3
2
5
8
2
11
4
40
3
17
2
8
8
3
6
2
12
3
16
3
13
7
3
4
2
2
2
14
10
7
6
2
11
4
37
29
35
12
18
16
7
4
14
7
3
23
3
5
4
2
6
20
6
2
21
9
3
5
12
2
4
21
2
2
2
2
4
6
9
10
2
7
5
6
6
19
4
6
17
6
5
3
2
5
3
11
3
9
10
36
2
20
1
8
3
2
13
3
2
4
2
3
7
4
2
4
2
2
2
2
17
3
8
2
2
1
6
4
3
4
6
1
3
1
12
2
3
23
5
2
2
3
4
16
5
2
2
7
6
2
18
24
1
2
9
17
3
3
15
3
6
1
3
5
2
8
5
10
2
5
3
5
2
3
3
7
17
38
8
8
7
7
2
14
2
4
3
21
2
2
2
2
2
4
2
6
3
2
5
8
3
5
2
8
5
4
2
2
3
3
9
2
2
2
3
2
2
5
2
2
3
3
2
2
5
24
14
16
2
13
4
2
5
3
4
2
2
5
12
2
3
3
1
2
2
2
6
5
5
10
2
2
2
2
12
2
2
10
12
2
12
4
3
3
2
14
3
2
4
47
4
2
2
1
2
1
1
2
2
2
2
2
2
2
2
2
1
2
2
2
1
6
3
2
2
27
4
2
1
40
2
1
2
2
2
1
4
2
2
3
2
3
2
8
2
2
2
2
4
27
2
6
1
2
1
1
2
2
3
2
2
2
3
2
12
3
2
2
2
2
3
2
2
2
1
4
2
2
2
2
2
2
2
4
2
1
2
2
2
2
2
2
1
2
2
3
5
2
2
2
3
3
2
2
2
2
1
2
4
1
1
5
2
2
2
2
2
2
2
4
3
1
2
3
2
2
2
2
5
2
10
2
2
1
2
2
2
2
