,MinDiff,MinDiff,MeanDiff,MeanDiff,MaxDiff,MaxDiff
,mean,std,mean,std,mean,std
FedProt,0.00E+00,0.00E+00,3.78E-16,5.40E-18,7.76E-15,1.13E-15
Fisher,0.00E+00,0.00E+00,1.11E-03,3.73E-05,6.45E-02,4.40E-02
Stouffer,0.00E+00,0.00E+00,1.11E-03,3.73E-05,6.45E-02,4.40E-02
REM,0.00E+00,0.00E+00,3.70E-03,1.50E-04,4.09E-01,2.09E-01
RankProd,0.00E+00,0.00E+00,1.11E-03,3.73E-05,6.45E-02,4.40E-02
