Majority.protein.IDs	P_4.RIC_1	P_4.RIC_2	P_4.RIC_3	P_4.RIC_4	P_4.RIC_5	P_4.RIC_6	P_4.RIC_7	P_4.RIC_8	P_4.RIC_9	P_4.RIC_10	P_4.RIC_11	P_6.RIC_1	P_6.RIC_2	P_6.RIC_3	P_6.RIC_4	P_6.RIC_5	P_6.RIC_6	P_6.RIC_7	P_6.RIC_8	P_6.RIC_9	P_6.RIC_10	P_6.RIC_11
A0A075B6H9	34847	87251	39394	40341	42727	51288	37853	72286	42067	46603	26273	32083	40876	50691	58515	32968	38083	37138	35395	51815	52347	35346
A0A075B6I9;P04211	101490	169950	61382	83598	86418	121090	83259	119260	61073	100760	84078	76736	83664	125190	65350	80610	75906	76086	87507	73270	109490	80759
A0A075B6K4	165430	135020	60691	118940	79944	137160	67529	103590	69481	100500	76743	162430	103080	130410	122660	90457	76299	91018	114080	124650	197430	118260
A0A075B6K2;A0A075B6K5;P80748	62152	79009	47033	40289	66940	58044	41581	69596	35667	30110	41328	11984	10365	16831	13097	15632	5153.7	7377.6	13434	19887	8440.7	14365
A0A075B6P5;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;P01614;P01615	43519	93775	23943	36852	49822	56989	22098	56844	35024	50070	20604	28531	47550	40188	39156	34402	27116	11973	24434	45933	57963	61653
A0A075B6S2;A2NJV5	28241	190180	37738	46157	32477	46253	29661	49076	27078	38169	40329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ8;P04433	163420	293950	83990	180400	159330	238980	97656	276630	107030	153880	120690	116700	172270	143270	174210	110660	99182	68465	152400	183970	160400	115660
A0A0A0MS15	14593	27230	8480.3	10622	9670.8	20094	3972.3	12329	6252.8	10809	7063.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7	46689	301130	54506	109960	209340	392760	97364	128090	54323	182300	77064	18786	68393	44061	111050	20398	52816	21518	155890	60140	122740	54467
A0A0B4J1V0	15282	61095	19666	21946	26880	17978	9235.1	32764	18291	14295	16973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X5	192280	571640	91786	183000	196540	379340	105390	384760	153440	175320	152230	175030	371020	260770	446600	333630	224900	178380	341550	423830	340150	242170
A0A0B4J1Y9	305520	986260	186930	319360	361600	402220	175830	540130	227610	298610	245610	135130	155460	177860	145310	161660	89637	67600	154970	132040	224900	152060
A0A0C4DH25	43511	123770	30074	76383	58068	85702	34063	95181	36451	48266	34333	49378	70347	47904	66927	51455	50188	39111	63909	57344	79513	41346
A0A0C4DH38	76527	154930	54690	74802	69717	103470	48327	80287	76658	76032	64588	60232	93768	96161	123500	76481	57944	64098	60929	105180	120970	78136
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	215440	459320	158740	228560	212990	294180	127240	279130	158430	215350	175500	64196	90772	76453	82954	99580	81893	63676	86345	91301	149330	83999
A0A075B6H7;A0A0C4DH55;P01624	65431	122680	37490	87231	55923	83220	32772	99549	50109	71425	46300	104990	151960	118680	141390	104640	100810	63780	135440	122020	157970	86783
A0A0J9YXX1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19488	42763	36188	87267	43442	26928	20906	27361	52465	62500	27138
A1L4H1	4547.4	6658.5	4444.5	3562.9	6337.6	3500.5	5057.8	5552.6	6421.1	4765.2	6523.4	19979	16863	26394	23048	19587	22019	16665	26547	27871	20299	21129
B9A064;P0CG04	1422600	2761300	841430	1678200	1739900	2533700	917010	2315800	982260	1369300	1200700	2033300	2082100	2532900	2247700	1769200	1572600	1057500	2608000	2166900	2595800	2222400
O00151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25506	64542	112710	75024	21533	63989	23622	40435	28000	33306	39106
O00187	363700	544410	691130	503240	721270	486050	578610	511030	579980	508160	479370	611570	649680	666970	663190	539110	552310	598570	582630	551730	659490	603970
O00391	868800	1203000	1251200	1125500	1293200	1054100	1209400	1016900	977910	981100	1122300	2037100	2202200	2078400	2283800	1750100	1537000	2079800	1751400	2020900	1831400	1749300
O00533	424930	514100	619130	453770	517670	459570	582360	409340	403720	418510	447430	668330	732490	610360	639660	581000	472650	690240	488870	511470	512070	522240
O00592	66550	76310	109920	77699	124380	87781	132740	66946	76683	77567	74775	140890	168280	196730	185430	168960	129030	192710	121330	154190	168150	140120
O00602	97181	75666	82966	54920	70760	72659	44421	74041	72323	65968	64732	57954	97195	63331	76770	57028	108880	68838	71986	55800	98963	44868
O14786	108350	124240	145650	133270	138840	110280	146340	85714	94512	104170	125750	281540	192740	218030	202410	194050	188370	249510	188580	215470	174050	188580
O14791	2056500	1659100	1728500	1346000	2543000	1269800	1831100	2431900	4035400	1941700	1585400	940590	1478700	1398400	1747600	1976200	1528800	1683700	1096800	2029300	2002400	1348400
