Majority.protein.IDs	counts
A0A075B6H9	2
A0A075B6I9;P04211	2
A0A075B6K4	3
A0A075B6K2;A0A075B6K5;P80748	2
A0A075B6P5;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;P01614;P01615	1
A0A075B6S2;A2NJV5	1
A0A0A0MRZ8;P04433	3
A0A0A0MS15	2
A0A0B4J1U7	2
A0A0B4J1V0	1
A0A0B4J1X5	2
A0A0B4J1Y9	2
A0A0C4DH25	1
A0A0C4DH38	4
A0A075B6R2;A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2
A0A075B6H7;A0A0C4DH55;P01624	1
A0A0J9YXX1	1
A1L4H1	4
B9A064;P0CG04	7
O00151	2
O00187	13
O00391	25
O00533	12
O00592	3
O00602	2
O14786	7
O14791	16
O43493	4
O43866	16
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	5
O75533	2
O75636	10
O75882	45
O95445	9
O95497	7
O95866	2
P00338	3
P00450	52
P00488	8
P00558	4
P00734	37
P00736	37
P00738	24
P00739	5
P00740	13
P00742	17
P00746	10
P00747	65
P00748	22
P00751	43
P00915	9
P00918	8
P01008	34
P01009	30
P01011	22
P01019	18
P01023	59
P01024	152
P01031	84
P01033	5
P01034	7
P01040	4
P01042	35
P01137	2
P01344	2
P01591	5
P01602	2
P01619	5
P01701	2
P01706;P01709	2
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	2
P01764	2
P01766	1
A0A0B4J1V1;P01762;P01763;P01780	5
P01782;P0DP04	1
P01834	8
P01857	16
P01859	5
P01860	7
P01861	4
P01871	19
P01876	14
P01877	3
P02452	3
P02647	35
P02649	30
P02652	7
P02654	7
P02655	5
P02656	6
P02671	29
P02675	7
P02679	7
P02730	4
P02741	5
P02743	13
P02745	5
P02746	9
P02747	6
P02748	28
P02749	21
P02750	13
P02751	95
P02753	12
P02760	19
P02763	7
P02765	10
P02766	10
P02774	36
P02775	8
P02776	6
P02786	21
P02787	45
P02788	16
P02790	31
P03950	5
P03951	27
P03952	34
P04003	35
P04004	18
P04040	9
P04070	9
P04075	7
P04114	294
P04180	8
P04196	21
P04217	17
P04275	81
P04278	12
P04279;Q02383	2
P04406	6
P01889;P01893;P04439;P13747;P17693	2
P05062	7
P05067	8
P05090	10
P05106	3
P05109	6
P05154	10
P05155	25
P05156	28
P05160	35
P05362	4
P05451;P48304	2
P05543	15
P05546	28
P05556	5
P06276	12
P06310	2
P06312	3
P06396	40
P06681	34
P06702	6
P06727	40
P06732	2
P06733	2
P07195	7
P07225	28
P07237	2
P07307	3
P07333	2
P07339	7
P07357	26
P07358	27
P07359	7
P07360	11
P04350;P07437;P68371;Q13509;Q13885;Q9BUF5;Q9BVA1	1
P07602	4
P07737	7
P07858	3
P07942	3
P07998	2
P08185	11
P07900;P08238;Q14568;Q58FF8	1
P08253	10
P08294	4
P08514	3
P08519	32
P08567	2
P08571	11
P08603	75
P08637	3
P08697	18
P08709	5
P09172	12
P09382	2
P09486	7
P09871	31
P0C0L4	4
P0C0L5	97
P04908;P0C0S5;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q71UI9;Q7L7L0;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1	4
P0CG47;P0CG48;P62979;P62987	4
P0DJI8;P0DJI9	3
P0CF74;P0DOY2;P0DOY3	3
P0DP23;P0DP24;P0DP25	2
P0DPH7;P0DPH8;P68363;Q6PEY2;Q71U36;Q9BQE3	3
P10124	3
P10586	5
P10599	2
P10643	45
P10720	1
P10721	3
P10909	22
P11021	13
P11142;P54652	1
P11226	10
P11279	2
P11597	8
P11717	6
P12111	15
P12259	51
P12821	2
P12830	7
P12955	10
P13473	2
P13591	11
P13598	4
P13671	41
P13727	3
P13796	17
P13987	2
P14151	8
P14543	8
P14618	3
P14625	11
P14780	12
P14923	3
P15144	16
P15151	3
P15169	15
P15924	7
P16035	3
P16070	4
P16109	2
P16930	4
P17813	3
P17936	14
P18065	10
P18206	7
P18428	6
P19022	2
P19320	11
P19652	4
P19823	39
P19827	33
P20742	35
P20851	13
P21333	18
P22105	19
P22352	7
P22692	4
P22792	15
P22891	7
P22897	4
P23284	2
P23470	3
P23528;Q9Y281	2
P24592	4
P24593	2
P24821	6
P25311	22
P26927	25
P27169	11
P27487	3
P27797	5
P27918	13
P29279	2
P29508;P48594	3
P29622	21
P30043	2
P30101	2
P31146	2
P31151;Q86SG5	4
P31944	2
P32119	9
P33151	10
P33908	12
P34096	2
P35443	9
P35542	5
P35555	6
P35579;P35749	2
P35858	20
P36955	17
P36980	6
P37802	6
P37840;Q16143	2
P39060	5
P40189	3
P40197	11
P41222	4
P41271	2
P43121	9
P43251	11
P43652	41
P48740	20
P49747	12
P49908	8
P49913	3
P51884	14
P52566	2
P54108	6
P54289	3
P55056	7
P55058	4
P55103	3
P55290	4
P59665;P59666	2
P60174	3
P60709;P63261	18
P61626	8
P61769	2
P62081	3
P62328	6
P62750	2
P62805	5
P62899	2
P62937	3
P63104	4
P67936	7
P62736;P63267;P68032;P68133	1
P68104;Q5VTE0	5
P68366	1
P68431;P84243;Q16695;Q5TEC6;Q6NXT2;Q71DI3	2
P02042;P68871	10
P80108	26
P80188	5
P80723	2
P81605	7
P82094	2
P98160	16
Q01459	5
Q02413	4
Q02487	3
Q02985	8
Q03591	9
Q04721	3
Q04756	18
Q06033	24
Q06830;Q13162	1
Q07954	10
Q08380	18
Q08554	3
Q10588	3
Q12805	15
Q12841	3
Q12860	8
Q12913	5
Q13023	2
Q13093	9
Q13103	5
Q13201	12
Q13508	2
Q13740	5
Q13790	5
Q13822	5
Q13867	2
Q14118	4
Q14126	3
Q14515	7
Q14520	17
Q14624	40
Q14766	8
Q15113	8
Q15166	8
Q15485	10
Q15582	14
Q15828	3
Q15848	5
Q16270	3
Q16610	21
Q16706	4
Q4G0X9	2
Q4LDE5	2
Q5T749	4
Q6EMK4	6
Q6UWP8	3
Q6UX71	5
Q6UXB8	8
Q6UY14	3
Q6YHK3	6
Q76LX8	9
Q7Z7G0	5
Q7Z7M0	4
Q86SQ4	2
Q86U17	2
Q86UD1	4
Q86VB7	11
Q86YW5	2
Q8IZF2	3
Q8N6C8	2
Q8NBJ4	2
Q8NBP7	5
Q8TDJ6	1
Q8WWZ8	2
Q8WZ42	2
Q92496	4
Q92520	2
Q92820	5
Q92859	3
Q92954	24
Q93074	2
Q96IY4	15
Q96KN2	17
Q96PD5	16
Q96S96	6
Q99784	5
Q99969	3
Q9BWP8	5
Q9BXR6	12
Q9H6X2	2
Q9H8L6	3
Q9HBB8	2
Q9HBR0	2
Q9HCN6	4
Q9HDC9	6
Q9NPH3	5
Q9NPY3	5
Q9NQ79	10
Q9NS87	2
Q9NY97	2
Q9NZK5	2
Q9NZP8	12
Q9NZT1	3
Q9P219	2
Q9P232	2
Q9UGM5	13
Q9UHG3	12
Q9UJJ9	3
Q9UK55	12
Q9ULI3	4
Q9UNN8	3
Q9UNW1	6
Q9Y490	14
Q9Y4L1	3
Q9Y5C1	3
Q9Y5Y7	4
Q9Y6R7	49
Q9Y6Z7	4
