,FP,FN,Jaccard
FedProt,0.0,0.0,1.0
Fisher,137.0,153.0,0.8592916060164969
Stouffer,137.0,153.0,0.8592916060164969
REM,51.0,391.0,0.7762025316455696
RankProd,13.0,462.0,0.7547754259163655
