,MeanDiff,MaxDiff
FedProt,1.0843386304377113e-15,8.43769498715119e-15
Fisher,0.06078553259697517,0.63545673583626
Stouffer,0.06078553259697517,0.63545673583626
REM,0.061067936626215034,0.5976257304563
RankProd,0.06078553259697517,0.63545673583626
