Sample	Condition	Dataset
CPT0026410003	Tumor	PDC000127
CPT0002370001	Normal	PDC000127
CPT0000790001	Normal	PDC000127
CPT0019130003	Tumor	PDC000127
CPT0088570001	Normal	PDC000127
CPT0065820001	Normal	PDC000127
CPT0025880003	Tumor	PDC000127
CPT0076330003	Tumor	PDC000127
CPT0001180009	Tumor	PDC000127
CPT0078800003	Tumor	PDC000127
CPT0078660003	Tumor	PDC000127
CPT0065690003	Tumor	PDC000127
CPT0078930003	Tumor	PDC000127
CPT0011240003	Tumor	PDC000127
CPT0084560003	Tumor	PDC000127
CPT0012670003	Tumor	PDC000127
CPT0002350011	Tumor	PDC000127
CPT0012920003	Normal	PDC000127
CPT0064370003	Tumor	PDC000127
CPT0088900003	Tumor	PDC000127
CPT0006730001	Normal	PDC000127
CPT0007870001	Normal	PDC000127
CPT0087040003	Tumor	PDC000127
CPT0079380003	Tumor	PDC000127
CPT0025170003	Tumor	PDC000127
CPT0024670003	Tumor	PDC000127
CPT0012640003	Normal	PDC000127
CPT0078830003	Tumor	PDC000127
CPT0021240003	Tumor	PDC000127
CPT0071150004	Tumor	PDC000127
CPT0089020003	Tumor	PDC000127
CPT0088970003	Tumor	PDC000127
CPT0066480003	Tumor	PDC000127
CPT0000870016	Tumor	PDC000127
CPT0092790003	Tumor	PDC000127
CPT0025610001	Normal	PDC000127
CPT0063330001	Normal	PDC000127
CPT0001350001	Normal	PDC000127
CPT0078940001	Normal	PDC000127
CPT0086830003	Normal	PDC000127
CPT0088760003	Tumor	PDC000127
CPT0092190003	Normal	PDC000127
CPT0002270011	Tumor	PDC000127
CPT0088550004	Tumor	PDC000127
CPT0023710001	Normal	PDC000127
CPT0077140001	Normal	PDC000127
CPT0025230003	Tumor	PDC000127
CPT0025050003	Tumor	PDC000127
CPT0075720003	Tumor	PDC000127
CPT0012570003	Normal	PDC000127
CPT0089040001	Normal	PDC000127
CPT0017850003	Tumor	PDC000127
CPT0019990003	Tumor	PDC000127
CPT0012900004	Tumor	PDC000127
CPT0000780007	Tumor	PDC000127
CPT0023360001	Normal	PDC000127
CPT0001510001	Normal	PDC000127
CPT0078840001	Normal	PDC000127
CPT0010110003	Tumor	PDC000127
CPT0086890003	Normal	PDC000127
CPT0092290003	Tumor	PDC000127
CPT0020120003	Tumor	PDC000127
CPT0088640003	Normal	PDC000127
CPT0088500001	Normal	PDC000127
CPT0069010001	Normal	PDC000127
CPT0006440003	Tumor	PDC000127
CPT0063630003	Tumor	PDC000127
CPT0001550001	Normal	PDC000127
CPT0086950003	Tumor	PDC000127
CPT0014350001	Normal	PDC000127
CPT0014470001	Normal	PDC000127
CPT0086360003	Tumor	PDC000127
CPT0069160003	Tumor	PDC000127
CPT0006950001	Normal	PDC000127
CPT0007860003	Tumor	PDC000127
CPT0082010001	Normal	PDC000127
CPT0079230003	Tumor	PDC000127
CPT0001340003	Tumor	PDC000127
CPT0011410003	Tumor	PDC000127
CPT0079180003	Tumor	PDC000127
CPT0012080003	Tumor	PDC000127
CPT0084590001	Normal	PDC000127
CPT0063640001	Normal	PDC000127
CPT0009000003	Tumor	PDC000127
CPT0010170001	Normal	PDC000127
CPT0079270003	Tumor	PDC000127
CPT0069190001	Normal	PDC000127
CPT0001270001	Normal	PDC000127
CPT0015810003	Tumor	PDC000127
CPT0025110003	Tumor	PDC000127
CPT0024680001	Normal	PDC000127
CPT0012090003	Normal	PDC000127
CPT0009020003	Normal	PDC000127
CPT0077310003	Tumor	PDC000127
CPT0077490003	Tumor	PDC000127
CPT0014160003	Tumor	PDC000127
CPT0078530001	Normal	PDC000127
CPT0020020001	Normal	PDC000127
CPT0066520001	Normal	PDC000127
CPT0014370004	Tumor	PDC000127
CPT0001500009	Tumor	PDC000127
CPT0081600003	Tumor	PDC000127
CPT0001190001	Normal	PDC000127
CPT0088630003	Tumor	PDC000127
CPT0069000003	Tumor	PDC000127
CPT0088710001	Normal	PDC000127
CPT0092160003	Tumor	PDC000127
CPT0006630003	Tumor	PDC000127
CPT0001260009	Tumor	PDC000127
CPT0065750003	Tumor	PDC000127
CPT0065930003	Tumor	PDC000127
CPT0012770003	Normal	PDC000127
CPT0012180003	Tumor	PDC000127
CPT0017410003	Tumor	PDC000127
CPT0023350003	Tumor	PDC000127
CPT0075570001	Normal	PDC000127
CPT0014130001	Normal	PDC000127
CPT0078510003	Tumor	PDC000127
CPT0066470004	Tumor	PDC000127
CPT0065450001	Normal	PDC000127
CPT0079000001	Normal	PDC000127
CPT0092800003	Normal	PDC000127
CPT0006900003	Tumor	PDC000127
CPT0015910003	Tumor	PDC000127
CPT0020130001	Normal	PDC000127
CPT0089480003	Normal	PDC000127
CPT0007470001	Normal	PDC000127
CPT0064400001	Normal	PDC000127
CPT0088920001	Normal	PDC000127
CPT0092730003	Tumor	PDC000127
CPT0077110003	Tumor	PDC000127
CPT0086030003	Tumor	PDC000127
CPT0025290003	Tumor	PDC000127
CPT0012550003	Tumor	PDC000127
CPT0018250001	Normal	PDC000127
CPT0017450001	Normal	PDC000127
CPT0077320001	Normal	PDC000127
CPT0077500001	Normal	PDC000127
CPT0092310003	Normal	PDC000127
CPT0079480003	Tumor	PDC000127
CPT0006530001	Normal	PDC000127
CPT0065430003	Tumor	PDC000127
CPT0019160001	Normal	PDC000127
CPT0081620001	Normal	PDC000127
CPT0063320003	Tumor	PDC000127
CPT0078670001	Normal	PDC000127
CPT0089460004	Tumor	PDC000127
CPT0007320003	Tumor	PDC000127
CPT0088690003	Tumor	PDC000127
CPT0010160003	Tumor	PDC000127
CPT0014450004	Tumor	PDC000127
CPT0025920001	Normal	PDC000127
CPT0076350001	Normal	PDC000127
CPT0015730003	Tumor	PDC000127
CPT0025350003	Tumor	PDC000127
CPT0012370003	Tumor	PDC000127
CPT0012280003	Tumor	PDC000127
CPT0009080003	Normal	PDC000127
CPT0079410003	Tumor	PDC000127
CPT0075560003	Tumor	PDC000127
CPT0001230001	Normal	PDC000127
CPT0079510001	Normal	PDC000127
CPT0066430001	Normal	PDC000127
CPT0001540009	Tumor	PDC000127
CPT0078990003	Tumor	PDC000127
CPT0065810003	Tumor	PDC000127
CPT0010120001	Normal	PDC000127
CPT0086870003	Tumor	PDC000127
CPT0075170001	Normal	PDC000127
CPT0000640003	Tumor	PDC000127
CPT0065870003	Tumor	PDC000127
CPT0088780001	Normal	PDC000127
CPT0086970003	Normal	PDC000127
CPT0079300001	Normal	PDC000127
CPT0092740003	Normal	PDC000127
CPT0085670003	Tumor	PDC000127
CPT0081880003	Tumor	PDC000127
CPT0013790003	Normal	PDC000127
CPT0012290003	Normal	PDC000127
CPT0087050003	Normal	PDC000127
CPT0009060003	Tumor	PDC000127
CPT0023690003	Tumor	PDC000127
CPT0001220008	Tumor	PDC000127
CPT0088480003	Tumor	PDC000127
CPT0026420001	Normal	PDC000127
CPT0079430001	Normal	PDC000127
CPT0000890001	Normal	PDC000127
CPT0086370003	Normal	PDC000127
CPT0025580004	Tumor	PDC000127
CPT0081990003	Tumor	PDC000127
CPT0025060001	Normal	PDC000127
CPT0075130003	Tumor	PDC000127
CPT0000660001	Normal	PDC000127
CPT0086820003	Tumor	PDC000127
