,MinDiff,MinDiff,MeanDiff,MeanDiff,MaxDiff,MaxDiff
,mean,std,mean,std,mean,std
FedProt,0.00E+00,0.00E+00,8.93E-16,1.19E-16,1.44E-14,5.58E-15
Fisher,7.20E-06,4.83E-06,4.58E-02,3.83E-03,1.52E+00,3.79E-01
Stouffer,1.18E-05,1.02E-05,5.74E-02,5.57E-03,1.57E+00,3.29E-01
REM,1.67E-05,1.51E-05,4.12E-02,4.46E-03,1.82E+00,5.38E-01
RankProd,5.31E-02,5.90E-02,6.67E-01,5.72E-03,6.68E+00,1.29E+00
