,MinDiff,MinDiff,MeanDiff,MeanDiff,MaxDiff,MaxDiff
,mean,std,mean,std,mean,std
FedProt,0.00E+00,0.00E+00,4.20E-16,1.28E-17,1.23E-14,1.25E-14
Fisher,0.00E+00,0.00E+00,2.19E-02,1.02E-03,1.21E+00,9.47E-01
Stouffer,0.00E+00,0.00E+00,2.19E-02,1.02E-03,1.21E+00,9.47E-01
REM,0.00E+00,0.00E+00,4.99E-02,2.33E-03,3.57E+00,2.34E+00
RankProd,0.00E+00,0.00E+00,2.19E-02,1.02E-03,1.21E+00,9.47E-01
