,FedProt,Fisher,Stouffer,REM,RankProd
1,5.793239564539378e-14,4.382155405194385,4.382155405194385,1.8449713795559728,4.382155405194385
2,5.5852585728605625e-14,4.814590774734304,4.814590774734304,2.062531291132006,4.814590774734304
3,5.4109681107793365e-14,6.309874923315939,6.309874923315939,2.0278905972148484,6.309874923315939
4,5.458392793157627e-14,4.475242139386837,4.475242139386837,2.0714770826388347,4.475242139386837
5,5.069073131674187e-14,7.614007824359074,7.614007824359074,2.0646218805220284,7.614007824359074
6,5.593458600243904e-14,4.660517807261314,4.660517807261314,1.9829934226437282,4.660517807261314
7,5.3643492486984866e-14,4.610107115479317,4.610107115479317,1.9520807766425763,4.610107115479317
8,5.617917799555446e-14,4.545256745701556,4.545256745701556,1.9409237273148077,4.545256745701556
9,5.602729448209276e-14,4.698590748384907,4.698590748384907,1.9169934388212257,4.698590748384907
10,5.84895183003059e-14,4.89693443337393,4.89693443337393,2.268566364749116,4.89693443337393
11,5.5082042326396105e-14,4.401379457149692,4.401379457149692,1.9840280059095516,4.401379457149692
12,5.520129027117425e-14,4.425935038586164,4.425935038586164,1.8621540575951103,4.425935038586164
13,5.6372164705351666e-14,4.454426998316351,4.454426998316351,1.9184368853737819,4.454426998316351
14,5.6352835288094926e-14,4.566439627058296,4.566439627058296,1.974237023266544,4.566439627058296
15,5.713789937546926e-14,4.6860399821674985,4.6860399821674985,1.8927546080154511,4.6860399821674985
16,5.73480108909968e-14,4.5705003134348186,4.5705003134348186,1.9259263799070752,4.5705003134348186
17,5.750813910411716e-14,4.986370702817334,4.986370702817334,2.1970172763774145,4.986370702817334
18,5.612989381531314e-14,4.5923305703263235,4.5923305703263235,2.008012158248535,4.5923305703263235
19,5.86816719905076e-14,4.7024002456603435,4.7024002456603435,2.0300563646961294,4.7024002456603435
20,5.621148924868578e-14,4.544149582151776,4.544149582151776,1.8569825221669196,4.544149582151776
21,6.02035715697293e-14,4.7729339232974635,4.7729339232974635,2.2453853605375795,4.7729339232974635
22,5.821342620734824e-14,4.798102086431095,4.798102086431095,1.9691393967563715,4.798102086431095
23,5.1090352784282527e-14,4.177645458935677,4.177645458935677,1.7435851931092905,4.177645458935677
24,5.893951001808144e-14,4.424608058050334,4.424608058050334,1.862592750868775,4.424608058050334
25,5.692678903806272e-14,4.76387073308723,4.76387073308723,2.047933947123278,4.76387073308723
26,5.639415071570309e-14,4.643344564592101,4.643344564592101,1.8830517337490298,4.643344564592101
27,5.808763692136276e-14,4.662890420608098,4.662890420608098,2.0617392170534723,4.662890420608098
28,5.4311189585391834e-14,4.855846199690884,4.855846199690884,2.0077009016438336,4.855846199690884
29,5.567340342780669e-14,4.549139208519052,4.549139208519052,1.9505646631868314,4.549139208519052
30,5.6417123161788885e-14,5.230011588561404,5.230011588561404,2.0635415366445717,5.230011588561404
31,5.4702660216689965e-14,4.504373273480256,4.504373273480256,1.9134102848971608,4.504373273480256
32,5.833839893475117e-14,4.900785992315536,4.900785992315536,2.2067005036726592,4.900785992315536
33,5.5622437717525113e-14,4.8163238575935114,4.8163238575935114,2.1205067891038034,4.8163238575935114
34,5.566075341171047e-14,4.503785743781971,4.503785743781971,1.8867376984005848,4.503785743781971
35,5.4689802534751077e-14,4.373129634650349,4.373129634650349,1.8755354997209055,4.373129634650349
36,5.663522901557872e-14,4.538118848325368,4.538118848325368,1.9471406985875905,4.538118848325368
37,5.431059104770353e-14,4.339306658381013,4.339306658381013,1.8583874787625,4.339306658381013
38,5.5115703313388374e-14,4.648856804263498,4.648856804263498,2.0083818158213047,4.648856804263498
39,5.751677576133391e-14,4.675710404398221,4.675710404398221,2.118180561772624,4.675710404398221
40,5.754118981771227e-14,4.7892559294347485,4.7892559294347485,2.077873206762871,4.7892559294347485
41,5.424767609905429e-14,4.43784951351999,4.43784951351999,1.802997232011982,4.43784951351999
42,5.486114274053008e-14,4.375385656272873,4.375385656272873,1.8746527359274838,4.375385656272873
43,5.553366460845402e-14,4.581352230048965,4.581352230048965,1.9145460187748113,4.581352230048965
44,5.116535370918829e-14,4.198373312297392,4.198373312297392,1.716455733900243,4.198373312297392
45,5.872328610636857e-14,4.950044469151073,4.950044469151073,2.1363605869392126,4.950044469151073
46,6.062077983295387e-14,5.055286405878354,5.055286405878354,1.9868740667626799,5.055286405878354
47,4.990428841634442e-14,4.16374009314044,4.16374009314044,1.8635310447958588,4.16374009314044
48,5.989424717431948e-14,4.748601614251741,4.748601614251741,2.0372833076537638,4.748601614251741
49,5.756690409368536e-14,4.617996150643982,4.617996150643982,1.9572357098717375,4.617996150643982
50,6.098446174451953e-14,4.843670073473708,4.843670073473708,2.169361796490664,4.843670073473708
