,r,r,rho,rho
,mean,std,mean,std
FedProt,1.00E+00,6.66E-16,1.00E+00,0.00E+00
Fisher,6.54E-01,1.99E-02,5.92E-01,9.26E-03
Stouffer,6.54E-01,1.99E-02,5.92E-01,9.26E-03
REM,8.85E-01,1.09E-02,8.70E-01,5.63E-03
RankProd,6.54E-01,1.99E-02,5.92E-01,9.26E-03
