Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P06276	569120	533050	502100	686610	511230	582810	587800	634240	442650	573260	481610	494930	495580	538220	406530	418270	345740	394770	407180	397090	432480
A0A075B6S6;A0A0A0MRZ7;P06310	15526	26773	30827	8329.7	33711	15409	24848	20786	26425	15296	9624.4	13664	11360	14371	19983	10670	12153	11617	10586	11001	12361
P06312	53226	176310	112480	59326	109410	54494	185940	93115	107420	85609	48022	70598	56305	81733	134960	52387	84365	55762	52546	73581	61953
P06396	3312900	4842100	3883000	3566400	3029200	4533600	3821400	4092300	4975400	3798200	3993600	4680100	4746100	5523400	4642600	5505400	4150600	4053900	4046100	4474200	3783800
P06681	1761600	1594700	1599700	1415000	1516500	1934700	1721200	2140300	1846600	1591500	1736400	1463400	1542900	1868500	1633900	1763600	1447100	1633000	1454800	1717500	1479200
P06702	207280	143200	142020	137400	138330	167780	143960	283160	181930	216950	152410	176450	186000	189050	163120	155400	219060	147660	153540	160600	187640
P06727	7754400	7352900	6019600	7084100	7544300	11097000	5023000	9326700	7312400	7403600	8232400	4516100	13046000	4918500	11189000	6941700	7091100	4136100	10143000	4293900	5790400
P06733	91691	80784	80016	70605	69076	78555	92404	132560	93958	91678	95996	83473	115420	103050	103910	89881	133100	97403	138190	92521	93432
P06748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15951	7588.9	16769	17979	18140	16653	20706	18472	14850	17156	10207
P06753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P07195	522400	249050	368570	365720	292370	397780	310780	392160	384060	359930	210290	209470	284830	245500	276330	269630	311460	230210	303100	250380	196040
P07225	2580500	1484800	1526900	1350600	1709400	2628000	1602200	2036100	1586000	1859600	2597900	2206600	2526200	2639900	2157700	2345600	2181800	2161900	2280100	2482000	2271200
P07237	26302	29129	22030	21344	18065	35458	27028	30189	23422	26182	56908	41625	54991	62318	83484	63252	79817	55016	54530	60800	42837
P07307	75446	31968	29831	51632	28215	62005	31239	55358	32147	45881	41043	28363	61608	30824	67366	30849	63627	26882	35958	26497	43398
P07333	14258	16621	15393	17906	15699	19631	18268	18215	17498	15412	30704	26989	38184	40502	35435	34380	33253	38311	27607	32053	29085
P07339	58519	42450	42695	40151	38607	46092	47179	56302	49416	48978	93088	64732	80206	99791	86456	75735	96735	86710	87515	112570	71101
P07357	1589900	1570500	1713600	1508800	1593000	1763200	1953400	2576000	1820900	1690800	1663500	1580100	1327300	1734300	1438200	1799600	1195100	1719100	1708500	1769200	1377700
P07358	1286500	1404700	1462100	1157900	1274500	1543500	1566700	2163300	1437800	1456300	1507700	1400800	1343700	1559700	1368800	1594700	1223900	1659500	1669600	1702600	1217600
P07359	262690	245640	250840	249640	132870	189330	205210	293840	204350	209540	256430	371840	419110	313290	314940	292730	301730	282750	254930	259500	262340
P07360	655790	605870	694740	552630	603060	710720	761010	1029600	679400	687540	889860	747620	725050	945020	683380	905640	688610	991420	964830	1018800	760140
P07437	11920	14271	13854	14886	15269	19944	10386	18636	16516	16306	3321	2650	5104.8	2876.8	4063.2	3570.4	3595.3	3502.6	4672.2	3178.1	2814.7
P07602	76422	49943	50768	53329	48813	67193	53750	81233	53604	60517	30002	27282	31335	29487	37835	27133	32451	32708	27384	27577	27623
P07737	116870	111810	131070	115840	98851	144060	117480	338140	143350	154250	82988	88533	142810	110860	126830	111850	100250	127820	129880	116590	96430
P07942	24126	22684	23612	21344	20917	23292	23848	23222	24276	20552	32200	25662	38026	36830	34102	31650	41332	34071	31137	32658	29798
P07998	94275	33084	30461	31507	30533	60581	34020	78252	40352	60692	47807	40629	38762	38976	158520	36310	111020	36114	37924	28005	54681
P08123	5436.8	2996.3	2240	3858.5	2672.9	3753.6	2586.4	4173.2	2576.7	3325	9201.8	9037.3	17644	9316.4	11295	7344.2	9615.3	9126.5	7396.7	5985.5	8605.4
P08174	61485	30179	29725	31017	25836	47423	27937	46052	33010	40691	38647	40789	79176	39018	73273	39097	93440	34900	42967	36125	46775
P08185	634970	1100700	962960	1186100	873800	806740	897570	890550	1042000	886660	559710	729000	473100	798600	525050	704400	424620	686060	641190	780380	543290
P08195	26334	39547	39454	25276	31153	32752	40367	34289	39814	29359	55106	61071	65031	59802	74622	64887	84095	50164	55823	59970	45021
P08238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12297	5910	13997	11885	14361	11505	21010	12002	13904	12592	7303.1
P08253	161960	142520	133260	165080	96975	142520	125530	124810	159760	139570	115200	124140	167880	136300	160140	151760	167840	124060	124090	124930	129950
P08294	51789	38886	43949	39856	37789	44863	60006	56331	40690	35074	51295	48579	54074	50826	65304	53128	62279	54552	50159	48934	48179
P08514	61285	69730	82545	56563	55818	60060	63621	98186	73493	58549	44478	61013	64226	66327	53958	58176	50426	89533	56779	63048	50197
P08519	1290300	912120	697310	1167100	1817300	850360	989460	841150	693710	1248100	1805800	2454000	895700	902570	2256100	783860	817410	761490	2007200	726960	1098100
P08567	24044	27271	26771	29758	19393	25291	25686	39628	26868	30537	39366	42640	55499	46831	43324	41062	43381	51026	58279	41134	37212
P08571	399580	424520	378080	403030	381520	512780	419180	564940	439590	417070	570220	516040	493470	650900	609190	533970	525740	538720	529460	571500	522580
P08603	12873000	10253000	10182000	12825000	8795000	13009000	10751000	14641000	9796500	12086000	12633000	9533500	10622000	10739000	8716000	9558200	9124600	10143000	11225000	9327700	9971900
P08637	78528	78227	79598	82780	90790	79090	82049	150080	97019	82126	53189	69572	47523	47074	58824	55350	56229	49674	57762	44117	55438
P08697	929800	1156300	1284000	1056300	1153400	1484000	1239900	1171100	1396700	1122500	1053400	1164300	1081500	841360	1086900	1004500	1071500	861670	922780	990840	982820
P08709	29960	29744	35228	35997	33922	38780	38367	38886	35724	33201	15180	17592	16216	17608	21014	18952	19569	25209	17559	21355	16426
P09104	8211.1	4916.6	5215.2	6712.4	5917.2	5290.5	6052.1	14110	3743	5381.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P09172	662300	611220	488890	524740	326280	415860	438770	445820	728810	453250	264960	188180	308170	280220	252090	399190	227860	308440	235030	294970	258310
P09486	156720	152010	161780	146370	130550	155260	145390	200140	142140	164200	105960	136710	92029	137650	80487	117920	78037	119470	86229	95441	99580
P09871	2255100	2055900	2043000	1992700	1564500	1990100	2060200	2394000	2257600	2006600	2358100	1757300	2356000	2353900	2240900	2213100	2425200	2134100	2113200	1977100	2042300
P09960	8609.2	8107.4	8082.7	8535.9	7081.8	6401.4	9433.6	11064	8733.6	8579.2	11391	10671	13319	13413	13728	14773	12729	13021	12141	14198	12266
P0C0L4	235980	168270	161980	207260	137910	263470	248890	185800	168600	193430	315220	201130	319530	327550	219010	337720	268970	249310	179030	245670	307990
P0C0L5	19775000	13159000	13030000	14435000	9594000	17618000	20561000	15852000	11653000	14558000	11219000	9982200	12965000	10353000	10162000	15059000	10970000	10279000	7877400	10168000	11329000
P0C0S5;Q71UI9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227520	87637	233860	216390	227480	217030	236660	199810	194240	212180	122400
P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38497	19438	30900	44714	45452	40275	32522	41914	35696	27861	22550
P0CG47;P0CG48;P62979;P62987	182410	155020	142770	149790	122400	152690	141310	304560	164710	178960	229570	138150	301510	252640	403400	223240	431790	234600	334290	253920	191000
P0DJD7;P0DJD8;P0DJD9	2308.3	982.43	595.92	1265.7	782.61	4577.4	970.8	1635.8	1332.5	1714.3	13999	12747	25303	14512	33992	12795	20893	13634	15047	13199	16290
P0DJI8	60666	38913	51618	46460	52022	41970	48635	58505	39331	123630	59764	36086	46406	46780	55361	92698	61891	62783	65898	55765	98314
P0DJI9	6458.8	8483.6	6106.3	5590.9	6136.4	11128	7992.6	15250	7774.2	22363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0CF74;P0DOY2;P0DOY3	482080	1480400	1271400	363090	973450	479070	1663300	839980	1178300	665420	319520	552850	488020	605390	954970	435520	788420	478930	380700	437440	440100
P0DP23;P0DP24;P0DP25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18556	15235	25460	23432	22821	22556	27723	21122	32826	23576	17332
P10124	126590	145990	177170	123370	140440	141630	132980	187700	175270	135470	94807	153610	118440	67599	84690	94244	98346	133510	98121	85199	101500
P10412;P16402;P16403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16778	6344.2	15334	18948	19495	17271	18691	16525	15342	14204	7815.9
P10586	5615.6	4627.8	4252.5	5814.9	4182.3	5507	4109.1	6330.6	5301.6	5686.2	45946	35560	51027	46977	40969	38826	51653	34617	39506	32662	42144
P10643	3258100	2807100	2626400	2502200	2277100	3028100	2687400	2212000	2890800	2601700	2994700	2973000	3253000	2336300	4268100	3213100	3412000	2953000	2746800	2652700	2853800
P10645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2063	1597	3264.3	1994.2	2056.2	1633.5	6146.6	1645.3	1563.1	1771.1	2386.7
P10720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19946	17526	20739	17865	16457	19065	16330	18947	16605	17080	18342
P10721	117320	135450	113830	113110	76979	111470	99441	143620	121750	108810	137640	147640	139300	145260	121140	154290	132980	158110	115370	125190	122850
P10909	1992500	1805000	2090300	2553800	1927200	2181600	2103700	2184100	2103100	1934100	2519500	1795600	2631700	3166900	2777900	2842100	2585200	2698600	2411100	2647800	2236700
P11021	425030	368410	375800	399140	301290	415670	358830	509520	387030	359050	328550	264140	349060	333160	333680	324660	322400	312290	297040	299400	245440
P11055;P13535;Q9UKX2;Q9UKX3;Q9Y623	5005.9	8207.5	6839.4	7899.6	8221.7	5900.3	8026.5	8330.9	7976.4	7040.6	20346	21710	27231	28611	32707	32840	19468	29649	21089	30537	17483
P11142;P34931;P54652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9021.7	6183.8	8834.1	9335.9	10124	8552.1	11472	8828.8	10419	9365	7149.4
P11226	454860	278820	235490	290870	251440	359390	587490	518600	186450	359600	324970	652250	551320	169760	250530	300720	570840	205970	327510	335170	354190
P11279	49916	43878	42038	38915	41170	35347	42987	56984	41017	34377	29164	24448	24361	32702	24169	27097	22243	28131	24558	26731	21502
P11362	8311.7	9625.3	9890.3	8044.3	6726.7	9207.5	8396.4	8110.6	10391	9069.2	24658	29186	28450	29538	30633	33551	26642	28999	25641	27610	24627
P11597	167040	247950	213100	274850	190170	218410	174460	223210	247650	171740	249270	200930	239550	205800	232130	283260	209180	234630	236000	214700	189600
P11717	20748	24745	24692	26199	23467	113940	67443	49337	50619	26720	21667	28670	26319	26817	25548	24925	120500	67366	45131	54641	23218
P12109	18241	14055	15520	17881	14619	18199	22337	22294	17571	14971	7830.3	7811.6	6739.7	8520.4	9579.8	9137.6	6037.3	12593	6664.9	5718.3	6737.8
P12110	3583.1	3282.8	3049.8	4269.6	3905.7	5618.5	22419	3901.9	6628.2	3399.1	2759.8	4289.8	3916.8	4217.8	4312.7	4852.9	5562.3	21266	3478	4939.2	3029.1
P12111	252920	217650	187980	205360	157240	231730	191560	239610	216220	212060	222680	240880	323930	231540	507880	271800	316940	216100	227520	235380	251030
P12259	1791700	1229100	1241400	1313400	1168100	1652700	1283200	1693900	1299000	1559400	1739900	1629900	2019500	1781300	1679500	1698300	2242600	1977800	1878400	1673100	1857600
P12814	4058.7	4217.3	3625.7	4662.1	3564.5	4002.4	4482.5	6322.9	3902.6	5181.2	13111	18067	17654	19867	18527	17102	14924	25587	23111	18150	15301
P12821	30182	29589	31818	28064	25524	24349	34679	32619	31120	31049	88159	89200	188830	112130	142240	96915	81646	169920	92400	92907	103590
P12830	98712	64483	61338	65356	59388	91813	66230	91956	73914	77397	115580	84013	148230	104580	167630	93725	161360	88792	107000	89167	101980
P12955	93985	114680	95078	91299	83764	123520	112150	94188	109710	86503	320780	350740	321120	391510	318410	412010	297550	387130	357330	380750	292290
P13473	21744	24251	24136	23416	21270	20278	23869	25679	23799	21117	37101	27636	37321	39069	33913	41576	33482	40420	33886	40989	29558
P13497	1390.2	1684.5	2223.9	1818.5	1954.2	2139.7	1778.2	1696.2	2195.4	1722.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P13591	243050	246090	229610	249990	207590	310370	282880	227010	249960	260040	365850	369140	447150	403440	346210	374710	349110	298560	369710	304900	326640
P13598	58055	88812	89128	66306	72551	67062	80045	77957	84130	68378	45431	86556	53291	61845	57229	62998	47921	49408	42386	40604	51057
P13671	4263800	3513500	3078000	2744700	2715500	3190600	2975200	3386500	2365400	2889700	2645000	2931000	3005800	3086200	2995900	3370400	2500100	3109900	2732300	3122500	2745000
P13727	25325	26152	28035	24911	18074	25795	26872	29028	24781	25897	113370	130960	162980	116090	156710	135210	157470	115860	134880	106220	111660
P13796	598920	650330	568530	519440	507070	488040	578510	668730	621720	499100	384890	410760	421380	510510	390660	481930	366690	459570	478600	457190	377270
P13987	183590	31590	30076	31355	26967	77770	27862	82501	41086	65106	66409	54249	63138	52587	186750	47143	200140	45513	55391	39727	75349
P14151	446430	558440	569810	473380	483040	477810	506480	556120	543740	449620	356790	527810	331920	387380	319950	460530	392400	351680	400240	346870	309590
P14543	270090	193350	195110	176030	143380	276490	175410	262460	210590	231160	137130	112750	119980	121030	122580	117880	133310	148720	122110	104960	112750
P14618	9293.1	8585.8	9154	8460	6136.9	9901.3	9258.9	12175	9811.6	7930.4	35568	33372	44672	36863	42809	38576	43773	43782	52998	36690	31011
P14625;Q58FF3	194580	149050	118430	181410	102820	314110	121000	178450	127740	128270	131340	116320	205960	296270	184520	155180	156700	151970	125030	151690	121240
P14780	176400	140230	167260	107070	159270	201310	103800	218110	138630	138320	138800	154320	141230	152780	204750	190110	143950	154550	141910	132220	159960
P14923	5709.7	5024.3	5764.7	7616.8	6698.8	6300.1	7957	7602.7	6202.6	8181.1	17390	19176	19446	21803	22552	21024	23053	20532	16415	18592	16785
P15144	287200	311630	318980	309580	250820	300970	300920	333580	323560	288600	350880	422470	374550	418510	550540	570830	390680	417670	419580	439140	342140
P15151	94598	94586	92379	95238	83957	104220	95998	121910	89410	94258	71346	71526	71749	73348	80225	84223	91359	70760	69597	83620	61256
P15169	968690	761620	752230	948390	740030	728760	745180	921060	705700	866750	894660	659710	763440	750800	744120	749640	759740	820230	776800	799010	691890
P15924	22282	23518	24975	26947	23272	34381	31816	26150	22313	27038	83315	60285	91355	91735	90720	84127	123980	87039	74600	87173	71874
P16035	62605	51667	50917	56710	36632	50872	40818	48597	53116	46602	30726	31931	37131	36882	35694	35779	38920	29554	27662	28226	31027
P16070	272130	185360	162520	248860	145820	249360	189760	272380	157860	204610	95510	110970	134910	83190	101460	86296	113910	74669	90700	57639	97210
P16109	22372	19109	20412	21649	16910	19760	15574	35929	22722	21828	3332.2	4125.9	4784.4	3312.4	4252.2	3715.8	4222.6	6185	3826.8	3952.8	4342.3
P16930	23422	23549	23069	18940	19381	19957	49776	22157	26309	20870	29041	18123	21051	26410	25346	15098	19341	24374	29704	24657	20062
P17813	27786	34506	30435	31602	28669	31303	28802	32780	33423	28086	12712	16149	17370	15738	15347	18418	14996	15571	13256	15767	12962
P17900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41068	23201	49772	36334	75835	33171	78786	32985	32684	33285	36061
P17936	470310	755350	645070	810340	643950	704050	754090	795160	662540	662460	461810	539450	563800	539790	627090	487200	392610	493660	423960	464930	422160
P18065	504250	171970	172350	206230	141070	280810	168310	221270	256570	289700	162980	150970	250960	202310	299750	210060	427830	211300	163630	223610	215840
P18206	65542	68597	59849	57978	47732	68604	64401	90452	67516	66207	56895	69195	69142	74443	119400	74370	74143	90823	94352	61467	64693
P18428	191890	180020	175480	195160	180380	276820	212840	288220	225130	190420	165280	95368	117790	140660	101090	139840	119270	113640	150370	156570	120230
P19022	17608	13547	12008	13981	11008	12571	12665	16712	14883	14572	27454	15518	29520	24420	26585	23833	32990	25775	21763	25320	23732
P19320	288760	209100	189970	227650	171460	229530	209840	234440	216860	231060	334070	352720	410720	294690	447870	420790	583140	319590	405370	321940	381570
P19652	359350	496400	395030	177700	552980	532150	651650	861190	435430	447280	275510	490190	205500	378920	307360	335080	262210	284330	303540	437900	348300
P19823	6953800	6130400	5497500	7279700	5529400	7481300	5369500	5034900	5975200	6165900	6456500	5783400	7935800	5757800	5927200	6624400	7120800	5495100	6167500	6053000	6425900
P19827	4751600	4843800	4513500	5898100	4148700	5673500	4725800	3806600	4547700	5401200	3677100	3474800	4229700	4036500	3223300	4056800	4036900	3571300	4188200	4093600	3746000
P20742	892770	1091000	1116400	3701800	1207800	1345000	1581500	3451700	1023500	1413500	922170	538010	906590	647550	746560	4560000	959700	2712100	1620100	1082400	1594200
P20851	2470400	1401400	1434700	1428300	1626000	2316300	1499400	1989000	1458700	1624100	1430600	1206300	1370400	1336000	1188900	1273000	1204400	1219000	1271400	1275000	1208700
P20908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77496	67047	81456	59447	121000	66032	98040	58222	78887	68740	63155
P21333	221500	212360	220640	171250	155430	199840	182710	558990	248590	228190	297780	397310	608130	456860	466850	429570	364290	562060	471310	444070	358770
P21926	18831	23355	30869	39442	16894	17683	21176	86048	30939	22713	17266	30284	42640	36993	24556	26745	16766	52064	26337	34153	23121
P22105	498690	601640	539140	430640	470640	475900	571040	583690	598390	489850	427980	535790	516330	557850	672360	549580	567190	491670	439120	482030	467240
P22352	300130	444370	367530	458110	332550	379280	445290	289220	417120	363180	321970	391490	421580	471780	267490	453370	410610	383930	395760	329910	354040
P22692	84997	60759	58062	65577	57605	83895	61964	81206	58276	69011	136750	133990	134060	132740	205000	127040	168070	117050	120940	119700	130870
P22792	1888300	1468500	1453700	1422900	1440700	1329700	1562400	1828300	1421700	1431700	1696500	1205500	1186900	1389800	1067200	1212500	1150500	1459800	1238200	1496200	1194800
P22891	235930	217540	248980	314730	240540	283910	285720	181050	205030	225090	179900	189250	319280	265450	304340	229610	255390	314200	329090	265720	222620
P22897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P23284	18254	13363	18586	12820	12841	14414	9893.3	43390	17035	16351	2317.3	2237	3961.4	2242.7	2406.7	3233.4	3186.4	2946.1	2886.7	3045.2	1856.8
P23470	84730	70680	66459	90954	59765	86348	69371	79227	74576	78526	40940	48768	60982	44244	52680	44338	55273	39313	42197	37800	48619
P23528	36800	39070	34040	27046	23446	53741	31759	91799	44259	45564	64527	77541	97268	87171	83084	82285	65063	86574	98277	66556	75581
P24043	11644	10294	13418	28701	13193	9167.7	10239	17748	8149	5210.1	5245.7	6361.8	6197.5	6377.6	6186.6	6535.1	6515.5	5859.6	5481.8	5127.5	5170
P24592	121280	136450	147580	121510	156610	162120	143200	153550	150560	111990	69926	58292	84864	70326	91197	76985	73715	63321	61688	68453	62849
P24593	26149	27976	27570	33689	26504	32645	31911	33287	27650	29342	24581	23644	29418	28758	28459	26025	25928	26070	23336	25053	22122
P24821	118310	115840	101470	86931	91070	103680	112760	112120	104150	100320	67477	68750	79569	63575	81349	72075	119230	67554	65467	61637	65908
P25311	3500400	3196900	2978700	3422500	2936100	5680100	2607200	3938900	2767000	3955200	3908100	3378500	3892200	3683200	4335700	3139600	4579000	2210600	3071800	3149200	3410600
P15311;P26038;P35241	59402	57375	56517	47615	48763	50745	57938	84840	60107	58099	63390	69509	82268	77789	74465	79046	69537	95867	85053	90916	67346
P26447	85952	70785	68266	82552	59404	66115	71215	106190	88565	65825	68191	54686	69092	74350	42526	57787	77900	74851	143260	69865	63190
P26927;Q2TV78	627690	646510	724410	623290	590370	522580	730080	859570	756560	700010	638700	613330	495750	560010	564450	542520	490350	407590	562880	508840	508240
P27169	456850	807400	604670	705300	624140	591810	568560	676430	856140	677690	875380	784620	901640	745990	649870	844710	806110	1156200	1087100	904660	779560
P27487	70335	79853	66027	75738	58183	61126	97382	86288	99525	60865	89837	127530	91825	96009	112800	95131	92620	92353	95978	79024	80889
P27797	283360	77509	67925	89502	57407	148260	70008	137260	74888	127020	119560	98441	217430	89696	249380	86219	311110	78414	109510	79347	145510
P27918	380020	340950	302330	356030	301520	375190	381270	457440	336450	422720	629880	713360	533200	602530	522700	581030	582220	609070	515010	400890	628670
P28799	3114.8	2180.1	2110.6	2193.4	1783.8	2381.8	1789.4	2842.3	2523.4	1985.9	6169.4	7553.9	6025.7	7463.1	7665.9	6838.3	6225.4	7402.3	6893.3	5551.3	5634.1
P29279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P29401	2658.5	2239.5	1948.7	1850.1	1497.8	2683.3	2710.8	2707.5	2308.9	1963.3	92567	94395	121160	105220	114390	96888	124550	104820	132790	102430	87524
P29508	5697.4	7376.6	8536.6	4693.9	9704.3	7140.3	9373.1	9336.9	7267.6	4158.6	36921	28321	39547	34951	39196	43459	103230	35643	33965	34327	27349
P29622	1071000	1481000	1356800	1363700	1213600	1655800	1388300	1210500	1536500	1265600	1414900	1139800	1280400	1329800	1205600	1301600	1358200	1298800	1298400	1512100	1203500
P30043	11959	12429	10555	12269	10200	12880	13425	13872	12642	11598	26162	25161	19386	26467	29267	34819	19971	29840	29872	22360	29212
P30613	704.61	370.04	476.24	449.98	510.59	709.94	641.26	851.07	560.12	15212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P31146	11077	6160.8	4560.7	6633.7	4491.3	7926.5	7542.6	11114	6433	6666.4	4028.8	5311.4	9849.8	6655.9	8263.1	6074.3	6777.5	7476.5	11296	6289.3	7668.7
P31151;Q86SG5	62799	53635	59115	60060	51636	58987	60139	63062	62289	80485	227110	129750	222170	194320	267640	186730	759720	197940	157190	219760	148810
P31944	1584	1599.1	1548.6	1650.7	1711.4	2053.5	1679.5	1614.8	1827	1804.3	37959	29498	42774	49002	57233	39691	54018	35750	35772	39747	27307
P27348;P31946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3522.3	4435.5	2974.9	3662.5	5629.2	4617.1	3176.1	4706.5	3514.4	2800.7	3085.3
P31947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4751	2163.5	4127.2	4977.4	4705.1	4616.3	51570	4183.5	2432.5	3741.8	2842.8
P32119	242810	264050	255110	390140	236760	372900	306280	344480	427710	311610	281120	228560	264510	271300	207330	186050	291020	205950	828300	372580	247550
P32942	3983.5	5376.5	4350.1	4635	4761.4	5669.8	7258.2	6084.9	4973.3	4761.4	8782.5	10802	9180.4	10239	11109	10310	10614	9595.6	8346.1	8405.7	11235
P33151	367620	385730	398170	417360	367960	403270	532180	475580	434690	398660	401050	369550	557050	442230	410850	398370	499360	397930	400930	359570	353600
P33908	279200	244450	242280	241470	241410	284190	258200	366790	284990	272350	314900	260640	292620	309880	275420	336090	295650	325940	314420	316880	285680
P34096	24548	20893	16701	15072	18105	25867	22083	24358	21292	21203	34329	33303	27243	34682	49572	35405	48338	29105	28239	26850	33432
P35443	136000	132250	132450	117340	111580	129950	131040	180310	131250	129100	137720	126590	171840	154570	230600	147940	117450	153030	117650	120290	137140
P35542	381540	294410	285440	337120	308160	285060	273370	386470	305590	352910	593320	314680	448030	356150	480390	460570	439250	447020	465430	502830	434920
P35555	119320	79843	70146	86987	65269	89809	67523	93271	80810	86704	144060	147230	164620	133560	179250	137550	186930	137600	130350	124670	150570
P35579;P35580	3228	3352.3	3140.3	3331.5	3047.6	3961.7	3246	4176.9	4065.6	3537.3	3652.4	4010.2	5525.7	3847.5	3631.9	3558.8	4459.5	4766.1	5391.9	3835.1	3437.1
P35590	4489.5	5637.4	5404	4874.5	5170.6	5096.2	5640	6040	8022.3	5659.7	5089.4	3829.2	5368.5	5268.2	5088.1	4456.2	4160	4654.7	4480.2	4469.4	4046.8
P35858	585350	928860	896850	999320	865610	907730	900730	975260	887950	824480	852560	944900	990010	1078800	1062000	921730	825420	873680	837960	972460	825510
P35916	11828	16356	15369	18480	13854	14835	20296	17821	14398	13164	6418.1	4634.8	5293.7	5935.8	5004.2	6189	5779.1	5856.9	5974.2	5065.4	3991.7
P36578	8393.3	6021.1	7324.8	6748.5	6691.7	9059.4	6245.6	7048.6	9448.9	5612	12224	11066	8929.4	13496	8890.7	13222	13274	12618	13118	12931	10866
P36955	1182700	995700	940230	986630	1034100	2039000	1102200	2033400	1039400	1348100	2188700	1359300	1789600	1982800	2227200	1634400	1395500	1329600	1687600	1453300	1494600
P36980	504790	482450	412500	399480	381770	554640	387300	566640	530370	484310	471230	342380	194500	449030	539500	259670	467200	267920	311480	292840	398420
P37802	84491	77638	78632	85043	66020	81239	66532	283370	98327	106740	82290	99323	205840	133470	112950	120700	88303	145140	143480	110300	106730
P39060	74738	45345	46675	42418	50617	57452	48885	87211	48866	52084	26582	26059	25156	24996	43798	26504	42198	22625	20549	20340	25249
P40189	63579	77827	66754	47618	56227	65986	74588	73229	68740	62981	48767	48263	53111	55687	67831	58085	62266	52911	51737	52608	45611
P40197	210040	249510	234530	214810	204220	276090	217740	279590	246890	223020	186700	219060	218140	235760	206360	233040	202150	274080	184050	212610	207690
P40925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2852	2583.2	3861.6	3509.1	3707.7	4275	4418.8	3199.9	4012.4	3684.3	3612.9
P41222	227320	100430	94349	111860	90423	157700	102180	152200	107450	132810	85904	75812	99993	76347	255630	69318	143970	63727	82652	68546	95130
P42785	12643	7922.8	8509.2	7243.3	9282.7	11045	9230.2	14548	10158	11384	7017.5	6624.3	5704.4	7283.2	11192	8885.8	6147.1	7337.4	8520.4	4835.5	5490.5
P43121	113540	136460	110090	133740	94591	137670	118700	114030	132800	133440	199000	267070	252020	242100	203740	315270	307470	223540	210840	217790	228500
P43251	537790	602690	597890	707490	462230	685980	772420	669100	625040	674060	526110	453340	489780	626500	413380	547010	425520	477330	438050	506750	441610
P43652	2815100	3595100	3407300	3106100	3148800	4794400	4239300	3600700	3610900	3504300	3961400	2593700	2523100	3629800	2764400	3232700	2905100	3382600	2685900	3123100	2539200
P47929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18417	12541	21201	16125	20251	18379	65088	14489	16194	13119	13925
P48637	16137	18498	15615	17406	13653	15784	21103	18948	17565	17707	2541.8	2288.1	2413.1	3084.3	2817.2	2634	3319	2923.1	2682	2813.9	2318.8
P48740	1025900	1080700	1074500	1062400	948970	1206300	1037600	1328700	876460	1108200	1842000	1790500	1628400	1847500	1652900	1407200	1791700	1522100	1732200	1499800	1547700
P49747	151940	154450	135510	126580	115390	141940	161290	150380	171800	148580	195010	227880	242650	266610	289630	251560	222260	217090	195830	225580	220600
P49908	273560	248530	254870	300370	259170	328460	232440	299200	284130	250750	399450	366940	435440	468300	285720	415700	365080	543120	390460	514040	334610
P49913	55306	42130	48234	70088	77413	106450	46328	43181	55889	58025	161770	99489	90039	87952	134140	79887	139540	112820	110670	82310	110510
P51884	1666800	1346900	1219700	1296700	837150	1307800	1291400	1538400	1496000	1369200	1093200	997410	1030200	958040	1375200	1225400	813970	1120600	927090	967300	1062100
