Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
B9A064;P0CG04	431520	1098000	1017900	353810	777170	506060	1192700	655320	744180	548910	446110	604300	667250	815000	1174100	539600	1254200	585550	499510	604090	560880
O00151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16951	13570	23108	22854	17032	20140	17747	21113	23703	20256	15512
O00187	228980	203710	203590	244910	168000	273140	201120	290270	182750	242770	374580	312930	345990	359550	399580	277160	397760	299340	323450	272870	314420
O00299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10191	11745	14192	13495	13486	11490	12521	11877	19464	13138	10708
O00391	573090	604050	515920	516920	481440	606640	523240	573600	606180	499220	419190	408820	426910	447230	437870	410500	503330	408320	384900	383740	375090
O00533	336120	278740	223590	295630	203500	246170	235790	239110	247100	242760	142900	170260	164190	158270	160150	167440	163240	162630	159860	153110	142500
O00592	25802	25844	23486	20648	21264	28157	21861	25846	19489	20662	16012	16732	18380	19274	17499	18149	17912	15803	15910	13556	16803
O00602	51566	46444	49208	54517	42044	47521	41848	72079	47942	45343	13510	11732	11594	13440	12995	14507	10965	13953	16207	12958	11846
O14498	20836	15034	19447	21622	25130	24252	20618	21426	25643	17098	81667	33379	66209	93681	35497	74062	92394	90098	91835	90437	71461
O14638	170780	432130	305760	170840	243840	220070	182840	272070	270100	267470	268890	264500	314300	246900	275530	242600	441690	243960	229030	239820	235820
O14786	127510	127890	109760	117010	92427	110030	114240	115640	107650	103470	68973	75414	76725	72317	97632	88751	99513	77107	75062	74543	62002
O14791	607840	909000	1003700	946540	800530	841150	914510	1137800	741230	794220	1458100	707250	1023600	969210	1246300	939420	1054400	1480400	1082300	999850	944340
O15204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	695.74	856.55	885.09	1022.8	790.17	804.37	492.61	897.4	766.86	479.63	689.08
O43148	5329.6	4213.4	4579.9	9706.2	3706.6	4755.4	6334.4	10124	7648.3	7969.1	19559	35998	13700	13500	12981	20299	12398	9084.1	22503	14577	19363
O43493	94985	34158	31359	31928	28871	73113	33949	41938	36001	48393	53398	45026	69604	50265	84850	48930	84722	43746	48806	42690	51614
O43866	636420	960110	492320	509680	599090	530010	907920	715100	707600	563660	559930	707400	734730	542050	944110	516200	827150	485560	512980	491190	597220
O60279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6713.1	10491	6250.8	9364.2	8050.6	8100.6	7994.9	9621.2	5746.1	4629.7	7751.5
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q93079;Q99877;Q99879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75015	6374	6093.2	6777.9	5859.4	7650.5	7284.9	7341.2	16049	9523.3	7854.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75636	467650	467400	549240	442440	425930	551060	388370	705280	308640	501040	1035400	904160	743490	1068200	1183200	685060	867790	936480	796620	807740	650270
O75882	3423100	2922000	2626000	4048300	2451000	3084800	2739700	3275700	2923000	2997800	2588800	2384400	2585400	2397600	2164000	2744300	2078200	2434800	2298300	2339600	2221200
O76061	4510.3	3557.7	4068.5	3704.5	4456.3	4166.8	4939.7	5903.7	4987.2	2977.6	4374	4161.1	6179.3	4529.8	4849.8	3926.4	7612.8	4249.6	4525	3709.5	4309.6
O95445	279900	337790	330490	454230	297830	281940	349000	372310	348700	380870	489630	393420	447860	384990	462950	390580	535530	415920	413760	454170	430340
O95479	8213.7	7372.8	7456.3	8627.1	6040.3	7384.9	12032	17077	9575.7	19237	853.56	735.31	770.45	782.47	765.15	1046.5	524.37	794.58	976.74	997.25	586.11
O95497	38139	47057	46024	57226	47023	49163	53566	68305	44268	55344	53111	89899	79360	152140	59530	93713	57644	95178	128110	76667	79080
P00338	37194	27916	30078	28110	24688	27604	31961	34197	30294	28174	27366	24129	38343	30480	34004	34503	48465	30068	39010	27147	25972
P00441	59630	30261	29793	34810	28402	40294	32715	61613	36750	37390	25776	21895	33060	27919	55143	25514	45063	24306	41544	27245	27923
P00450	7354600	8043100	7306300	9807500	7237100	6433900	7423800	9844900	6852500	7521100	6859300	8867900	6453400	7893700	6745300	9040100	5995600	7665000	8067700	8188100	7098600
P00488	178840	248360	230510	335420	195620	219840	231460	219860	223860	243120	219250	260620	353710	229910	494230	231340	214480	464880	229520	249070	277210
P00558	28016	21509	20609	21963	15478	16920	20644	45722	29896	26899	26279	20454	30663	26182	29630	22509	32398	23852	44977	25458	22176
P00734	4798800	4636100	5186800	5841900	5084100	6229500	4803500	5985000	5696600	5098500	3998900	3728900	4509500	4851600	4498900	4468600	4026000	4718700	4052100	4599100	3855400
P00736	2774500	2476300	2376300	2316500	1919900	2391000	2471000	2869300	2691100	2369800	2786400	2239700	2740000	2764300	2665300	2688500	2971500	2695100	2544200	2355800	2579100
P00738	1272800	1968800	2511700	1555800	1570000	2979500	1940900	5210900	1673900	2127200	4127000	1377500	6992500	2825100	1016200	2126800	4817200	2600500	3706100	2594900	2864100
P00739	73266	62219	89434	130830	81200	64473	158900	114170	65546	88261	69827	70257	88302	125890	68798	90658	129400	67125	94461	74406	81969
P00740	495010	628080	584870	804880	571820	1054500	624520	634550	587580	656540	519370	323760	339860	391710	413440	340450	413340	362420	433270	293030	417920
P00742	571850	671500	628500	623580	657220	844610	735430	814800	604990	679670	859280	920370	808480	1117100	777950	848190	757220	737510	648180	905380	729790
P00746	292800	145420	155940	143990	145440	218280	147040	286490	180540	205140	307670	271440	303570	291140	511660	311310	386470	276020	289560	272120	300110
P00747	8338300	8685100	8262000	8891600	7281000	8920800	8590900	8624600	8443100	7950600	6770200	7811400	7290800	8885400	6568300	8355700	6445700	7479600	6796700	8821400	6959600
P00748	963080	816650	916540	1048800	1047100	925280	974090	1170100	1093500	1036300	804430	1174500	930800	1187200	899240	1120700	729770	859310	821990	669900	860640
P00751	7057100	5813400	5527400	5139100	5439100	5966000	6009700	8440000	5566700	5523900	9898700	7591200	7668400	9540400	5690300	9903000	5037000	10146000	11502000	8608900	6515700
P00915	273920	315180	307750	414250	254750	444370	362680	397910	442760	328520	519860	441880	485180	621230	501140	451590	594790	487320	1247800	716600	495570
P00918	74892	103270	98097	148400	86598	119660	113510	180990	149110	126730	136800	132090	144310	164700	153020	125380	176390	140660	335870	184840	142490
P01008	2083000	3640700	3597300	2828500	3539300	4066700	3925400	3383600	3598600	3147700	3342100	3607700	4321400	3102700	4267900	3787700	3352700	2853000	3023900	3741800	3101600
P01009	2896500	2837800	2441700	1928400	1776100	3042300	2258300	2864700	2505800	3107300	2391700	1754400	1816700	3779000	2045500	2139300	2349900	3352700	2538500	2265300	2346900
P01011	5662700	4648500	4657100	3434200	4169400	5275000	4815400	5556300	4809000	4581600	3869800	5140100	3540500	4643800	2952000	3924600	4984500	3801900	3724900	3577500	3722400
P01019	1685500	2039000	2081800	5130400	2242000	2921700	1897300	2263600	2619100	2338700	2121000	1836500	1660600	2326000	1729500	2169700	1774400	1820900	1794700	2569600	1997600
P01023	4920400	5722900	4673000	6471000	3473300	31370000	4207400	4985700	4500100	5147100	3761100	3317700	7441700	10738000	6467200	5240800	5213600	5100500	3381600	5647500	4608100
P01024	44113000	35978000	33262000	33917000	28632000	35524000	35347000	43199000	30969000	35584000	33827000	27936000	31417000	31591000	24431000	30363000	26051000	29947000	31197000	30714000	27272000
P01031	11773000	7425400	7623900	8786100	7483600	9010100	7566800	9237700	7555100	8633800	7259000	6020100	7195900	6741000	5896900	7647200	8592400	6174700	7296300	6541900	6387700
P01033	49135	36507	38028	39071	34903	40564	35077	56239	39041	47351	77357	78216	77540	64510	71577	69785	80147	71288	76793	57116	75503
P01034	690760	444590	443370	390540	424500	507770	408220	660430	484590	503140	234380	188370	197600	219910	511090	207600	644670	191640	208630	185970	246290
P01040	41006	42383	40358	40898	41495	43128	45899	43438	44033	53699	92773	47348	99398	85754	111790	81766	212800	76967	74377	78755	71171
P01042	6531500	6456400	7026600	6805800	5628400	6801400	6092300	6984300	7206800	5622000	5241600	3624700	4867600	5173700	4689800	5050200	4025900	4324600	4693400	4801700	3903100
P01137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20836	24032	22114	25785	23666	24294	24122	28037	19275	20724	19069
P01344	496610	577980	456110	592630	521520	840320	438620	742860	565410	565960	291440	224630	414410	222280	406060	254320	281160	159650	335410	190310	210190
P01591	126870	277020	177090	151060	171880	142020	266830	201720	181260	166550	35946	50129	63942	49941	90155	42453	69904	41041	48259	61975	47023
P01602	33566	68447	45187	34830	37650	33984	74143	57113	45843	44063	77625	91514	98794	110150	125680	128810	123420	98119	97705	98485	70853
P01619	12896	28969	19399	14168	20804	14120	26680	17334	22337	15490	4973.5	8696.4	6180.1	8611.7	14442	6854.9	11471	5240.3	9054.8	6934.1	6678.5
P01699;P01700	29575	71007	39946	23896	36047	28129	56149	31582	52547	32403	42398	49434	57065	55850	82196	49097	73221	48382	83402	55243	51304
P01701	41508	153040	88172	37308	53004	42330	65175	49329	92278	46080	54967	65853	51035	67716	77757	49325	69406	52003	58949	43948	48406
