Majority.protein.IDs	counts
A0A075B6H9	2
A0A075B6I9;P04211	2
A0A075B6K0;P01717;P01718	2
A0A075B6K4;P01715	1
A0A075B6K5;P80748	3
A0A075B6P5;A0A087WW87;P01614;P01615	2
A0A075B6R2	1
A0A075B6S2;A2NJV5	1
A0A0A0MS15	2
A0A0B4J1U7	2
A0A0B4J1X5;A0A0C4DH42;P01767	2
A0A0B4J1Y9	2
A0A0C4DH25	2
A0A0C4DH38;A0A0J9YXX1	4
A0A087WSY4;A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP07;P0DP08	2
A0A1B0GV03	2
A0M8Q6	2
A1L4H1	6
A4D256;O60729	2
B9A064;P0CG04	7
O00151	2
O00187	14
O00299	2
O00391	22
O00533	16
O00592	3
O00602	3
O14498	2
O14638	2
O14786	8
O14791	22
O15204	2
O43148	2
O43493	6
O43866	16
O60279	2
O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q93079;Q99877;Q99879	1
O75015	1
O75636	13
O75882	45
O76061	2
O95445	9
O95479	2
O95497	5
P00338	3
P00441	3
P00450	64
P00488	18
P00558	4
P00734	40
P00736	37
P00738	27
P00739	5
P00740	12
P00742	17
P00746	12
P00747	68
P00748	24
P00751	48
P00915	11
P00918	6
P01008	36
P01009	28
P01011	26
P01019	18
P01023	65
P01024	156
P01031	86
P01033	6
P01034	5
P01040	5
P01042	42
P01137	2
P01344	3
P01591	6
P01602	2
P01619	1
P01699;P01700	2
P01701	3
P01706;P01709	2
A0A0B4J2H0;A0A0C4DH29;P01742;P01743;P0DP01	2
P01766	1
P01764;P01768;P0DP03	2
A0A0B4J1V1;A0A0C4DH32;P01762;P01763;P01780	6
P01782;P0DP04	1
P01834	6
P01857	15
P01859	5
P01860	8
P01861	5
P01871	19
P01876	14
P01877	6
P01880	2
P02042	3
P02144	3
P02452	3
P02647	37
P02649	32
P02652	7
P02654	8
P02655	5
P02656	5
P02671	26
P02675	7
P02679	9
P02730	2
P02741	6
P02743	12
P02745	5
P02746	8
P02747	6
P02748	27
P02749	24
P02750	12
P02751	104
P02753	15
P02760	17
P02763	6
P02765	13
P02766	10
P02774	39
P02775	8
P02776	6
P02786	23
P02787	56
P02788	25
P02790	32
P03950	7
P03951	27
P03952	37
P04003	36
P04004	20
P04040	12
P04070	12
P04075	10
P04080	2
P04114	308
P04179	2
P04180	9
P04196	24
P04217	17
P04259	27
P04275	91
P04278	13
P04406	3
P01893;P04439	4
P05019	3
P05062	6
P05067	7
P05090	9
P05106	8
P05109	11
P05154	13
P05155	26
P05156	28
P05160	38
P05362	4
P05451;P48304	2
P05543	15
P05546	28
P05556	4
P06276	13
A0A075B6S6;A0A0A0MRZ7;P06310	1
P06312	4
P06396	44
P06681	37
P06702	6
P06727	48
P06733	6
P06748	2
P06753	1
P07195	10
P07225	30
P07237	6
P07307	3
P07333	2
P07339	7
P07357	25
P07358	30
P07359	8
P07360	11
P07437	1
P07602	5
P07737	7
P07942	4
P07998	4
P08123	2
P08174	4
P08185	12
P08195	4
P08238	2
P08253	14
P08294	4
P08514	10
P08519	35
P08567	2
P08571	13
P08603	79
P08637	4
P08697	23
P08709	6
P09104	1
P09172	15
P09486	6
P09871	29
P09960	4
P0C0L4	4
P0C0L5	100
P0C0S5;Q71UI9	4
P04908;P0C0S8;P16104;P20671;Q16777;Q6FI13;Q7L7L0;Q8IUE6;Q93077;Q96KK5;Q96QV6;Q99878;Q9BTM1	2
P0CG47;P0CG48;P62979;P62987	4
P0DJD7;P0DJD8;P0DJD9	2
P0DJI8	3
P0DJI9	1
P0CF74;P0DOY2;P0DOY3	3
P0DP23;P0DP24;P0DP25	2
P10124	4
P10412;P16402;P16403	3
P10586	8
P10643	47
P10645	2
P10720	1
P10721	8
P10909	25
P11021	16
P11055;P13535;Q9UKX2;Q9UKX3;Q9Y623	2
P11142;P34931;P54652	2
P11226	13
P11279	3
P11362	2
P11597	8
P11717	6
P12109	3
P12110	2
P12111	28
P12259	46
P12814	3
P12821	8
P12830	7
P12955	9
P13473	2
P13497	2
P13591	15
P13598	4
P13671	45
P13727	6
P13796	24
P13987	2
P14151	8
P14543	9
P14618	7
P14625;Q58FF3	8
P14780	13
P14923	7
P15144	17
P15151	3
P15169	15
P15924	12
P16035	6
P16070	4
P16109	3
P16930	2
P17813	5
P17900	2
P17936	17
P18065	10
P18206	9
P18428	9
P19022	3
P19320	14
P19652	5
P19823	38
P19827	33
P20742	35
P20851	13
P20908	2
P21333	33
P21926	2
P22105	30
P22352	7
P22692	5
P22792	16
P22891	9
P22897	3
P23284	3
P23470	7
P23528	5
P24043	4
P24592	4
P24593	4
P24821	14
P25311	20
P15311;P26038;P35241	6
P26447	2
P26927;Q2TV78	27
P27169	11
P27487	10
P27797	6
P27918	13
P28799	2
P29279	2
P29401	4
P29508	6
P29622	24
P30043	2
P30613	1
P31146	2
P31151;Q86SG5	6
P31944	3
P27348;P31946	1
P31947	1
P32119	7
P32942	2
P33151	13
P33908	16
P34096	3
P35443	10
P35542	6
P35555	7
P35579;P35580	2
P35590	3
P35858	20
P35916	4
P36578	2
P36955	17
P36980	6
P37802	5
P39060	6
P40189	3
P40197	15
P40925	2
P41222	3
P42785	2
P43121	12
P43251	10
P43652	42
P47929	3
P48637	2
P48740	23
P49747	13
P49908	9
P49913	5
P51884	13
P54108	7
P54289	7
P54802	3
P55056	8
P55058	7
P55103	4
P55201	3
P55290	8
P55774	2
P59665;P59666	3
P60174	2
P60709;P63261	19
A6NIZ1;P61224;P62834	3
P61626	10
P61769	2
P62081	2
P62328	8
P62750	4
P62805	5
P62847	2
P62937	5
P63104	5
P67936	6
P62736;P63267;P68032;P68133	1
P68104;Q05639;Q5VTE0	6
P0DPH7;P0DPH8;P68363;Q6PEY2;Q71U36;Q9BQE3	8
P68366	1
P68431;P84243;Q16695;Q71DI3	3
P68871	12
P78417	3
P80108	28
P80188	6
P80511	2
P81605	5
P98160	20
Q01459	9
Q01469	2
Q01518	2
Q02413	4
Q02487	3
Q02985	9
Q03591	6
Q04721	2
Q04756	21
Q04917	1
Q06033	28
Q06830	4
Q07075	2
Q07954	12
Q08188	2
Q08380	19
Q10588	3
Q12805	18
O60282;P33176;Q12840	2
Q12841	3
Q12860	11
Q12884	1
Q12907	4
Q12913	6
Q13093	8
Q13103	5
Q13201	17
Q13332	2
Q13421	2
Q13508	5
Q13740	7
Q13790	3
Q13822	8
Q13867	3
Q14019	2
Q14118	3
Q14126	5
Q14314	2
Q14515	11
Q14520	22
Q14624	39
Q14766	8
Q15113	11
Q15166	7
Q15485	9
Q15517	2
Q15582	16
Q15828	3
Q15848	5
Q16270	4
Q16610	21
Q16627	4
Q16706	2
Q16853	3
Q4G0P3	2
Q5T749	6
Q5TEC6	1
Q5VY43	2
Q6EMK4	7
Q6P3X8	2
Q6UWP8	5
Q6UX71	8
Q6UXB8	11
Q6UY14	4
Q6YHK3	5
Q76LX8	8
Q7Z7G0	5
Q7Z7M0	9
Q86SQ4	4
Q86U17	2
Q86UD1	3
Q86UX7	4
Q86VB7	13
Q86YW5	3
Q8IXL6	2
Q8IYE0	2
Q8IZF2	3
Q8N6C8	5
Q8NBJ4	2
Q8NBP7	5
Q8NDH2	2
Q8N423;Q8NHL6	1
Q8TER0	2
Q8WWZ8	2
Q8WZ75	4
Q92496	3
Q92820	10
Q92823	2
Q92859	3
Q92954	27
Q96IY4	15
Q96KN2	17
Q96PD5	16
Q96S96	4
Q99497	2
Q99784	6
Q8N257;Q96A08;Q99880	5
Q99969	4
Q99972	4
Q99983	2
Q9BTY2	3
Q9BUN1	2
Q9BWP8	7
Q9BXR6	15
Q9H299	2
Q9H4A9	3
Q9H8L6	2
Q9HBB8	2
Q9HBR0	4
Q9HCE7	2
Q9HCN6	3
Q9HDC9	7
Q9NPH3	9
Q9NPY3	6
Q9NQ79	13
Q9NY97	2
Q9NZK5	3
Q9NZP8	12
Q9NZT1	4
Q9UBG0	3
Q9UBQ6	3
Q9UBX1	2
Q9UGM5	10
Q9UHG3	16
Q9UJJ9	3
A6NK53;Q9UJU3	2
Q9UK55	14
Q9ULI3	4
Q9UNN8	4
Q9UNW1	6
Q9Y490	25
Q9Y4L1	6
Q9Y520	2
Q9Y5C1	7
Q9Y5Y7	6
Q9Y6R7	55
Q9Y6Z7	5
