filename	Pool	Center	CommonReference	FSGS	heathy
P_3.RIC_1	Pool3	Center2	1	0	0
P_3.RIC_2	Pool3	Center2	0	0	1
P_3.RIC_4	Pool3	Center2	0	0	1
P_3.RIC_5	Pool3	Center2	0	1	0
P_3.RIC_6	Pool3	Center2	0	0	1
P_3.RIC_7	Pool3	Center2	0	1	0
P_3.RIC_8	Pool3	Center2	0	0	1
P_3.RIC_9	Pool3	Center2	0	1	0
P_3.RIC_10	Pool3	Center2	0	0	1
P_3.RIC_11	Pool3	Center2	0	1	0
P_5.RIC_1	Pool5	Center2	1	0	0
P_5.RIC_2	Pool5	Center2	0	0	1
P_5.RIC_3	Pool5	Center2	0	1	0
P_5.RIC_4	Pool5	Center2	0	0	1
P_5.RIC_5	Pool5	Center2	0	1	0
P_5.RIC_6	Pool5	Center2	0	0	1
P_5.RIC_7	Pool5	Center2	0	1	0
P_5.RIC_8	Pool5	Center2	0	0	1
P_5.RIC_9	Pool5	Center2	0	1	0
P_5.RIC_10	Pool5	Center2	0	0	1
P_5.RIC_11	Pool5	Center2	0	1	0
