pv_DEqMS,pv_FedProt,pv_Fisher,pv_Stouffer,pv_REM,pv_RankProd,PG,Dataset
26.662688056402033,26.66268805640204,25.466360997607985,26.27642484129426,30.74879706628125,3.837136396951436,prt1,Balanced
0.0811712993023305,0.08117129930232962,0.020653696039596305,0.009180655645729483,0.030411497695429005,0.5102470267408115,prt4603,Balanced
0.0020879951174736793,0.002087995117471063,0.0015865979641057001,0.13067105660446937,0.00021477903725122038,0.2155482299369256,prt4602,Balanced
0.0020879951174736793,0.002087995117471063,0.03566588754416609,0.013121855731963375,0.00021477903725122038,0.31219501049882964,prt4601,Balanced
0.007372962936422439,0.007372962936423322,0.0014585397399551293,0.35666879485582537,0.00021477903725122038,0.3805190878208628,prt4600,Balanced
0.019321486795759752,0.019321486795760456,0.006386247430790032,0.022458151181563964,0.00021477903725122038,0.7608325150054779,prt460,Balanced
9.275369668903428,9.275369668903444,8.05830956000624,8.546215843310053,9.593482544082502,3.9220812217909047,prt46,Balanced
0.14980027657818848,0.14980027657818867,0.03492651065261883,0.0160557644280456,0.06921189475226215,0.7861425498897898,prt4599,Balanced
0.04004677598517471,0.040046775985177516,0.03271969090124115,0.060346668671896454,0.00021477903725122038,0.6693882258552184,prt4598,Balanced
0.0020879951174736793,0.002087995117471063,0.013786589243034338,0.0008267983903001858,0.00021477903725122038,0.3210047586030783,prt4597,Balanced
0.009479488541038689,0.009479488541044552,0.0019014493972645799,0.11332920246154658,0.00021477903725122038,0.3673640370463929,prt4596,Balanced
0.05262278351499344,0.05262278351498876,0.025629249145720828,0.00354383689485501,0.00021477903725122038,0.6910138953192,prt4595,Balanced
0.015932727935580433,0.015932727935580534,0.015762434178819156,0.004225205130059023,0.00021477903725122038,0.4162838936228701,prt4594,Balanced
0.008957904188655247,0.008957904188655148,0.010433609608331744,0.07659559915170767,0.00021477903725122038,0.3261581463072684,prt4593,Balanced
0.5557062691732747,0.5557062691732658,0.5044421221361188,0.14057750822909043,0.19074967354425232,1.177472248190078,prt4592,Balanced
0.004579376146855368,0.004579376146853175,0.006909377528154825,0.015836346339502396,0.00021477903725122038,0.2728014703048379,prt4591,Balanced
0.09552546210482805,0.09552546210482764,0.13564940618135696,0.08589146502769825,0.008045537925246805,0.9617066024993222,prt4590,Balanced
0.005000675431194685,0.005000675431196442,0.03575870918053059,0.00610906902114076,0.00021477903725122038,0.3510047474829762,prt459,Balanced
0.0031059501159957947,0.003105950115996572,0.0019014493972645799,0.15399210145097103,0.00021477903725122038,0.2594758432347723,prt4589,Balanced
0.007372962936422439,0.007372962936423322,0.140401756839008,0.06399503014806229,0.00021477903725122038,0.5045987059044399,prt4588,Balanced
0.009479488541038689,0.009479488541044552,0.011821771247845732,0.00610906902114076,0.00021477903725122038,0.3660707636112039,prt4604,Balanced
0.2567047065020182,0.2567047065020235,0.2305978215116718,0.07405823685042266,0.12203103012796186,2.5896993643980566,prt4587,Balanced
0.0006179412882092057,0.0006179412882113786,0.011821771247845732,0.00885874004440093,0.00021477903725122038,0.5072199908738315,prt4605,Balanced
0.5687217082261969,0.5687217082261995,0.2305978215116718,0.16460432259594135,0.6253496735506902,2.0938255277768136,prt4607,Balanced
